# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1719190.39626458 283.66641538
0.00100000 1719101.84113291 722.02279042
0.00200000 1718836.14686053 850.82391964
0.00300000 1718393.51855583 1546.55422179
0.00400000 1717773.87192169 1417.16349818
0.00500000 1716977.81750822 1545.28009692
0.00600000 1716005.25246962 1981.98614729
0.00700000 1714856.89021784 2057.82835379
0.00800000 1713532.49942239 3701.23035502
0.00900000 1712033.59747513 3081.66060719
0.01000000 1710359.47079979 4233.13987301
0.01100000 1708511.80993593 3382.85353096
0.01200000 1706490.45101491 4325.95348299
0.01300000 1704296.79017324 3579.02341722
0.01400000 1701930.99749555 6892.82084542
0.01500000 1699394.66040867 4894.25683991
0.01600000 1696687.46070607 5191.86386185
0.01700000 1693811.56153414 5030.62056342
0.01800000 1690767.56704568 5782.42533949
0.01900000 1687556.43795109 5062.66954229
0.02000000 1684178.98721443 9018.77888450
0.02100000 1680637.93317169 7209.93706019
0.02200000 1676931.91829630 7521.03999526
0.02300000 1673064.20409602 7227.63769069
0.02400000 1669035.28380557 7510.65911959
0.02500000 1664847.63509140 7791.48728807
0.02600000 1660501.64063237 7397.53514737
0.02700000 1655999.30289927 11128.31582517
0.02800000 1651341.09130461 9338.33429958
0.02900000 1646530.53027246 8891.26527171
0.03000000 1641568.07265172 7633.29188870
0.03100000 1636455.47223591 8640.48529098
0.03200000 1631193.92521134 9689.29236203
0.03300000 1625787.86596298 13266.42959785
0.03400000 1620235.57082672 11908.73199505
0.03500000 1614541.16241978 12205.93175154
0.03600000 1608705.33362851 10713.97801710
0.03700000 1602731.28357858 10049.12561278
0.03800000 1596620.50999519 12142.29954045
0.03900000 1590375.54603701 10496.47908994
0.04000000 1583996.54529808 11689.89504600
0.04100000 1577487.58927961 13913.44118256
0.04200000 1570850.54246903 11145.18511587
0.04300000 1564086.88377226 14452.16347690
0.04400000 1557199.60668666 14715.53696661
0.04500000 1550191.13734903 12835.58321365
0.04600000 1543062.09305288 13054.30591408
0.04700000 1535816.70593717 13269.45695643
0.04800000 1528456.48577950 13480.98683182
0.04900000 1520984.22530778 12548.12044287
0.05000000 1513401.58123060 16208.53168975
0.05100000 1505712.70084965 12919.01557511
0.05200000 1497916.82910265 20244.34688873
0.05300000 1490019.36166388 16896.82034896
0.05400000 1482021.46064983 15894.68090670
0.05500000 1473926.64158709 12380.98436690
0.05600000 1465735.95028194 16291.65584762
0.05700000 1457454.29413774 20287.76472140
0.05800000 1449081.06844849 15389.24166548
0.05900000 1440620.31987430 18151.81687821
0.06000000 1432075.84935615 14413.84409717
0.06100000 1423448.99686614 17209.49917634
0.06200000 1414742.76901669 18717.04770899
0.06300000 1405960.53103280 18896.11042057
0.06400000 1397101.45788666 20432.60977716
0.06500000 1388172.02965844 19240.06523107
0.06600000 1379173.84505663 15246.76757047
0.06700000 1370108.23719446 15372.61514074
0.06800000 1360979.25182015 15494.74950727
0.06900000 1351790.62397845 15613.18243794
0.07000000 1342541.32341484 15727.87234032
0.07100000 1333236.77263664 21598.43672834
0.07200000 1323878.77648103 17395.76793790
0.07300000 1314470.60257380 16049.68680944
0.07400000 1305015.20486318 14681.42174274
0.07500000 1295513.16952193 16245.73590728
0.07600000 1285968.08800647 16338.22532407
0.07700000 1276383.74209409 17920.42857926
0.07800000 1266761.22300540 15011.12119658
0.07900000 1257102.93935535 18102.28317578
0.08000000 1247413.54513293 19702.89786966
0.08100000 1237694.32839803 16746.00504892
0.08200000 1227946.46971889 18345.52111847
0.08300000 1218173.62557145 21488.58376358
0.08400000 1208378.75747466 18488.19585717
0.08500000 1198564.15953126 21646.06973731
0.08600000 1188732.07148528 20166.84053961
