# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 280.65061764
0.00100000 1700824.59388198 612.29686834
0.00200000 1700559.83706101 841.77714600
0.00300000 1700118.77923411 1530.10695582
0.00400000 1699501.30777158 1274.62602926
0.00500000 1698708.06803870 1987.48851827
0.00600000 1697738.94557887 1960.88856198
0.00700000 1696594.64666285 2443.09639273
0.00800000 1695274.92832800 2746.34549984
0.00900000 1693781.33537947 3302.87374518
0.01000000 1692113.19069184 3350.38426224
0.01100000 1690272.04653854 4259.48574273
0.01200000 1688257.86215598 4608.94416576
0.01300000 1686072.00596921 4248.90164244
0.01400000 1683714.67659548 5303.70146639
0.01500000 1681187.28739101 4034.84966941
0.01600000 1678489.80624923 4280.14919727
0.01700000 1675624.21613624 5429.02270382
0.01800000 1672591.09360742 4766.88483128
0.01900000 1669391.51041720 8013.07961157
0.02000000 1666026.13678351 6297.57908192
0.02100000 1662497.89515786 6583.49196331
0.02200000 1658805.17093344 5722.87809972
0.02300000 1654951.48713188 7745.17331233
0.02400000 1650937.17732071 6191.01469725
0.02500000 1646764.63169511 7706.85882831
0.02600000 1642434.52033383 10642.97617855
0.02700000 1637948.53239871 12382.89147208
0.02800000 1633307.37627658 10657.33111895
0.02900000 1628514.48040242 8793.97859794
0.03000000 1623570.32458060 8304.56259195
0.03100000 1618476.58404151 9322.42555303
0.03200000 1613234.45449698 10381.16419283
0.03300000 1607848.35756266 13120.04320255
0.03400000 1602316.63507682 9253.37899452
0.03500000 1596643.49414631 15519.37547976
0.03600000 1590829.56186429 13243.65671456
0.03700000 1584877.92179567 10840.56548643
0.03800000 1578790.12234731 9235.92264317
0.03900000 1572568.73793968 16040.20186981
0.04000000 1566213.88717764 12521.88060824
0.04100000 1559729.85976394 13756.81800097
0.04200000 1553118.12587646 12021.13485198
0.04300000 1546380.38381658 13267.94430902
0.04400000 1539519.66607921 10391.75822865
0.04500000 1532538.25590232 14804.32023990
0.04600000 1525436.91689018 12905.19691681
0.04700000 1518219.87014994 13117.42028816
0.04800000 1510888.34111582 11105.02982390
0.04900000 1503445.52381507 16913.76293021
0.05000000 1495892.78717792 11443.58035479
0.05100000 1488234.52402318 17412.34474221
0.05200000 1480469.73405741 14123.68192109
0.05300000 1472603.87174661 16699.32868409
0.05400000 1464638.06795590 19333.22339860
0.05500000 1456576.07002964 15905.81142672
0.05600000 1448418.55250316 17337.57088251
0.05700000 1440170.80767307 12529.48661161
0.05800000 1431831.80789339 17740.39692814
0.05900000 1423406.10106038 12810.65550788
0.06000000 1414897.11473969 14240.94012517
0.06100000 1406306.29287274 14386.51404839
0.06200000 1397636.52984029 15849.19898924
0.06300000 1388891.23302591 16000.02775254
0.06400000 1380069.70919846 16146.81635276
0.06500000 1371178.58692398 14932.13551009
0.06600000 1362218.88637006 16428.36053828
0.06700000 1353192.48157498 19323.58954121
0.06800000 1344103.09873318 19476.05481230
0.06900000 1334954.56249540 15418.72591871
0.07000000 1325746.12278281 18354.95592946
0.07100000 1316482.74662449 15639.81576243
0.07200000 1307166.27788819 14313.47141342
0.07300000 1297800.13145088 17286.69856090
0.07400000 1288387.49303251 21741.53996382
0.07500000 1278928.37140277 24785.63299955
0.07600000 1269427.10262408 20526.63721173
0.07700000 1259886.76028934 17688.81094386
0.07800000 1250308.94386679 16297.77784761
0.07900000 1240695.56730745 20843.68650841
0.08000000 1231051.67659363 17948.73428673
0.08100000 1221378.36831041 19529.84102559
0.08200000 1211676.95097207 18102.45449698
0.08300000 1201951.00784374 19687.95843248
0.08400000 1192203.40115856 21280.83170957
0.08500000 1182436.59250862 22880.14913915
0.08600000 1172652.62476893 19894.05271326
0.08700000 1162853.96248679 16884.64032817
0.08800000 1153042.20404429 18471.73697629
0.08900000 1143221.19511486 24693.57897433
0.09000000 1133392.72274272 17017.89253141
0.09100000 1123559.23098646 23257.67717409
0.09200000 1113721.75189483 15536.41916894
0.09300000 1103885.45358868 17121.26418973
0.09400000 1094048.39263521 24944.30452440
0.09500000 1084215.71436813 18735.24842489
0.09600000 1074388.55698854 15632.35423903
0.09700000 1064571.85125244 31298.41389825
0.09800000 1054764.16490714 18795.89830238
0.09900000 1044970.23438511 23511.83137925
0.10000000 1035189.07260982 18819.73822509
0.10100000 1025424.39634938 18826.79280243
0.10200000 1015678.53847194 21969.12782049
0.10300000 1005952.92632030 21970.01294432
0.10400000 996249.78287997 18829.12178225
0.10500000 986573.07675670 18823.81519017
0.10600001 976918.88326732 17247.50369564
0.10700001 967295.33644697 26639.31481933
0.10800001 957699.80107171 23487.58872665
0.10900001 948136.77518895 17208.68327962
0.11000001 938606.89127284 15627.80547529
0.11100001 929111.35868465 15609.07156067
0.11200001 919653.14522809 17146.93370001
0.11300001 910231.74137438 15564.96351031
0.11400001 900850.87058932 20201.58172415
0.11500001 891511.39382330 18614.75877956
0.11600001 882214.50849366 18579.43842381
0.11700001 872962.27027053 21632.00607606
0.11800001 863754.32565653 15418.01543913
0.11900001 854592.88549588 19997.47446252
0.12000001 845479.52317350 19949.09028898
0.12100001 836416.58463917 18367.70906394
0.12200001 827403.97237786 22898.40601433
0.12300001 818444.01860141 19789.97730218
0.12400001 809535.99378433 19732.44077824
0.12500001 800681.77334341 22699.32934389
0.12600001 791884.22633538 19611.01378933
0.12700001 783142.27111678 16539.96554545
0.12800001 774457.03606421 16484.31878952
0.12900001 765830.90209426 23893.92527151
0.13000001 757263.62267301 17856.27706428
0.13100001 748755.46223532 16307.89473620
0.13200001 740308.03788172 22153.71907794
0.13300001 731923.53483837 17653.99649256
0.13400001 723600.04104632 16118.19167421
0.13500001 715341.14869746 18970.84815790
0.13600001 707144.62678147 15985.00504210
0.13700001 699013.39611212 14469.57798181
0.13800001 690945.63028516 17287.46048494
0.13900001 682945.47346200 18644.41230475
0.14000001 675010.41226894 15704.11798205
0.14100001 667142.20150191 17052.15547462
0.14200001 659340.50109205 15557.13985702
0.14300001 651607.56012230 22519.55834002
0.14400001 643939.80444189 14005.69140726
0.14500001 636342.56120664 19510.26384694
0.14600001 628813.00704173 18024.92569717
0.14700001 621353.99510883 17932.27714482
0.14800001 613961.20307892 19210.84695068
0.14900001 606639.25058682 16379.26053863
0.15000001 599385.91574323 16291.30995857
0.15100001 592202.65394908 13502.22114714
0.15200001 585089.32892413 17456.14095215
0.15300001 578047.01989718 14688.17546871
0.15400001 571071.90348497 14605.16462086
0.15500001 564168.52717116 13201.54415883
0.15600001 557332.48097656 15750.21665573
0.15700001 550569.98712051 18267.91303485
0.15800001 543873.62521170 14268.52523089
0.15900001 537249.23824408 15472.77879175
0.16000001 530691.99148930 16661.07585925
0.16100001 524207.10325087 16559.70317338
0.16200001 517790.47147343 15191.97315018
0.16300001 511442.43438250 13839.63292773
0.16400001 505163.92267975 13753.08844423
0.16500001 498953.33055734 17393.51392440
0.16600001 492812.12932627 16048.42774920
0.16700001 486737.65136005 17172.10515076
0.16800001 480730.38533102 12186.51584354
