# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 324.60689558
0.00100000 1664564.20174490 649.18005410
0.00200000 1664304.52059071 898.72446958
0.00300000 1663871.94689582 1197.98784444
0.00400000 1663266.31690433 1372.19476359
0.00500000 1662488.32232415 2244.35932397
0.00600000 1661537.77183223 2093.53767774
0.00700000 1660415.44659855 2789.49806622
0.00800000 1659121.11746887 2687.77632378
0.00900000 1657656.18161167 4475.67188168
0.01000000 1656020.04468514 2732.43319172
0.01100000 1654214.37675700 2977.58600780
0.01200000 1652238.84606557 4188.42565841
0.01300000 1650094.99651952 3811.71961008
0.01400000 1647782.94352818 4819.76532348
0.01500000 1645304.28102129 6712.84176548
0.01600000 1642658.60234507 5026.53554788
0.01700000 1639848.16519691 4870.34926911
0.01800000 1636873.48468765 6064.61653366
0.01900000 1633735.44943485 4901.20656946
0.02000000 1630434.94150367 7190.21841729
0.02100000 1626974.62251865 6979.72144705
0.02200000 1623353.15854865 7280.73924687
0.02300000 1619573.73717967 8745.69857886
0.02400000 1615636.86137800 6058.63850643
0.02500000 1611544.92613457 7542.03059876
0.02600000 1607298.44219906 7160.51488751
0.02700000 1602899.13412666 10098.26500751
0.02800000 1598347.70802481 7648.09413364
0.02900000 1593647.39068271 8605.69630481
0.03000000 1588798.77457225 10343.08049789
0.03100000 1583803.64738170 8362.48364296
0.03200000 1578663.12883925 8595.82113244
0.03300000 1573381.43044216 10431.51936473
0.03400000 1567957.01905180 9878.12967581
0.03500000 1562393.96366532 10968.00613141
0.03600000 1556692.81013821 9503.61004509
0.03700000 1550856.79993616 9723.87258530
0.03800000 1544887.38030243 9037.59159303
0.03900000 1538787.02231945 10155.99481763
0.04000000 1532555.93067563 16965.39493874
0.04100000 1526198.14854851 13461.06829434
0.04200000 1519715.22143199 9802.16363299
0.04300000 1513108.96781660 11983.82358137
0.04400000 1506381.96337654 13218.50234252
0.04500000 1499537.10222340 14485.52908055
0.04600000 1492574.66836046 14731.71266155
0.04700000 1485498.78786150 16043.38765505
0.04800000 1478310.83778216 11952.14367958
0.04900000 1471013.78005214 13239.12463672
0.05000000 1463609.29363090 11196.61161766
0.05100000 1456101.46018499 12493.35111038
0.05200000 1448489.06741326 20727.87952063
0.05300000 1440778.03892433 21006.54478680
0.05400000 1432968.94427694 13004.19377575
0.05500000 1425065.81132695 14364.66404828
0.05600000 1417069.06806377 14539.12931679
0.05700000 1408984.09556228 13483.97842394
0.05800000 1400809.91193522 14876.60195938
0.05900000 1392550.75920877 17546.14038554
0.06000000 1384210.13036939 13932.07561306
0.06100000 1375789.36216535 17912.77833248
0.06200000 1367291.52416523 15505.08660880
0.06300000 1358719.91805718 19565.56773482
0.06400000 1350073.42556960 17112.18146938
0.06500000 1341359.32071419 18591.24105476
0.06600000 1332578.05189697 14731.65105299
0.06700000 1323731.38020254 14852.26678094
0.06800000 1314823.10916904 16330.10378028
0.06900000 1305857.39058838 20567.25486470
0.07000000 1296833.11577368 17954.65532868
0.07100000 1287755.18592220 15298.53232530
0.07200000 1278625.23181453 15401.04163870
0.07300000 1269447.03043878 23954.46658678
0.07400000 1260223.24424680 15595.26337841
0.07500000 1250954.51186044 21391.32315548
0.07600000 1241643.99917992 17209.18663541
0.07700000 1232295.94238171 18743.22216247
0.07800000 1222911.16553595 20288.09718768
0.07900000 1213491.53618724 24755.22849933
0.08000000 1204042.65386011 16092.03082373
0.08100000 1194564.87780784 17631.77842370
0.08200000 1185060.27917490 20655.60163529
0.08300000 1175531.15706339 14811.69327414
0.08400000 1165981.64182710 19326.14662043
0.08500000 1156413.15176431 14917.73035807
0.08600000 1146828.15236427 20952.55132745
0.08700000 1137228.87395567 16512.56402523
0.08800000 1127617.16735529 16559.05888029
0.08900000 1117996.58114631 18111.54546526
0.09000000 1108369.09634710 16642.16276343
0.09100000 1098736.23988711 16678.81690508
0.09200000 1089100.45869876 18231.54253526
0.09300000 1079465.59790620 19786.60533944
0.09400000 1069830.59025862 16769.59529043
0.09500000 1060199.81788580 21373.62933320
0.09600000 1050574.90870164 18343.03876820
0.09700000 1040960.10605444 22953.17141759
0.09800000 1031354.79292733 26036.55297163
0.09900000 1021762.69314378 21457.01756498
0.10000000 1012183.46991737 23001.87043559
0.10100000 1002620.62784209 16874.10596020
0.10200000 993076.64004466 18411.64177244
0.10300000 983552.32689435 15343.41702132
0.10400000 974050.87442864 21477.82279158
0.10500000 964574.86818559 18404.08935088
0.10600001 955121.15466490 18395.63430443
0.10700001 945697.87879847 15320.30635747
0.10800001 936301.96210791 16839.39158100
0.10900001 926938.30466424 15294.48274680
0.11000001 917607.33270984 16805.97908963
0.11100001 908309.77858962 18311.52599835
0.11200001 899049.26469922 18286.66290487
0.11300001 889825.17288776 19780.81452459
0.11400001 880640.61441527 22786.57697089
0.11500001 871496.87219369 24262.47406434
0.11600001 862395.09732990 18162.04160505
0.11700001 853336.80844914 22656.09333131
0.11800001 844322.32035207 22606.73119217
0.11900001 835353.56043869 18043.63775536
0.12000001 826431.68505296 14999.73579027
0.12100001 817559.91886606 16457.48194205
0.12200001 808737.24096812 17905.44335858
0.12300001 799965.79965362 19343.17394697
0.12400001 791245.86855447 16319.44680787
0.12500001 782578.55178784 14790.73532574
0.12600001 773966.74944038 17692.88072596
0.12700001 765409.49233873 19104.62182911
0.12800001 756908.29198237 14646.17614012
0.12900001 748464.16860199 24811.58835858
0.13000001 740078.21389320 17451.04510615
0.13100001 731750.20682386 14488.65477807
0.13200001 723481.94322265 17320.15853723
0.13300001 715275.11982460 23003.24893800
0.13400001 707128.21871226 20047.08594562
0.13500001 699044.10189703 18538.65045637
0.13600001 691021.42866390 17040.58923433
0.13700001 683062.87852982 15553.34247751
0.13800001 675166.51878946 15484.94483864
0.13900001 667335.55088533 19619.66612126
0.14000001 659568.99213410 13949.88484152
0.14100001 651867.67218645 13884.78207242
0.14200001 644231.36239280 13818.76337509
0.14300001 636662.63899459 20627.87047639
0.14400001 629157.60396000 16421.01423793
0.14500001 621721.33614038 14977.26769413
0.14600001 614351.46004314 20319.67549949
0.14700001 607050.72519298 13476.52673506
0.14800001 599814.38883019 20108.77833424
0.14900001 592647.23805659 13334.56348541
0.15000001 585547.59978122 15915.18451298
0.15100001 578516.34276969 13190.17323753
0.15200001 571553.49338962 14428.86862148
0.15300001 564659.88896826 20869.83048109
0.15400001 557832.08969022 16860.47570655
0.15500001 551074.26586639 19342.70764475
0.15600001 544382.41923883 20512.33052500
0.15700001 537762.31655300 15293.96100459
0.15800001 531206.57264475 12669.27735555
0.15900001 524721.45850088 12593.31559843
0.16000001 518301.90977408 15020.39005425
0.16100001 511953.44216754 14928.56307830
0.16200001 505670.95349449 17309.11755521
0.16300001 499455.76898780 15972.59624626
0.16400001 493308.12222204 15872.18958181
0.16500001 487227.10520717 16984.73768939
0.16600001 481213.81847715 18081.61008297
0.16700001 475265.33904328 11976.68710937
0.16800001 469382.77958110 15468.51023146
0.16900001 463568.25298455 14185.18921112
0.17000001 457817.54592309 12917.32266817
0.17100001 452132.08763821 13998.01009428
0.17200001 446511.86580175 13904.38015767
0.17300001 440956.14652270 12659.85156452
0.17400001 435464.26883481 16003.31263545
0.17500001 430035.86070287 12488.24198460
0.17600001 424669.30747845 15784.95890448
0.17700001 419367.26053790 11197.10638521
0.17800001 414125.42063567 12231.19487618
0.17900001 408946.49008794 14354.02248008
0.18000001 403828.45625735 13156.73172632
0.18100001 398772.87376134 15241.09995509
0.18200001 393774.51179065 12970.93303110
0.18300001 388837.19871084 10731.90719139
0.18400001 383958.49322038 10654.84869021
0.18500001 379139.87295829 12693.60354632
0.18600001 374377.39951029 13651.67251809
0.18700001 369672.48792095 11467.24111708
0.18800001 365024.33934976 10348.44050949
0.18900001 360434.21862792 13354.08843111
0.19000001 355895.93528701 11216.06093052
0.19100001 351417.27246258 13157.06330267
0.19200001 346989.57184552 12054.41829550
0.19300001 342618.64316410 14955.30448079
0.19400001 338298.43968003 12863.79877670
0.19500001 334032.32656703 11784.66103817
0.19600001 329817.80411834 11695.33988672
0.19700001 325654.51471738 11606.32745301
0.19800001 321542.46248174 12477.45584627
0.19900001 317480.80055094 11429.30935998
0.20000001 313467.48712367 11341.25422014
0.20100001 309504.55723374 12191.38508563
0.20200001 305588.55767628 12096.72362735
0.20300001 301721.70975250 11079.22170577
0.20400001 297901.35540652 14656.74737876
0.20500001 294127.21526098 12723.94393361
0.20600001 290399.17007527 9016.89465705
0.20700001 286716.63571808 16102.00702305
0.20800001 283077.63536372 11536.82957460
0.20900001 279484.95346685 13205.66467556
0.21000001 275933.79055054 9606.63537215
0.21100001 272426.12874738 10395.78156444
0.21200001 268960.29625968 10311.93824609
0.21300001 265535.22357808 8523.68107982
0.21400001 262152.49685823 12681.62763506
0.21500001 258810.89304615 11739.66266360
0.21600001 255508.14998971 12475.18601306
0.21700001 252245.13684996 9898.09963797
0.21800001 249020.75623749 10634.43189792
0.21900001 245833.69520290 8923.76355779
0.22000001 242684.21907354 8849.48046694
0.22100001 239573.26188941 7977.78999814
0.22200001 236498.95444090 9493.06848013
0.22300001 233459.03590854 8628.64637519
0.22400001 230454.52087963 8555.62449222
0.22500001 227487.05574036 14652.44195311
0.22600001 224552.02777309 9175.19628869
0.22700001 221653.07018059 9854.69596625
0.22800001 218786.11427385 7515.30338071
0.22900001 215951.45918158 10430.45597174
0.23000001 213150.45907602 9601.36288315
0.23100001 210382.02087272 11714.07147618
0.23200001 207643.46008854 10885.70890997
0.23300001 204936.70695279 7912.60662967
0.23400001 202261.42036370 11407.54464804
0.23500001 199614.22748444 8479.61278459
0.23600001 196998.61540588 9804.62155248
0.23700001 194411.66732882 7634.54653710
0.23800001 191853.62281589 8253.54324392
0.23900001 189323.86744732 8860.35741563
0.24000001 186822.12465153 8104.34415072
0.24100001 184349.21494437 7361.06450092
0.24200001 181902.84497661 7956.43081563
0.24300001 179483.95016114 7226.02417530
0.24400001 177091.03481962 7809.71500497
0.24500001 174724.31352730 10960.45670605
0.24600001 172384.05199749 7664.19531436
0.24700001 170069.22927113 10122.52100507
0.24800001 167779.52239859 6893.22200384
0.24900001 165513.87227621 8068.80165518
0.25000001 163273.81653780 9220.88922520
0.25100001 161056.77819151 7305.53580438
0.25200001 158865.77306870 10249.22583442
0.25300001 156697.72815087 8358.25721500
0.25400001 154552.80589570 5911.64510520
0.25500001 152430.79225368 5853.34269947
0.25600001 150331.98939135 6954.35815827
0.25700001 148255.05412581 7458.71212597
0.25800001 146201.40308065 5679.92477842
0.25900001 144169.55807350 9558.44215253
0.26000001 142159.50045649 6122.09917683
0.26100001 140170.54150020 9364.79432073
0.26200001 138203.85494178 5452.14233543
0.26300001 136257.46330025 5935.37538221
0.26400001 134332.49070088 7475.60346124
0.26500001 132428.56804184 6340.68013788
0.26600001 130544.06294067 6796.77695863
0.26700001 128681.14259055 5690.28039462
0.26800001 126838.49082031 5629.72668146
0.26900001 125014.66879020 6075.71319072
0.27000001 123211.52019195 7011.96794595
0.27100001 121427.47499946 6440.51357875
0.27200001 119664.39539369 4900.25722327
0.27300001 117919.40071069 6300.43387813
0.27400001 116191.90360686 5272.20787567
0.27500001 114486.21089836 6635.62109770
