# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 249.69761198
0.00100000 1664564.09452923 649.18001228
0.00200000 1664304.09277742 823.83055201
0.00300000 1663870.98198623 998.32262476
0.00400000 1663264.59829912 1746.42789457
0.00500000 1662485.64282768 1645.86085154
0.00600000 1661533.90915567 2093.53281077
0.00700000 1660410.19262833 2988.73847094
0.00800000 1659114.25848235 2463.78477787
0.00900000 1657647.47667725 3232.41271770
0.01000000 1656009.33026709 3005.65706422
0.01100000 1654201.41539905 4168.58774830
0.01200000 1652223.41934832 3544.01938989
0.01300000 1650076.92350917 3811.67786142
0.01400000 1647762.01289069 4448.95763203
0.01500000 1645280.22218496 4343.53997998
0.01600000 1642631.25136595 7120.80679300
0.01700000 1639817.32504460 5313.00837148
0.01800000 1636838.94995777 5131.49033902
0.01900000 1633696.99080189 5391.20031291
0.02000000 1630392.36193474 7703.60425862
0.02100000 1626927.71011769 7516.40636153
0.02200000 1623301.70910253 10080.70407152
0.02300000 1619517.56301361 6996.31619068
0.02400000 1615575.82251451 7875.93249388
0.02500000 1611478.64974383 8170.19712734
0.02600000 1607226.94073470 7160.19634847
0.02700000 1602822.01899793 8078.22334574
0.02800000 1598264.94567942 6952.45283254
0.02900000 1593558.72353286 11473.62333624
0.03000000 1588704.00986489 8126.22138398
0.03100000 1583702.60635152 9122.12743232
0.03200000 1578555.60314628 10939.39083365
0.03300000 1573267.14375351 12035.49420456
0.03400000 1567835.86847069 9054.25255818
0.03500000 1562265.80556016 10123.48288751
0.03600000 1556557.45345993 12094.45197231
0.03700000 1550714.02212977 10606.88440191
0.03800000 1544737.03136503 9940.38325687
0.03900000 1538628.91657993 11078.12871240
0.04000000 1532389.89869514 10366.61814505
0.04100000 1526024.00662963 12498.13719379
0.04200000 1519532.84708663 12741.28351393
0.04300000 1512918.18479843 14977.89072475
0.04400000 1506182.50692502 15250.09859086
0.04500000 1499328.87477450 13448.98063163
0.04600000 1492357.50450394 16833.79343335
0.04700000 1485272.60881759 10693.96328084
0.04800000 1478075.31220974 11950.23945524
0.04900000 1470768.92926264 14339.99772780
0.05000000 1463354.84425172 14553.06460376
0.05100000 1455837.31940938 14762.19110649
0.05200000 1448215.11491355 14967.30391013
0.05300000 1440494.10021807 12834.80303127
0.05400000 1432674.79148061 14183.48109709
0.05500000 1424761.42213468 11967.99650423
0.05600000 1416754.15949558 14535.89835473
0.05700000 1408658.68464235 13480.86424129
0.05800000 1400473.83933229 19830.71049089
0.05900000 1392203.82726436 13782.81853366
0.06000000 1383852.30201610 15194.69898601
0.06100000 1375420.50437003 15349.69354608
0.06200000 1366911.43598208 15500.77640860
0.06300000 1358328.40783863 14343.94865743
0.06400000 1349670.59365609 22370.79113606
0.06500000 1340944.97057893 18585.49816161
0.06600000 1332152.03835103 21421.00577894
0.06700000 1323293.67061651 14847.35567916
0.06800000 1314373.50073561 20405.64955409
0.06900000 1305395.78459338 17818.65329395
0.07000000 1296359.49375548 15186.85218052
0.07100000 1287269.55127332 18073.26534639
0.07200000 1278127.37196665 20993.24306802
0.07300000 1268936.70198935 21127.79707808
0.07400000 1259700.53783425 19840.28440069
0.07500000 1250419.19821416 15680.25748058
0.07600000 1241096.28186892 18635.06154588
