# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 429.09690250
0.00100000 1682645.57081458 504.79368323
0.00200000 1682383.39819585 908.48706379
0.00300000 1681946.65185478 1715.58564601
0.00400000 1681335.20079638 1261.00144851
0.00500000 1680549.71198420 1966.24324085
0.00600000 1679590.02471683 1763.56959775
0.00700000 1678456.89140152 2819.80769475
0.00800000 1677150.09846981 2943.39854708
0.00900000 1675671.06892924 2764.85738192
0.01000000 1674019.16560012 3866.98443951
0.01100000 1672196.07329425 3310.94836928
0.01200000 1670201.53780646 3582.58245567
0.01300000 1668037.03494445 5254.31689182
0.01400000 1665702.69525899 5246.96372267
0.01500000 1663200.10856604 4390.84848213
0.01600000 1660528.91344679 4657.78381044
0.01700000 1657691.36389545 6266.07363661
0.01800000 1654687.97714838 6602.20532591
0.01900000 1651519.58137971 5945.47076124
0.02000000 1648187.24103215 5710.96904852
0.02100000 1644693.42495322 6512.98625810
0.02200000 1641036.96410120 6227.73556170
0.02300000 1637220.91024595 6483.39509969
0.02400000 1633245.96772141 7349.60718987
0.02500000 1629114.42502313 6353.54654776
0.02600000 1624826.75080963 10528.87782682
0.02700000 1620384.82644029 7486.17824103
0.02800000 1615789.21586530 8434.42009362
0.02900000 1611043.23655011 8699.63387681
0.03000000 1606147.59779629 11202.88000957
0.03100000 1601103.92638966 9222.35904035
0.03200000 1595913.34973910 8689.74858956
0.03300000 1590580.22724270 8923.15548619
0.03400000 1585102.94392058 9153.96992351
0.03500000 1579485.69952456 10235.06780555
0.03600000 1573728.90306641 9607.61539722
0.03700000 1567836.01527856 11617.66541050
0.03800000 1561808.25624513 12791.21021062
0.03900000 1555648.18755533 13067.44538062
0.04000000 1549356.09652508 14292.81065276
0.04100000 1542936.00018680 9720.49725188
0.04200000 1536389.57324147 11891.65584858
0.04300000 1529718.53253434 13124.98561838
0.04400000 1522925.52809366 11307.72257125
0.04500000 1516013.28703349 16736.78746652
0.04600000 1508982.30154762 11702.15829250
0.04700000 1501836.61302018 10813.22411665
0.04800000 1494577.95738261 12083.66334767
0.04900000 1487208.92888258 20077.32147446
0.05000000 1479731.22850422 12451.93886770
0.05100000 1472148.99383587 14927.59149288
0.05200000 1464461.34831459 11642.46826165
0.05300000 1456673.79185229 12978.96409046
0.05400000 1448787.33715533 15538.24491560
0.05500000 1440805.72743201 18154.15301252
0.05600000 1432729.34566987 14699.80377253
0.05700000 1424563.94598645 19829.93105376
0.05800000 1416308.25442564 13787.76150062
0.05900000 1407966.70605190 13938.87104094
0.06000000 1399542.71948742 12805.81648158
0.06100000 1391037.83711817 12936.65248975
0.06200000 1382454.83935382 16983.45849533
0.06300000 1373797.32174684 14507.30039594
0.06400000 1365064.25733579 15971.25255775
0.06500000 1356262.21995320 14769.69626618
0.06600000 1347392.66373985 16249.55628500
0.06700000 1338456.88459172 13652.26086175
0.06800000 1329458.89979197 19263.86035971
0.06900000 1320402.43566529 23569.18458011
0.07000000 1311286.93473000 20947.80976327
0.07100000 1302116.91058826 19688.00861024
0.07200000 1292894.38128809 18404.35237982
0.07300000 1283622.91803518 15673.03656358
0.07400000 1274305.21031160 18636.71457420
0.07500000 1264942.09883199 14420.34060260
0.07600000 1255536.86972059 18851.88698264
0.07700000 1246093.25839080 16037.22098745
0.07800000 1236612.58454104 16119.24579542
0.07900000 1227096.43793655 17670.18953508
0.08000000 1217550.66617571 19231.21367440
0.08100000 1207975.75695647 19315.53325998
0.08200000 1198372.92326275 17903.69231368
0.08300000 1188745.95158590 16476.01966223
0.08400000 1179097.91777073 16536.84907295
0.08500000 1169430.60405438 30171.31100100
0.08600000 1159746.33741496 19675.09753802
0.08700000 1150047.85333700 16698.69561459
0.08800000 1140336.39010220 16745.84067510
0.08900000 1130615.76184598 25947.63295312
0.09000000 1120888.06348630 18360.14734238
0.09100000 1111154.92910224 21467.51423882
0.09200000 1101418.60446054 18437.74830500
0.09300000 1091683.16179378 26167.64661787
0.09400000 1081947.26791513 16959.52422162
0.09500000 1072215.52480293 20071.87556774
0.09600000 1062489.36955646 18551.06526450
0.09700000 1052773.95363598 17023.35563061
0.09800000 1043067.38190599 20136.41675446
0.09900000 1033374.29197309 17050.67661932
0.10000000 1023693.70381157 20161.64844471
0.10100000 1014029.98172461 20169.05728509
0.10200000 1004385.01373794 20173.07394979
0.10300000 994759.74880494 17070.07809248
0.10400000 985157.15658602 18619.47113543
0.10500000 975580.59417661 18614.07861267
0.10600001 966026.36957865 17055.19635742
0.10700001 956502.58307371 15495.34257497
0.10800001 947006.30251203 21676.97528466
0.10900001 937542.56716776 15469.45308635
0.11000001 928111.78927737 15453.06201884
0.11100001 918714.89804353 18521.29321642
0.11200001 909354.89373948 18496.27940941
0.11300001 900031.55480052 24624.86449870
0.11400001 890748.32251993 15365.40928694
0.11500001 881506.04198990 24541.12936459
0.11600001 872306.10318066 16839.87011492
0.11700001 863150.03646381 15277.75636491
0.11800001 854037.97961692 21342.41011582
0.11900001 844972.23087917 18251.40104666
0.12000001 835953.84184856 16689.81923868
0.12100001 826985.75808751 18160.60810311
0.12200001 818067.30024158 15093.34240052
0.12300001 809200.57509624 16556.24454651
0.12400001 800385.82459127 21010.12888546
0.12500001 791624.03196080 17954.03389087
0.12600001 782918.43424480 22371.89531279
0.12700001 774267.71666762 14865.94086060
0.12800001 765673.45923727 14815.78213450
