# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 299.63713438
0.00100000 1664563.94577518 599.24303471
0.00200000 1664303.50366773 1048.51124051
0.00300000 1663869.65512784 1597.31492582
0.00400000 1663262.24531632 1746.42542394
0.00500000 1662481.95782109 2094.72734977
0.00600000 1661528.62049363 1919.06563480
0.00700000 1660402.99737879 2390.98041560
0.00800000 1659104.84920888 2463.77080510
0.00900000 1657635.59443900 2983.74419754
0.01000000 1655994.65500805 3278.86955850
0.01100000 1654183.70030551 4168.54310627
0.01200000 1652202.34947732 5154.87155638
0.01300000 1650052.23864700 4158.13182478
0.01400000 1647733.37209931 3707.40025158
0.01500000 1645247.48757426 5922.89121901
0.01600000 1642594.02535310 4188.61495190
0.01700000 1639775.37137669 5312.87244159
0.01800000 1636792.02449106 7930.25771550
0.01900000 1633644.76492584 5881.12141910
0.02000000 1630334.68965595 7703.33175709
0.02100000 1626864.21531104 5368.65215393
0.02200000 1623232.21045879 5600.15138051
0.02300000 1619441.76954619 6412.98969931
0.02400000 1615493.47384836 6058.10080317
0.02500000 1611389.65243488 10055.07189042
0.02600000 1607130.83818869 7810.65623084
0.02700000 1602718.75485782 10770.27052593
0.02800000 1598154.21410301 9037.56249521
0.02900000 1593440.26932128 7887.52969529
0.03000000 1588577.66930788 8864.26380219
0.03100000 1583568.20298836 8361.24049651
0.03200000 1578412.81998516 9375.77258254
0.03300000 1573115.96224479 10429.75931050
0.03400000 1567675.93356233 9053.32893405
0.03500000 1562097.00322735 9278.85662765
0.03600000 1556379.51029689 8637.90668134
0.03700000 1550526.84520152 9721.80376902
0.03800000 1544540.49904708 11746.23103886
0.03900000 1538422.72807420 11999.69783468
0.04000000 1532173.88470778 10365.15681036
0.04100000 1525798.11911139 9612.52859610
0.04200000 1519296.93128435 9799.46566141
0.04300000 1512672.03631394 14975.45385464
0.04400000 1505926.10045591 10165.00165016
0.04500000 1499061.97902480 12412.23376306
0.04600000 1492080.01751766 11571.08107375
0.04700000 1484984.39911861 16037.83225637
0.04800000 1477776.48199991 13033.98917769
0.04900000 1470459.11209111 15439.82139564
0.05000000 1463034.15852409 12311.43301728
0.05100000 1455505.47599601 12488.23756580
0.05200000 1447872.11512273 13812.70062196
0.05300000 1440139.92508219 16331.18751176
0.05400000 1432309.50126495 12998.20933014
0.05500000 1424384.74618873 14357.79891136
0.05600000 1416366.18276406 13320.92457051
0.05700000 1408259.25608010 15927.41292973
0.05800000 1400063.00702489 13629.61400979
0.05900000 1391781.70528789 15031.24311916
0.06000000 1383418.69080746 12658.28161227
0.06100000 1374975.41111155 16623.45349718
0.06200000 1366454.89382874 19369.49902542
0.06300000 1357860.55397266 14339.00812038
0.06400000 1349191.35987517 14470.07801138
0.06500000 1340454.20593576 13270.49725953
0.06600000 1331650.08867443 18736.31762429
0.06700000 1322780.40044670 14841.59678758
0.06800000 1313848.94517533 20397.50582864
0.06900000 1304860.00554498 15071.13376966
0.07000000 1295812.55787066 15180.44482633
0.07100000 1286711.55051896 16675.78247578
0.07200000 1277558.39086211 13989.26503529
0.07300000 1268357.01474845 14078.76352338
0.07400000 1259109.94691716 19830.98259331
0.07500000 1249818.15548260 15672.72040437
0.07600000 1240484.55682177 17193.11676357
0.07700000 1231113.41206073 18725.23587544
0.07800000 1221705.70831359 15924.93465469
0.07900000 1212263.05026910 16001.87301410
0.08000000 1202791.42446768 14613.91649284
0.08100000 1193290.80251999 20548.46858349
0.08200000 1183763.44167538 16211.64109448
0.08300000 1174211.86356001 22192.60526283
0.08400000 1164639.99409588 16334.07668389
0.08500000 1155049.19332408 19370.17588138
0.08600000 1145442.09254521 19432.42601241
0.08700000 1135820.80995801 19490.68601412
0.08800000 1126187.22565217 22551.90025281
0.08900000 1116545.04588196 21102.70235836
0.09000000 1106896.04795922 18130.95811728
0.09100000 1097241.86833531 15141.93849441
0.09200000 1087585.01723745 22757.71755500
0.09300000 1077929.30528036 15198.80391868
0.09400000 1068273.56316750 21312.05858680
0.09500000 1058622.47407604 19817.41364618
0.09600000 1048977.31942560 18315.14485813
0.09700000 1039342.71586224 21389.67409803
0.09800000 1029717.89582651 24466.09835518
0.09900000 1020106.38697163 16831.75617650
0.10000000 1010507.98783467 16840.11640921
0.10100000 1000926.49272664 21439.84648256
0.10200000 991363.83987742 21443.20086516
0.10300000 981821.48245732 16848.05743151
0.10400000 972302.09695394 19907.88637170
0.10500000 962808.51259569 16839.52167759
0.10600001 953337.64243647 18361.28385729
0.10700001 943897.49274507 15291.14010204
0.10800001 934484.96365465 19862.47883724
0.10900001 925105.07992845 24422.77525958
0.11000001 915758.27117948 19821.58871267
0.11100001 906445.40137051 16751.11180586
0.11200001 897169.72075584 21289.83847580
0.11300001 887931.00096124 21257.06916381
0.11400001 878732.22207707 19705.57100790
0.11500001 869574.50468122 19669.77622210
0.11600001 860459.32187169 16611.16799098
0.11700001 851387.91572092 15069.56681796
0.11800001 842360.74783330 22554.21008550
0.11900001 833379.62207653 22501.25085591
0.12000001 824445.96978492 16460.06456211
