# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682645.65899421 706.71119356
0.00200000 1682383.73403142 832.77997472
0.00300000 1681947.42390097 1110.08533932
0.00400000 1681336.56471040 1513.20296574
0.00500000 1680551.84089144 1966.24573167
0.00600000 1679593.08389660 2469.00193385
0.00700000 1678461.06620817 2014.15336316
0.00800000 1677155.52998805 3169.82408551
0.00900000 1675677.92814829 2513.51699967
0.01000000 1674027.64460150 2762.14573286
0.01100000 1672206.37347995 3611.96592398
0.01200000 1670213.74446391 4233.99202785
0.01300000 1668051.34795552 3853.19878372
0.01400000 1665719.25584731 5621.80273770
0.01500000 1663219.12609689 5189.24390449
0.01600000 1660550.54537732 4657.84448801
0.01700000 1657715.74178680 6713.74905541
0.01800000 1654715.27251731 5187.53261277
0.01900000 1651550.00271836 5945.58027807
0.02000000 1648220.84750898 9345.41262812
0.02100000 1644730.51490562 7598.65532338
0.02200000 1641077.54716444 6227.88957444
0.02300000 1637265.27690114 7072.98631816
0.02400000 1633294.17429181 7349.82411945
0.02500000 1629166.64812532 8259.87528323
0.02600000 1624883.13657718 7896.93240496
0.02700000 1620445.46586831 6805.87126836
0.02800000 1615854.36970739 8434.76019669
0.02900000 1611113.04059098 13775.01712952
0.03000000 1606222.12703079 8215.82655741
0.03100000 1601183.37394610 13065.65693259
0.03200000 1595997.82160268 10270.24645504
0.03300000 1590669.96628729 9734.90064246
0.03400000 1585197.98537010 12483.43471078
0.03500000 1579586.12486354 8529.76546815
0.03600000 1573835.04677428 10481.74189592
0.03700000 1567947.73894727 11618.49328293
0.03800000 1561925.85817888 10050.99336254
0.03900000 1555771.82469966 9334.63138048
0.04000000 1549485.81421561 10482.27201891
0.04100000 1543072.00112329 14582.03108673
0.04200000 1536531.92232814 9910.63135880
0.04300000 1529867.34927473 12116.54996868
0.04400000 1523080.81380898 10280.79597067
0.04500000 1516175.34255548 16738.57655957
0.04600000 1509151.23949443 13831.37175294
0.04700000 1502012.57006793 11895.94010819
0.04800000 1494760.83484910 14282.44044152
0.04900000 1487398.86016873 17848.78715284
0.05000000 1479928.40499993 16982.17923817
0.05100000 1472353.62955928 14929.66649922
0.05200000 1464673.42106129 13972.98508808
0.05300000 1456893.44293436 14161.00492548
0.05400000 1449014.45828760 13149.80682219
0.05500000 1441040.59051860 13315.21567754
0.05600000 1432972.12828331 17152.67717597
0.05700000 1424814.55802886 13635.47595682
0.05800000 1416566.82365344 15043.94036964
0.05900000 1408233.30260812 15208.92037851
0.06000000 1399817.48305735 16650.82973887
0.06100000 1391320.69503376 16821.06798903
0.06200000 1382745.98990860 19600.42532315
0.06300000 1374096.73395846 19786.99389415
0.06400000 1365371.97642497 19968.56608908
0.06500000 1356578.57699648 18802.17995670
0.06600000 1347717.43925598 17607.92916773
0.06700000 1338790.17596775 17752.35856412
0.06800000 1329800.71774361 20645.15710935
0.06900000 1320753.06262321 16641.48936819
0.07000000 1311646.15717300 19556.64511926
0.07100000 1302484.97804151 21100.25763256
0.07200000 1293271.19006693 15577.45221411
0.07300000 1284008.55584884 15677.74520150
0.07400000 1274699.82166757 17208.44839897
0.07500000 1265345.55359853 15867.43398587
0.07600000 1255949.02115127 17407.45424923
0.07700000 1246514.45293346 18959.48571810
0.07800000 1237042.67137108 21988.43451480
0.07900000 1227535.54601728 17676.51269174
0.08000000 1217998.77192591 20718.16008237
0.08100000 1208432.58623722 19322.83796053
0.08200000 1198839.17867063 17910.65816980
0.08300000 1189220.98051372 22476.27758657
0.08400000 1179581.81975799 15039.66890786
0.08500000 1169923.54873174 19619.61883328
0.08600000 1160248.49670756 27254.23846729
0.08700000 1150558.81776374 15187.37710765
0.08800000 1140856.31975239 18276.51910077
0.08900000 1131144.80473397 24432.72892985
0.09000000 1121425.99775955 22961.19838274
0.09100000 1111701.87565043 16875.63526521
0.09200000 1101974.39054777 16909.79781749
0.09300000 1092247.78921287 18480.83346194
0.09400000 1082520.54386018 23138.87771248
0.09500000 1072797.90044288 21627.60668948
0.09600000 1063080.62245365 20108.17091895
0.09700000 1053373.67814662 18581.51255607
0.09800000 1043675.79357757 17048.44488967
0.09900000 1033991.51538155 24815.79753606
0.10000000 1024319.59360587 15518.44257292
0.10100000 1014664.21443413 20181.67217427
0.10200000 1005027.76955064 20185.98370090
0.10300000 995410.92239828 23292.61667982
0.10400000 985816.93618761 21737.26446557
0.10500000 976248.53362036 17074.58765637
0.10600001 966702.57539881 17067.13477174
0.10700001 957187.07618165 18607.71763661
0.10800001 947699.06531220 17044.36849178
0.10900001 938243.33001461 23221.52351080
0.11000001 928820.45924128 17011.34751172
0.11100001 919431.18473631 16991.08909375
0.11200001 910079.19702768 18511.01173899
0.11300001 900763.60286977 16943.36416769
0.11400001 891487.94443994 15378.16776566
0.11500001 882253.37374398 21491.69319640
0.11600001 873060.86695803 21451.10651132
0.11700001 863912.17478919 21407.74469947
0.11800001 854807.51811212 16784.14640864
0.11900001 845748.83182293 21312.87156581
0.12000001 836737.46883239 15186.78577468
0.12100001 827776.38207278 16663.13935609
0.12200001 818864.76025692 19640.47220005
0.12300001 810004.82909465 16572.69958409
0.12400001 801196.64697867 15022.43783867
0.12500001 792441.46637131 16474.85886216
0.12600001 783742.21560171 16423.31890186
0.12700001 775097.85068702 20834.63120833
0.12800001 766509.89830494 17798.36067746
0.12900001 757979.68853795 23648.96739701
0.13000001 749507.98014767 14727.83250410
0.13100001 741094.61070126 16141.04138192
0.13200001 732741.34305004 16080.00953125
0.13300001 724450.20767284 17473.73983283
0.13400001 716219.26494371 17404.12895866
0.13500001 708051.83245952 17333.10967583
0.13600001 699946.17007518 17260.67336791
0.13700001 691905.09535324 20051.41060883
0.13800001 683926.71059076 21389.80888238
0.13900001 676014.59792733 15615.93794854
0.14000001 668167.18848580 24023.95239499
0.14100001 660385.52040939 19692.69714737
0.14200001 652669.54061777 25199.57215180
0.14300001 645021.60587610 19505.45428172
0.14400001 637437.95456654 16637.13139896
0.14500001 629923.65061013 13795.32859912
0.14600001 622476.34279204 20588.40600909
0.14700001 615098.82365293 19117.27234102
0.14800001 607786.26676139 27168.04740599
0.14900001 600543.60189445 17565.90118419
0.15000001 593368.89811572 20159.70926468
0.15100001 586263.26544332 16040.16369938
0.15200001 579226.74174575 19939.88152550
0.15300001 572260.00747895 14541.12747622
0.15400001 565359.72505421 15773.53707338
0.15500001 558530.11376119 20911.36844609
0.15600001 551767.00326179 15592.93624809
0.15700001 545076.38836741 15501.97321681
0.15800001 538450.83750855 16694.66900492
0.15900001 531896.41731808 15318.61754181
0.16000001 525408.37335736 13957.47409707
0.16100001 518991.83430383 15133.80260268
0.16200001 512642.21891209 17547.74398172
0.16300001 506360.43023345 14947.76060614
0.16400001 500146.88263497 14854.36311553
0.16500001 494000.65300460 18450.92526081
0.16600001 487922.78259844 15889.20616550
0.16700001 481910.50898372 15787.38901970
0.16800001 475964.74699470 12065.70690601
0.16900001 470087.55574850 15583.40320888
0.17000001 464275.06129210 16672.11823825
0.17100001 458528.40219932 14196.04000245
0.17200001 452847.62093323 16451.95484541
0.17300001 447232.02846946 12840.03214372
0.17400001 441681.09326167 11594.12924566
0.17500001 436194.18276910 14970.18505964
0.17600001 430769.70557900 12580.62984561
0.17700001 425410.57136143 13630.15535018
0.17800001 420112.26920228 16920.02244129
0.17900001 414877.54321686 12321.86361555
0.18000001 409704.28734868 13348.16631232
0.18100001 404594.12581779 13254.50418789
0.18200001 399542.02117452 14257.65769911
0.18300001 394551.52271188 14156.50930365
0.18400001 389620.27399930 10811.96311425
0.18500001 384749.74504325 11807.97023321
0.18600001 379936.07915637 13854.36978097
0.18700001 375180.57650793 14812.12986033
0.18800001 370482.53138048 12603.81631305
0.18900001 365843.06647245 15639.79183064
0.19000001 361255.94583935 12419.98000479
0.19100001 356729.27614480 16438.08582145
0.19200001 352254.13406286 12237.30919557
0.19300001 347836.36695330 16195.26201061
0.19400001 343469.99105389 13060.44702698
0.19500001 339158.08903301 10968.37311764
0.19600001 334898.59203318 11875.50463469
0.19700001 330690.92503940 13750.12931294
0.19800001 326535.00478900 11696.48442430
0.19900001 322430.06547530 12574.77314782
0.20000001 318373.94179125 16318.25715773
0.20100001 314369.02194759 11430.45817824
0.20200001 310411.35839417 16068.44472672
0.20300001 306503.62926349 11254.81379851
0.20400001 302642.67504200 13959.39404611
0.20500001 298828.69542293 12927.32997503
0.20600001 295061.32771131 12826.31652189
0.20700001 291339.92733153 11816.74801113
0.20800001 287662.46960911 10821.86261825
0.20900001 284031.99052619 12525.81137432
0.21000001 280443.50118253 13314.05584803
0.21100001 276899.08526974 9685.93046062
0.21200001 273396.80522493 11355.53684184
0.21300001 269936.04527426 15596.90543330
0.21400001 266517.97537554 11173.76664588
0.21500001 263141.50624528 12788.67780814
0.21600001 259804.31140925 13530.60917790
0.21700001 256507.22551590 10065.34400513
0.21800001 253249.42256453 8319.24392458
0.21900001 250029.27562958 9076.06313448
0.22000001 246847.10677990 10637.87656967
0.22100001 243703.89937218 9738.40827938
0.22200001 240597.83408551 8047.99793071
0.22300001 237526.56837385 11971.33961211
