# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 252.40994265
0.00100000 1682645.72606141 504.79372981
0.00200000 1682384.02298104 1135.60925147
0.00300000 1681948.05809860 1412.83641913
0.00400000 1681337.69748428 1639.30431734
0.00500000 1680553.61641486 1966.24780903
0.00600000 1679595.63183106 2645.36322783
0.00700000 1678464.53799948 2618.40478810
0.00800000 1677160.08085325 3849.08254807
0.00900000 1675683.67078607 2513.52561363
0.01000000 1674034.72888368 3038.37316412
0.01100000 1672214.88157190 4514.98037682
0.01200000 1670223.88773868 4559.71141344
0.01300000 1668063.23723298 4203.51954322
0.01400000 1665733.04476951 4497.47942026
0.01500000 1663234.85224095 6386.82211700
0.01600000 1660568.41352861 4657.89460817
0.01700000 1657735.86925933 5818.65316212
0.01800000 1654737.77338463 8017.20487280
0.01900000 1651575.00213539 5945.67027597
0.02000000 1648248.46057012 6749.57775136
0.02100000 1644760.83006461 6513.25318236
0.02200000 1641110.72273629 6228.01547574
0.02300000 1637301.36648515 9430.85630023
0.02400000 1633333.39280781 7350.00060278
0.02500000 1629208.92401230 8895.48113137
0.02600000 1624928.75278443 8555.25027471
0.02700000 1620494.41360370 7486.68453375
0.02800000 1615906.81716628 8435.03397244
0.02900000 1611169.01197207 7975.28697544
0.03000000 1606281.76161823 9709.97369530
0.03100000 1601246.70497884 8454.58299131
0.03200000 1596065.03133340 9480.62672278
0.03300000 1590740.88179872 11357.89041965
0.03400000 1585272.89516780 10819.48800874
0.03500000 1579665.11261695 11942.26880286
0.03600000 1573918.06270853 12229.34391241
0.03700000 1568034.94102148 8937.79957717
0.03800000 1562017.26959624 13706.70217505
0.03900000 1555867.45844196 11202.24621956
0.04000000 1549585.73894022 9529.95273609
0.04100000 1543176.21711138 13610.81486601
0.04200000 1536640.49881219 9911.33167715
0.04300000 1529980.40950567 14137.01964004
0.04400000 1523198.31394524 16450.54255460
0.04500000 1516297.28156572 13601.18724762
0.04600000 1509277.64623161 10640.40790057
0.04700000 1502143.40457137 12978.51961910
0.04800000 1494896.17419240 12086.23613070
0.04900000 1487538.81827926 11156.54165640
0.05000000 1480072.82299452 12454.81338547
0.05100000 1472502.45541473 13782.62362473
0.05200000 1464826.80846654 12809.91103700
0.05300000 1457051.28578522 14162.53915806
0.05400000 1449176.73140688 15542.42116914
0.05500000 1441207.35961510 14527.37086261
0.05600000 1433143.08068988 17154.72347637
0.05700000 1424989.86233931 12397.41238104
0.05800000 1416746.49470603 15045.84847630
0.05900000 1408417.12719100 12675.75473675
