# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 324.60689558
0.00100000 1664564.11538913 599.24309577
0.00200000 1664304.19847525 1273.19275215
0.00300000 1663871.20587184 1098.15503500
0.00400000 1663265.01573740 1746.42833288
0.00500000 1662486.27200583 1645.86147443
0.00600000 1661534.84763367 2093.53399325
0.00700000 1660411.45945105 3187.99013464
0.00800000 1659115.91429270 2911.74855252
0.00900000 1657649.62489588 2486.47454363
0.01000000 1656011.93796265 2732.41981562
0.01100000 1654204.52950890 3275.32511103
0.01200000 1652227.18803183 3221.84315792
0.01300000 1650081.31322375 3465.17091060
0.01400000 1647767.09650612 4448.97135779
0.01500000 1645286.06172561 4738.42406877
0.01600000 1642637.93101353 4607.59960247
0.01700000 1639824.82041699 6641.29082061
0.01800000 1636847.33653050 7464.02419044
0.01900000 1633706.34810561 6861.56697166
0.02000000 1630402.74634598 7190.07643663
0.02100000 1626939.18368627 9664.01918925
0.02200000 1623314.27752074 7840.60831664
0.02300000 1619531.26555644 6413.34410353
0.02400000 1615590.68000571 9087.69798941
0.02500000 1611494.94399193 7541.79668232
0.02600000 1607244.34454389 8462.14186107
0.02700000 1602840.96583932 7405.12560134
0.02800000 1598285.19087687 7647.79498907
0.02900000 1593580.40083223 10756.66819950
0.03000000 1588727.32860870 9603.85714288
0.03100000 1583727.41219705 9882.45950683
0.03200000 1578582.09976058 13283.76898131
0.03300000 1573295.40313091 10430.94900363
0.03400000 1567865.74863849 10700.68422819
0.03500000 1562297.48269490 10967.32883497
0.03600000 1556590.96887086 10366.89633177
0.03700000 1550749.58448057 10607.12764840
0.03800000 1544774.39707374 13555.39596166
0.03900000 1538668.32959862 12001.61352666
0.04000000 1532431.20120464 12251.78802137
0.04100000 1526067.46011022 10575.64798892
0.04200000 1519578.32180699 14701.92094555
0.04300000 1512965.87010005 11982.69024740
0.04400000 1506232.63721134 14233.89908270
0.04500000 1499381.21936567 13449.45016264
0.04600000 1492412.08749549 12625.80684715
0.04700000 1485329.38178882 18180.43247863
0.04800000 1478134.81754006 14123.57883874
0.04900000 1470830.87166680 11031.23205098
0.05000000 1463419.32093747 12314.67415914
0.05100000 1455904.16870882 12491.65834943
0.05200000 1448284.79132139 13816.63755308
0.05300000 1440566.24589475 12835.44584928
0.05400000 1432749.84529647 13002.20545241
0.05500000 1424839.15905908 11968.64949443
0.05600000 1416834.95040035 18170.90908681
0.05700000 1408742.18681988 15932.87487666
0.05800000 1400560.22944451 16113.44619213
0.05900000 1392293.14084718 15036.76662345
0.06000000 1383944.71581253 18994.64211193
0.06100000 1375515.97766824 14071.52910913
0.06200000 1367009.99718013 18085.54310808
0.06300000 1358430.29410387 19561.39714969
0.06400000 1349775.80520854 17108.40913112
0.06500000 1341053.15981176 14604.06959350
0.06600000 1332263.69200532 17406.02595045
0.06700000 1323408.47959989 17548.39726074
0.06800000 1314492.08252648 14965.49306008
0.06900000 1305517.62852075 15078.72931538
0.07000000 1296484.88482845 17949.83407101
0.07100000 1287398.24569666 18075.07221618
0.07200000 1278259.54064615 16796.33115094
0.07300000 1269072.72029988 16904.04942644
0.07400000 1259840.02994158 15590.52110116
0.07500000 1250562.59109559 14256.41420672
0.07600000 1241243.34652489 20070.90585424
0.07700000 1231886.52097680 20178.30215973
0.07800000 1222492.76140429 18832.50187261
