# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 299.63713438
0.00100000 1664564.81849314 699.11724037
0.00200000 1664307.00313944 1198.30108020
0.00300000 1663877.51323458 1297.82450656
0.00400000 1663276.21910103 1247.45721173
0.00500000 1662503.79987031 1945.12952284
0.00600000 1661560.04763932 1744.63812105
0.00700000 1660445.73241713 3387.30943491
0.00800000 1659160.65188341 3359.80046191
0.00900000 1657706.16515554 2486.55935403
0.01000000 1656081.68946100 3279.04188672
0.01100000 1654288.78361321 3573.26392818
0.01200000 1652327.34832438 4188.65001165
0.01300000 1650198.72244946 4158.50096398
0.01400000 1647903.09130455 4078.56033179
0.01500000 1645441.83232060 4343.96663076
0.01600000 1642814.86149085 5445.93150929
0.01700000 1640024.18068838 5313.67858380
0.01800000 1637070.35714853 6531.91101894
0.01900000 1633954.37813221 5392.04969114
0.02000000 1630676.84584394 5136.63229677
0.02100000 1627240.65906525 6443.87330205
0.02200000 1623644.35645010 10082.83191164
0.02300000 1619891.09521106 5831.60820821
0.02400000 1615981.40184509 6059.93053324
0.02500000 1611917.59711939 7543.77469905
0.02600000 1607700.17983054 7813.42323135
0.02700000 1603331.01420250 8080.78868169
0.02800000 1598810.52402967 7650.30870832
0.02900000 1594142.12967880 10043.09587810
0.03000000 1589326.33456704 12563.62525224
0.03100000 1584364.79242778 10646.93189501
0.03200000 1579258.68927640 9380.79704636
0.03300000 1574012.11558355 8830.20837550
0.03400000 1568623.69333330 8235.27476998
0.03500000 1563097.29703345 9284.79837313
0.03600000 1557433.69078214 11236.88459829
0.03700000 1551635.85010176 8844.32475461
0.03800000 1545705.15014430 9946.61310150
0.03900000 1539644.22239645 12933.01206706
0.04000000 1533453.10697051 9430.73704488
0.04100000 1527135.87538227 10583.05210710
0.04200000 1520694.14717384 9808.47770431
0.04300000 1514129.49155452 11991.90612975
0.04400000 1507444.76293853 10175.25262239
0.04500000 1500642.40840055 11389.87640899
0.04600000 1493722.93448147 10530.74717764
0.04700000 1486690.45278209 13915.42328522
0.04800000 1479546.29170115 11962.13232498
0.04900000 1472293.30680410 13250.64037802
0.05000000 1464933.09415140 13448.08643054
0.05100000 1457469.75600604 12505.09108907
0.05200000 1449902.37818570 13832.06933248
0.05300000 1442236.35823686 14018.53805558
0.05400000 1434472.37980180 15384.71699082
0.05500000 1426614.64081827 14380.27625028
0.05600000 1418663.20893547 20620.27070410
0.05700000 1410623.72200580 18408.64043146
0.05800000 1402495.08933703 12412.08212018
0.05900000 1394281.31118696 13803.38562545
0.06000000 1385986.13572108 13949.95110776
0.06100000 1377610.93317650 14092.96050498
0.06200000 1369158.31636488 14232.40136389
0.06300000 1360631.65040584 20899.30312739
0.06400000 1352030.27822285 17136.98457792
0.06500000 1343360.87945091 14629.20066154
0.06600000 1334624.29256095 14754.27224459
0.06700000 1325821.77933620 14875.72106032
0.06800000 1316957.60713845 19082.71662068
0.06900000 1308035.29202937 26095.30529774
0.07000000 1299054.46558169 17985.40991821
0.07100000 1290019.27848140 18111.87151820
0.07200000 1280931.94480142 16831.44654319
0.07300000 1271795.53326211 19763.70351293
0.07400000 1262613.36339441 15624.84110425
0.07500000 1253385.39819479 21432.89131374
0.07600000 1244115.63645227 21554.30441201
0.07700000 1234807.29803695 15891.97067089
0.07800000 1225461.87929147 14521.72395062
0.07900000 1216081.11027844 17511.56880937
