# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 324.60689558
0.00100000 1664564.70599980 649.18025076
0.00200000 1664306.55887716 748.93797521
0.00300000 1663876.50637882 1297.82372121
0.00400000 1663274.43888315 1372.20146422
0.00500000 1662501.00495265 2244.37644552
0.00600000 1661556.03902958 2093.56069441
0.00700000 1660440.27994268 2590.28694436
0.00800000 1659153.52564071 2239.85735418
0.00900000 1657697.19269401 2983.85507440
0.01000000 1656070.60391486 3552.27159878
0.01100000 1654275.37363552 3275.46538241
0.01200000 1652311.38740016 4188.60955070
0.01300000 1650180.02854569 3811.91603406
0.01400000 1647881.41281234 3707.73334320
0.01500000 1645417.05153467 5133.70142939
0.01600000 1642786.69546834 4189.10626071
0.01700000 1639992.45368292 4870.77780594
0.01800000 1637034.80236205 7464.87903467
0.01900000 1633914.81959185 5882.09361595
0.02000000 1630633.12041012 5136.49456164
0.02100000 1627192.57274202 5906.70930685
0.02200000 1623591.67995272 8962.22648051
0.02300000 1619833.65139438 5831.40141046
0.02400000 1615919.06126592 10907.45416090
0.02500000 1611850.14931156 8800.70221717
0.02600000 1607627.36701512 7161.98024763
0.02700000 1603252.77228449 7407.02814720
0.02800000 1598726.62097071 12518.03001627
0.02900000 1594052.29553015 7173.23565924
0.03000000 1589230.59711151 11084.88392437
0.03100000 1584262.86063542 9885.80070524
0.03200000 1579150.41378669 8598.47439910
0.03300000 1573897.49618292 8829.56536063
0.03400000 1568502.32407327 11528.49261387
0.03500000 1562969.21745454 11816.04782960
0.03600000 1557298.73393411 9507.30921004
0.03700000 1551493.85344848 10612.21844838
0.03800000 1545556.00883435 10849.80368414
0.03900000 1539487.72631891 15702.77553565
0.04000000 1533289.17487939 13201.62040746
0.04100000 1526964.42383767 9619.87631622
0.04200000 1520514.98732051 10788.05433553
0.04300000 1513942.42499162 15987.23275001
0.04400000 1507250.02016460 12208.72573033
0.04500000 1500439.61268798 12423.64057032
0.04600000 1493511.96574499 10529.25984797
0.04700000 1486471.29573288 11772.85320974
0.04800000 1479318.99253449 11960.29461113
0.04900000 1472057.72842452 13248.52017251
0.05000000 1464689.14170874 11204.87245584
0.05100000 1457217.14709498 12502.92370451
0.05200000 1449641.33230654 11524.64912890
0.05300000 1441966.52476526 16351.90115313
0.05400000 1434194.14401643 13015.31246390
0.05500000 1426327.63303606 13179.26794406
0.05600000 1418367.65907621 15765.15726630
0.05700000 1410319.32661415 20858.62381427
0.05800000 1402181.87430802 13650.24118375
0.05900000 1393959.24334891 12545.63377609
0.06000000 1385655.31000363 13946.62134676
0.06100000 1377271.14465125 12808.62224382
0.06200000 1368809.84921126 12935.25367969
0.06300000 1360274.32487982 15670.36095529
0.06400000 1351664.23287115 18450.21764155
