# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097350 271.69992646
0.00100000 1646580.65322207 543.37162847
0.00200000 1646323.93033366 963.09952974
0.00300000 1645896.24552876 1580.06045199
0.00400000 1645297.49473820 1727.56243512
0.00500000 1644528.32649956 2072.10577341
0.00600000 1643588.56574126 1725.76806429
0.00700000 1642478.96252478 2562.26728803
0.00800000 1641199.31448893 2215.61916810
0.00900000 1639751.03263086 3443.47731573
0.01000000 1638133.42470884 3243.50432098
0.01100000 1636348.10552947 3534.51206183
0.01200000 1634395.00610158 3505.77744179
0.01300000 1632275.42847835 3770.55640608
0.01400000 1629989.56505673 6234.71036273
0.01500000 1627538.87002661 4296.70280820
0.01600000 1624923.11530267 5386.62036803
0.01700000 1622144.41368896 4817.76912478
0.01800000 1619203.20092801 5537.67519636
0.01900000 1616100.59685923 7272.45301402
0.02000000 1612837.22718355 5588.48124499
0.02100000 1609415.90011830 6904.39452454
0.02200000 1605835.16322084 6648.15787778
0.02300000 1602098.15441997 8651.33042766
0.02400000 1598205.53185922 6592.59811953
0.02500000 1594159.54031368 9325.83373675
0.02600000 1589960.48691398 9015.07637314
0.02700000 1585610.62412531 9323.39089688
0.02800000 1581110.00066501 8253.39458197
0.02900000 1576462.09995395 7094.07977551
0.03000000 1571667.79196326 8039.08112541
0.03100000 1566728.25928854 8272.32558968
0.03200000 1561644.94924155 9276.17142574
0.03300000 1556422.00825407 8731.52786883
0.03400000 1551057.67888878 12214.57978483
0.03500000 1545556.35972131 11684.40661906
0.03600000 1539918.43214939 8546.54769340
0.03700000 1534147.04736328 9619.10243183
0.03800000 1528243.39496466 11622.29155658
0.03900000 1522210.29031615 10046.58838134
0.04000000 1516047.68632519 10256.06307325
0.04100000 1509759.82790626 13316.08229955
0.04200000 1503347.94368912 11635.91362398
0.04300000 1496813.80395941 10866.86872116
0.04400000 1490160.82825184 14082.02048098
0.04500000 1483390.42951958 11258.93388320
0.04600000 1476503.70677529 14573.09226333
0.04700000 1469504.66596789 11638.47749575
0.04800000 1462394.91276698 11823.46341984
0.04900000 1455176.92500228 12005.21019008
0.05000000 1447852.44058074 12183.67885483
0.05100000 1440425.24679243 15729.44442771
0.05200000 1432895.04790995 13669.81939409
0.05300000 1425266.49787118 15008.05692223
0.05400000 1417541.33474944 14033.65986846
0.05500000 1409722.66970310 13025.83807570
0.05600000 1401811.37132563 17978.23167619
0.05700000 1393812.29542324 15764.01779708
0.05800000 1385724.87679885 13490.03230552
0.05900000 1377553.03493617 13637.77568283
0.06000000 1369300.63519032 13782.01153707
0.06100000 1360968.65553559 15188.41090555
0.06200000 1352560.27714590 20450.71234638
0.06300000 1344078.34277016 20645.04431021
0.06400000 1335522.55815719 14323.48010610
0.06500000 1326899.07316537 14449.93158271
0.06600000 1318209.19916420 14572.80337860
0.06700000 1309454.19317713 26712.86679095
0.06800000 1300638.34419163 13461.60749251
0.06900000 1291764.76831344 14919.88377255
0.07000000 1282833.40710209 17760.82935304
0.07100000 1273848.53039814 17884.83420448
0.07200000 1264811.77160478 15234.65850267
0.07300000 1255726.94429416 19513.99762867
0.07400000 1246596.89669871 16829.05889411
0.07500000 1237421.91801242 18338.59368452
0.07600000 1228205.50025345 18441.50645085
0.07700000 1218951.60311076 14261.73442511
0.07800000 1209660.82002390 17201.37766742
0.07900000 1200335.37198052 15844.42765331
0.08000000 1190980.79230541 27493.79288013
0.08100000 1181597.06705272 17440.37352797
0.08200000 1172185.87644624 16053.08633123
0.08300000 1162751.19579294 17580.79890549
0.08400000 1153295.21439481 16174.96614112
0.08500000 1143820.25659571 14755.28200277
0.08600000 1134328.76388559 16283.29017010
0.08700000 1124822.70245043 17817.19244347
0.08800000 1115304.16586815 19356.10470768
0.08900000 1105776.35731554 16420.77967741
0.09000000 1096241.08205258 20949.16806212
0.09100000 1086700.46543388 19495.40726580
0.09200000 1077156.32918773 15026.33149821
0.09300000 1067612.84726310 16558.67603918
0.09400000 1058069.10594683 18092.98256202
0.09500000 1048528.77804666 16608.69662491
0.09600000 1038993.60549269 16629.09343761
0.09700000 1029468.90383233 21186.47103690
0.09800000 1019952.88517650 21204.82147982
0.09900000 1010449.53408951 22735.11558608
0.10000000 1000958.32200791 18197.42314988
0.10100000 991483.52879223 19720.60831517
0.10200000 982026.53480301 18206.77281163
0.10300000 972588.84970332 21241.34147673
0.10400000 963173.13740853 16686.97539064
0.10500000 953782.68966618 22747.71821880
0.10600001 944414.11976094 16673.63206893
0.10700001 935074.34466832 16663.02560611
0.10800001 925762.23847958 19677.07730492
0.10900001 916481.33911009 28731.69133338
0.11000001 907232.56195708 16615.96515435
0.11100001 898016.83443849 19612.68858737
0.11200001 888836.73965874 16572.36179112
0.11300001 879692.91311502 18051.29942699
0.11400001 870587.57603826 21024.69095126
0.11500001 861522.62181404 25483.84035324
0.11600001 852498.72248291 14961.35328413
0.11700001 843517.30027844 14930.25691807
0.11800001 834579.53108296 16386.96986461
0.11900001 825686.21877520 17834.82316559
0.12000001 816839.43294182 20755.89096876
0.12100001 808041.85582904 14787.16665827
0.12200001 799292.32448450 17696.33289778
0.12300001 790593.54721453 19116.55287231
0.12400001 781945.73846681 16127.63161577
0.12500001 773349.06317589 17539.55757930
0.12600001 764807.79608107 26225.26056344
0.12700001 756319.86890873 20329.87903434
0.12800001 747887.16516421 15918.77906076
0.12900001 739511.00019949 24514.79081205
0.13000001 731192.28720715 14367.92912085
0.13100001 722930.76865091 20039.64185162
0.13200001 714728.01656255 15684.70706285
0.13300001 706585.75561642 15622.61179318
0.13400001 698503.15797565 18388.09650063
0.13500001 690481.99226086 15494.41663687
0.13600001 682522.12937181 18233.57954589
0.13700001 674624.78449674 15361.20706732
0.13800001 666789.66179331 15292.82161437
0.13900001 659019.17054501 17991.22420431
