# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 299.63713438
0.00100000 1664564.66410960 549.30635220
0.00200000 1664306.39138381 898.72547981
0.00300000 1663876.12967224 1098.15828470
0.00400000 1663273.77340022 1871.18306618
0.00500000 1662499.96424611 1945.12503516
0.00600000 1661554.54227600 1919.09557446
0.00700000 1660438.24117609 1992.52597222
0.00800000 1659150.85560864 2463.83912460
0.00900000 1657693.83029870 3232.50310726
0.01000000 1656066.45670047 3552.26270301
0.01100000 1654270.36294437 4168.76149612
0.01200000 1652305.47649890 3544.19540248
0.01300000 1650173.05372287 4851.50899192
0.01400000 1647873.34378268 4820.02974424
0.01500000 1645407.75235617 4343.87665965
0.01600000 1642776.17383066 4607.98737359
0.01700000 1639980.56985156 4870.74251095
0.01800000 1637021.50594559 5132.06265207
0.01900000 1633900.04845050 5882.04043983
0.02000000 1630616.79528893 6163.73176501
0.02100000 1627174.63379313 8591.48245595
0.02200000 1623572.02447589 9522.25035617
0.02300000 1619812.19168980 8163.85381772
0.02400000 1615895.70375699 8483.45283155
0.02500000 1611824.94401842 7543.34108252
0.02600000 1607600.10509976 7161.85879579
0.02700000 1603223.49175909 8753.60066593
0.02800000 1598695.13400652 10431.48622778
0.02900000 1594018.70750954 10759.62676971
0.03000000 1589194.73770676 8867.70704401
0.03100000 1584224.67709458 9125.13455994
0.03200000 1579109.90534612 9379.91326978
0.03300000 1573854.50675301 8829.32418992
0.03400000 1568456.81922387 10704.71828512
0.03500000 1562921.16847184 10127.72963938
0.03600000 1557248.11539893 14692.63664779
0.03700000 1551440.56917881 9727.53281863
0.03800000 1545499.91487148 14465.87987267
0.03900000 1539429.00109540 13854.86165148
0.04000000 1533227.54402813 15086.95973235
0.04100000 1526900.06577759 12505.31211855
0.04200000 1520447.62523471 11768.26516528
0.04300000 1513872.18520312 15986.49101781
0.04400000 1507176.83016159 13225.47729888
0.04500000 1500363.37316912 12423.00930707
0.04600000 1493432.76100702 16845.92232727
0.04700000 1486388.91609998 21404.00138730
0.04800000 1479233.45477290 10872.36639845
0.04900000 1471969.06966084 11039.76853633
0.05000000 1464597.29987100 15685.83781205
0.05100000 1457122.06718860 11365.55265352
0.05200000 1449543.05446565 14981.02816604
0.05300000 1441864.99863413 15182.83914341
0.05400000 1434089.30421166 13014.36104263
0.05500000 1426219.43765155 14376.29260217
0.05600000 1418256.18277740 13338.70002146
0.05700000 1410204.46617067 17176.29119972
0.05800000 1402063.62364967 14889.91637841
0.05900000 1393837.63993737 16307.90114894
0.06000000 1385530.33188885 16480.88406779
0.06100000 1377142.84525312 16649.65777717
0.06200000 1368678.07436986 16814.21092959
0.06300000 1360139.27636948 20891.74026183
0.06400000 1351525.73561776 14495.11419239
0.06500000 1342844.01682543 15952.98766613
0.06600000 1334095.16774710 13407.65706318
0.06700000 1325280.44344061 18925.00561800
0.06800000 1316404.41817370 16349.74363903
