# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097350 296.39991978
0.00100000 1646580.59717456 642.16644815
0.00200000 1646323.69130649 814.93025300
0.00300000 1645895.72474762 1185.04496403
0.00400000 1645296.55224209 1233.97246107
0.00500000 1644526.85181507 2072.10391530
0.00600000 1643586.44175474 2070.91900092
0.00700000 1642476.07959225 2365.16565291
0.00800000 1641195.52145240 2658.73685700
0.00900000 1639746.20869730 2705.58136001
0.01000000 1638127.51651606 2973.20157086
0.01100000 1636340.99537132 4123.57948787
0.01200000 1634386.51641294 3505.75923141
0.01300000 1632265.48582843 4798.86073999
0.01400000 1629978.03234726 4034.19580890
0.01500000 1627525.63405538 3906.06169567
0.01600000 1624908.07257360 4143.51577029
0.01700000 1622127.45617484 4379.74432814
0.01800000 1619184.27499254 4614.67539138
0.01900000 1616079.50296294 6787.53421872
0.02000000 1612813.91490070 5588.40046793
0.02100000 1609390.21213277 5842.08673491
0.02200000 1605806.97090638 6094.03773146
0.02300000 1602067.45915203 8074.42036166
0.02400000 1598172.08906177 5993.14560725
0.02500000 1594123.25515665 8082.20527276
0.02600000 1589921.40448452 7727.01837922
0.02700000 1585568.42453648 9989.08153209
0.02800000 1581064.72057027 9628.68458984
0.02900000 1576413.73436014 8512.63455640
0.03000000 1571615.99986012 8769.61768232
0.03100000 1566673.15131142 8272.03461955
0.03200000 1561586.37259246 8502.83819039
0.03300000 1556359.73671954 10318.66553015
0.03400000 1550991.73485413 8956.97768206
0.03500000 1545486.58980010 9180.19076734
0.03600000 1539844.78537635 11109.98063992
0.03700000 1534069.33461881 11367.45429524
0.03800000 1528161.71914177 12515.64505899
0.03900000 1522124.46117679 12785.84606600
0.04000000 1515957.57152677 12120.08134599
0.04100000 1509665.42992533 12364.16044437
0.04200000 1503249.22452048 15513.53271677
0.04300000 1496710.73447447 11853.94956727
0.04400000 1490052.81629391 10057.85697709
0.04500000 1483278.00699768 14328.46621337
0.04600000 1476386.58834319 16653.64149069
0.04700000 1469382.92848976 13753.42485031
0.04800000 1462268.18459727 12897.20598823
0.04900000 1455045.19500592 12004.12341756
0.05000000 1447715.70258779 17720.04102483
0.05100000 1440283.66723691 14604.47706612
0.05200000 1432748.17569224 13668.41823307
0.05300000 1425114.71022175 18469.48750548
0.05400000 1417384.07182779 16370.78679304
0.05500000 1409560.09698388 17760.45805051
0.05600000 1401643.26686459 20372.88583456
0.05700000 1393638.87004680 12124.65873537
0.05800000 1385546.02953121 15940.70781407
0.05900000 1377368.70200727 14875.58267645
0.06000000 1369110.72556312 12527.36372417
0.06100000 1360773.13556237 12655.19075212
0.06200000 1352358.88646534 14057.77128192
0.06300000 1343871.35265388 18061.63182415
0.06400000 1335309.58186928 14321.19593530
0.06500000 1326680.53564587 15760.96550074
0.06600000 1317984.90116511 14570.32376410
0.06700000 1309223.97158992 18695.71918924
0.06800000 1300402.00349218 21534.65818585
0.06900000 1291522.59178408 18985.38298810
0.07000000 1282585.28654751 20489.30091208
0.07100000 1273594.49562872 13754.82119704
0.07200000 1264551.78124361 13846.84265330
0.07300000 1255461.00381945 15329.17957489
0.07400000 1246324.82463812 16825.38592112
0.07500000 1237143.76981177 16924.12756430
0.07600000 1227921.20608813 28364.98119040
0.07700000 1218660.91648900 19961.66674806
0.07800000 1209364.22141983 17197.16003507
0.07900000 1200032.69740561 18720.51095759
0.08000000 1190671.87219296 14466.66392579
0.08100000 1181282.01678946 18888.70033469
0.08200000 1171864.89923555 23343.54988817
0.08300000 1162423.74555636 17575.84785768
0.08400000 1152961.84232183 24990.44910534
0.08500000 1143480.77119484 16225.99290499
0.08600000 1133983.09927790 19238.02418250
0.08700000 1124470.96333306 14843.01741299
0.08800000 1114946.14369490 25303.70391951
0.08900000 1105412.21472725 19399.98527967
0.09000000 1095870.88124408 20942.09352434
0.09100000 1086324.17601502 14991.27433331
0.09200000 1076773.94824432 18025.19674055
0.09300000 1067224.59644642 18057.44102043
0.09400000 1057674.49891168 18086.23478140
0.09500000 1048128.34387665 21130.26840573
0.09600000 1038587.40253182 21156.02638407
0.09700000 1029056.59822863 19665.27251667
0.09800000 1019534.59967164 18168.10742037
0.09900000 1010025.24864601 19695.49327473
0.10000000 1000528.44238106 19705.40859938
0.10100000 991047.69973010 22744.54577852
0.10200000 981584.74872351 15165.48508111
0.10300000 972141.52187606 21231.57183652
0.10400000 962720.11617683 16679.12679743
0.10500000 953323.93389973 21220.99176704
0.10600001 943949.48873191 19695.50700913
0.10700001 934604.62521831 16654.65520512
0.10800001 925286.59923809 22692.65491427
0.10900001 916000.38729732 18136.80852211
0.11000001 906746.14372091 15097.32400358
0.11100001 897524.73459447 18094.09950117
0.11200001 888339.66905509 15057.35809934
0.11300001 879190.38727140 25558.06576127
0.11400001 870079.91194910 24014.20670049
0.11500001 861009.65898770 17977.88252621
0.11600001 851980.76835167 16447.48950757
0.11700001 842994.45585743 17905.20308566
0.11800001 834051.61511533 17865.38643720
0.11900001 825153.41936959 19308.59092271
0.12000001 816301.65864269 17779.05096272
0.12100001 807499.17574978 14777.23561235
0.12200001 798745.11763793 16210.53292616
0.12300001 790041.60565608 20572.68438055
0.12400001 781388.99352866 16116.14875088
0.12500001 772788.14379242 17526.83592709
0.12600001 764242.24658097 20382.34167680
0.12700001 755750.04529737 15961.44170889
0.12800001 747313.16424195 24582.86769631
0.12900001 738932.81118010 15850.10954686
0.13000001 730609.78812559 14356.48301336
0.13100001 722344.18990062 17162.89876106
0.13200001 714137.34917566 14247.04078766
0.13300001 705991.29126481 17028.51074808
0.13400001 697904.65921617 19785.59802158
0.13500001 689879.91402905 19702.97127363
0.13600001 681916.25801841 15414.71773932
0.13700001 674015.63094952 23718.61117152
0.13800001 666176.90187780 16667.74687096
0.13900001 658402.78766940 16591.75103171
0.14000001 650692.29868702 16514.57131951
0.14100001 643046.43934370 17805.95674521
0.14200001 635465.09017483 14993.79950986
0.14300001 627950.45908237 16276.47666714
0.14400001 620498.88570531 14845.43654076
0.14500001 613115.61025160 13427.23249790
0.14600001 605798.07317193 14693.63295795
0.14700001 598549.09165036 13287.79046151
0.14800001 591363.87246946 15860.37980790
0.14900001 584247.41727379 17089.23776154
0.15000001 577197.82195687 14380.88441259
0.15100001 570215.97276130 19501.38718861
0.15200001 563302.05342750 14220.56100980
0.15300001 556456.69624405 15424.98034777
0.15400001 549676.79920121 21725.97651370
0.15500001 542966.48001302 12705.41623191
0.15600001 536321.36034879 13893.40549553
0.15700001 529747.68942248 17577.02916462
0.15800001 523237.93515200 16222.99294509
0.15900001 516798.18305042 16124.10407224
0.16000001 510423.63035879 14792.07750602
0.16100001 504119.61136597 17150.14998823
0.16200001 497881.13020840 12173.19420824
0.16300001 491709.88996944 13305.67025070
0.16400001 485605.51775189 15624.35827129
0.16500001 479567.58551942 11941.23344319
0.16600001 473596.76943753 13049.95959798
0.16700001 467690.59294581 16500.12489818
0.16800001 461849.90327804 17561.84340135
0.16900001 456076.89787985 12792.95758959
0.17000001 450367.43232311 15017.50273994
0.17100001 444722.94944140 13768.62316488
0.17200001 439143.61548627 13674.93283201
0.17300001 433628.21337224 15844.77566488
0.17400001 428176.45607680 11239.63250282
0.17500001 422788.01670157 14510.08541847
