# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 271.69992646
0.00100000 1646580.94160711 543.37172363
0.00200000 1646325.08585696 1185.35409935
0.00300000 1645898.85157076 987.53934612
0.00400000 1645302.12300600 1480.77196697
0.00500000 1644535.54678805 1776.09846083
0.00600000 1643598.96667275 1898.35688379
0.00700000 1642493.10733872 2168.09099179
0.00800000 1641217.78349706 2658.77292152
0.00900000 1639774.37581495 2951.59400264
0.01000000 1638162.22151594 3784.15489510
0.01100000 1636382.95146552 5301.88099359
0.01200000 1634436.43158427 3824.58141759
0.01300000 1632323.98802497 5827.39689427
0.01400000 1630045.83538782 3667.60329221
0.01500000 1627603.40668149 4687.49801997
0.01600000 1624996.42506317 4558.11517607
0.01700000 1622227.03872938 4818.01452116
0.01800000 1619295.76728137 4614.99314442
0.01900000 1616203.55830384 6303.19416180
0.02000000 1612951.16801136 6096.95569088
0.02100000 1609541.32001130 5311.48659685
0.02200000 1605972.58222885 6094.66622645
0.02300000 1602248.11812246 8652.14023169
0.02400000 1598368.42801068 8990.82281752
0.02500000 1594335.98291158 8083.28380253
0.02600000 1590150.93346062 7084.12273258
0.02700000 1585815.53690190 7992.51067205
0.02800000 1581329.89144181 8254.54241188
0.02900000 1576697.51802225 7095.13915687
0.03000000 1571919.03551262 8040.36623622
0.03100000 1566995.91702915 12786.68727131
0.03200000 1561929.48080313 9277.86154329
0.03300000 1556723.83608856 9527.15031607
0.03400000 1551377.28173394 12217.09665736
0.03500000 1545894.00528192 9182.61081541
0.03600000 1540274.67586049 9403.37733069
0.03700000 1534522.18811391 15744.19837818
0.03800000 1528638.04107031 11625.29284035
0.03900000 1522624.72348512 11876.47339318
0.04000000 1516482.24170508 10259.00284053
0.04100000 1510214.85245926 10465.78941281
0.04200000 1503823.94749939 14549.49736705
0.04300000 1497311.18763420 12846.93058623
0.04400000 1490679.52246522 11068.29596834
0.04500000 1483931.27387939 12286.95151863
0.04600000 1477066.76644659 11454.65330628
0.04700000 1470090.31654459 14818.51107995
0.04800000 1463003.49514341 13978.99904651
0.04900000 1455808.62559833 12010.42172024
0.05000000 1448507.56886219 14405.40844314
0.05100000 1441104.21594686 11240.61340802
0.05200000 1433597.93962255 12536.81456623
0.05300000 1425993.81843174 11550.55046776
0.05400000 1418292.95534371 16381.28439814
0.05500000 1410499.07857573 14217.83137529
0.05600000 1402612.72145112 13191.57326082
0.05700000 1394638.74375425 12133.35763703
0.05800000 1386576.77201315 17179.68700740
0.05900000 1378430.36095389 12405.87382801
0.06000000 1370203.61748347 16298.57279142
0.06100000 1361897.53694634 16465.34199113
0.06200000 1353515.02446482 21744.21988443
0.06300000 1345059.35982283 12912.57045803
0.06400000 1336529.73556116 16940.51519049
0.06500000 1327932.59878578 13146.53334294
0.06600000 1319269.31709411 19887.98588572
0.06700000 1310540.75039032 16041.01953548
0.06800000 1301751.43192314 16167.75354128
0.06900000 1292904.64897725 14933.04939484
0.07000000 1283999.98354045 17776.98060459
0.07100000 1275041.84739760 15147.49785656
0.07200000 1266031.96678249 15249.35575428
0.07300000 1256974.07331213 15347.65415426
0.07400000 1247870.80936364 18250.11144222
0.07500000 1238722.59738735 18357.86975376
0.07600000 1229532.80263345 17041.32544341
0.07700000 1220305.48845003 17133.08986118
0.07800000 1211041.42905666 20091.17825025
0.07900000 1201742.81349945 18747.18876990
0.08000000 1192414.65221542 23180.54192649
0.08100000 1183057.47852387 24737.73303658
0.08200000 1173672.79670924 16073.44970518
0.08300000 1164264.22086132 19070.64883273
0.08400000 1154834.41455990 17668.96737212
0.08500000 1145385.33296107 16253.01863772
0.08600000 1135919.76458474 16306.12898621
0.08700000 1126439.46287116 17842.80192974
0.08800000 1116946.42864144 16402.35907492
0.08900000 1107443.97898658 23920.79106966
0.09000000 1097933.87778531 14986.79813578
0.09100000 1088418.26821180 16522.19008769
0.09200000 1078898.94041520 18060.76911117
0.09300000 1069380.01950526 16586.08488194
0.09400000 1059860.47705991 18123.61500949
0.09500000 1050344.40710666 18149.95220790
0.09600000 1040833.14728834 15144.12300494
0.09700000 1031331.89661522 15160.57959298
0.09800000 1021839.09794001 22761.46697681
0.09900000 1012358.81423945 22778.07439147
0.10000000 1002890.26705581 22790.68239062
0.10100000 993437.88131708 18239.52035882
0.10200000 984002.97280919 18243.41597399
0.10300000 974587.06394597 18244.27069529
0.10400000 965192.98339223 18242.14824432
0.10500000 955823.50717750 16717.35392708
0.10600001 946475.48272141 15190.93221247
0.10700001 937156.32829346 22772.89984917
0.10800001 927864.11081159 16687.63681829
0.10900001 918602.86149412 31829.59064885
0.11000001 909373.28725790 15141.06594553
0.11100001 900176.13761552 18147.55178860
0.11200001 891014.63920426 18123.23861460
0.11300001 881888.91852136 21112.42170339
0.11400001 872801.14874477 18066.98462969
0.11500001 863753.28261298 18035.16939020
0.11600001 854746.21785045 24001.27492750
0.11700001 845781.13836607 16467.35953952
0.11800001 836859.12105983 17925.52321736
0.11900001 827981.30376065 20865.12983755
0.12000001 819149.39269402 17841.07461328
0.12100001 810366.23406192 20761.58389471
0.12200001 801630.81735447 20706.12498776
0.12300001 792945.50526080 17698.54451128
0.12400001 784310.63979765 20588.15526475
0.12500001 775726.56071623 21991.84903257
0.12600001 767197.20099585 17538.12884122
0.12700001 758721.00379462 18937.67714718
0.12800001 750299.42953669 14518.29464577
0.12900001 741933.72397886 17361.24995938
0.13000001 733625.00533326 14415.73203428
0.13100001 725372.93505450 17234.86174931
0.13200001 717179.07743441 14307.72326929
0.13300001 709045.41984121 19952.53905495
0.13400001 700970.80857251 17033.59145137
0.13500001 692956.97580791 16963.58756758
0.13600001 685003.89672415 19707.56303798
0.13700001 677113.14589437 19622.73989330
0.13800001 669283.76402779 18140.93727942
0.13900001 661518.25514251 26394.57962491
0.14000001 653816.01377885 16593.85121228
0.14100001 646177.38715416 15139.93689507
0.14200001 638602.93768535 16437.64039131
0.14300001 631094.43344449 19084.29656752
0.14400001 623648.74108783 18990.10506189
0.14500001 616270.24087393 13496.31891179
0.14600001 608956.99440003 16113.00283195
0.14700001 601711.46952624 14693.79477903
0.14800001 594529.41212995 17274.05288440
0.14900001 587415.43405268 22468.64141260
0.15000001 580367.40597719 14459.85460218
0.15100001 573386.81204058 20917.15189022
0.15200001 566473.15218320 18200.78323849
0.15300001 559627.69314924 14220.14035396
0.15400001 552846.92831378 14139.06085886
0.15500001 546135.31269869 15335.48030431
0.15600001 539488.28764791 15245.93972846
0.15700001 532911.90546094 15156.01530662
0.15800001 526398.90106285 13810.07582120
0.15900001 519955.15633493 14974.70920926
0.16000001 513576.02283967 12402.86153702
0.16100001 507266.88097250 20955.19584215
0.16200001 501022.66788471 13475.00528886
0.16300001 494845.19382166 15825.15004549
0.16400001 488733.89688313 15725.01387459
0.16500001 482688.21011354 12018.93699926
0.16600001 476709.40504636 14329.88539225
0.16700001 470794.54946057 16609.63248919
0.16800001 464944.60331576 11786.34625056
0.16900001 459161.71671402 14050.34919488
0.17000001 453441.95938056 15120.02284951
0.17100001 447786.28186194 12708.17527934
0.17200001 442195.48102877 11474.97327458
0.17300001 436667.69217875 11397.02730408
0.17400001 431203.41763033 12450.99927209
0.17500001 425801.62067257 12365.27964831
0.17600001 420461.05846398 13395.88995534
0.17700001 415184.04042589 14411.03872382
0.17800001 409966.95788444 15410.65867475
0.17900001 404811.70801110 15301.88328558
0.18000001 399716.84871257 14108.00684170
0.18100001 394683.49322314 12929.83184875
0.18200001 389707.10931185 12836.95278712
0.18300001 384790.80437626 16992.36272396
0.18400001 379932.59492025 13706.06900923
0.18500001 375133.98480108 14652.73413856
0.18600001 370390.96679449 18701.04079696
0.18700001 365704.77008905 11344.16250411
0.18800001 361074.85364891 10236.47258458
0.18900001 356502.75702391 10160.32905523
0.19000001 351981.89236568 11092.70986202
0.19100001 347520.01936297 11009.43473362
0.19200001 343109.05669045 11919.60919264
0.19300001 338753.78186687 15772.37682901
0.19400001 334449.38224753 11739.17387161
0.19500001 330198.44790691 9707.83482721
0.19600001 325998.80202306 11559.91806602
0.19700001 321850.00105529 12426.62912800
0.19800001 317752.11815397 10433.39129265
0.19900001 313704.40283586 12234.47228880
0.20000001 309704.65425530 12138.87449723
0.20100001 305755.13045431 13896.57133593
0.20200001 301852.16993773 12867.95861263
0.20300001 297998.13340307 12766.24063838
0.20400001 294190.51392155 19901.98920748
0.20500001 290428.66626917 14358.79393904
0.20600001 286712.58680172 11573.15411329
0.20700001 283042.17623244 9714.00794747
0.20800001 279414.88803269 10511.58858467
0.20900001 275834.12385107 9557.65284324
0.21000001 272294.41773132 12065.36622003
0.21100001 268798.18237340 8547.78260356
0.21200001 265343.68723931 14412.14305373
0.21300001 261930.09977563 10089.54792035
0.21400001 258558.40288726 9172.35977606
0.21500001 255228.02368374 9923.26602997
0.21600001 251936.24079845 9020.57752827
0.21700001 248684.29220841 8945.17441366
0.21800001 245470.90536393 10482.83550920
0.21900001 242294.93687654 10394.45328347
0.22000001 239156.38463906 11099.24833590
0.22100001 236056.50018301 10218.88637611
0.22200001 232993.13569874 10911.06906070
0.22300001 229964.40188015 7726.80426854
0.22400001 226971.04805568 11490.40985116
0.22500001 224014.78876078 11391.15254714
0.22600001 221090.75634220 9033.76873133
0.22700001 218203.02109882 10447.56114427
0.22800001 215347.60621809 7397.19062340
0.22900001 212524.35758914 12464.55416206
0.23000001 209734.92841976 8720.77873612
0.23100001 206978.13760966 9363.69138830
0.23200001 204251.35847438 9994.01944280
0.23300001 201556.29627166 7782.08896710
0.23400001 198892.83373319 11918.65362516
0.23500001 196257.85388524 6947.52835613
0.23600001 193654.41643106 8949.73927866
0.23700001 191079.68687130 6821.54514395
0.23800001 188534.18640203 8786.63617286
0.23900001 186017.07497956 9375.26102242
0.24000001 183527.93449944 7961.44217517
0.24100001 181067.93039411 7887.31942105
0.24200001 178634.85058753 7162.36467310
0.24300001 176228.80261639 10964.95661746
0.24400001 173849.16364780 10222.33130604
0.24500001 171496.09223773 6328.20610292
0.24600001 169169.02536676 8774.79776087
0.24700001 166868.13600578 9311.24242960
0.24800001 164592.45325240 6762.28126178
0.24900001 162340.82078135 7914.11538749
0.25000001 160115.08113016 6028.33308974
0.25100001 157912.52562303 9550.55000151
0.25200001 155735.93208807 8274.25046329
0.25300001 153582.72138800 8777.25294258
0.25400001 151452.49046518 6951.66964124
0.25500001 149345.39810867 5734.86355870
0.25600001 147261.82393896 9650.80408845
0.25700001 145200.34252342 5619.25352152
0.25800001 143161.97239670 6118.02717984
0.25900001 141145.77397905 6605.62253476
0.26000001 139151.69179009 8171.68348702
0.26100001 137178.29453935 6469.32867658
0.26200001 135227.82476643 7468.63311524
0.26300001 133297.48221663 6862.15470921
0.26400001 131388.65118246 5222.69913163
0.26500001 129501.21997450 6200.51870578
0.26600001 127633.34237168 7667.57340580
0.26700001 125787.00598983 6067.96545609
0.26800001 123961.24496160 5502.02011798
0.26900001 122154.07885226 5936.68851315
0.27000001 120368.07612103 8318.03629397
0.27100001 118601.02672739 6290.59875531
0.27200001 116855.07244926 4785.21544325
0.27300001 115127.48592875 7097.60984340
0.27400001 113417.35775871 6549.85272054
0.27500001 111729.18409039 5088.14728427
0.27600001 110057.49188133 6402.04460572
0.27700001 108406.26707130 5876.70401606
0.27800001 106772.53581779 4915.27391900
0.27900001 105158.50774943 4416.65753451
0.28000001 103561.35389303 6547.66690978
0.28100001 101983.31584960 4745.28391107
0.28200001 100423.76946631 5115.58705873
0.28300001 98881.59485957  4212.35614039
0.28400001 97357.03601829  4994.41618413
0.28500001 95850.70890296  4111.99560656
0.28600001 94361.71057654  5280.95338237
0.28700001 92890.01881502  4012.84900275
0.28800001 91435.10661342  5945.56808896
0.28900001 89999.35347463  5872.45809218
0.29000001 88579.03290038  5799.71245368
0.29100001 87176.66283024  5727.50701906
0.29200001 85791.08160729  3770.51821512
0.29300001 84422.40555330  4095.33108725
0.29400001 83069.68840180  4411.00066294
0.29500001 81734.83385791  3991.92947459
0.29600001 80415.74637385  5015.53033876
0.29700001 79113.24620969  3536.36227298
0.29800001 77826.94647013  4886.75420019
0.29900001 76557.60327891  5167.63846596
0.30000001 75303.53806293  3739.95039494
0.30100001 74066.74168041  5368.35769113
0.30200001 72844.06964669  3972.91574661
0.30300001 71639.12497800  4246.76752974
0.30400001 70449.62532162  4834.60576657
0.30500001 69275.72331184  4451.65819077
0.30600001 68116.44384837  3450.43862649
0.30700001 66974.07821563  4950.72409608
0.30800001 65846.51375691  3357.18466284
0.30900001 64734.66567998  4214.22693529
0.31000001 63638.34898663  2968.72912078
0.31100001 62556.26482462  3220.39666564
0.31200001 61490.17871998  3464.35683311
0.31300001 60438.48322504  2846.65269468
0.31400001 59402.70685007  3368.13363787
0.31500001 58380.93933546  3320.70798663
0.31600002 57374.50264110  3000.97350273
0.31700002 56382.57418886  2958.39380776
0.31800002 55405.32250300  3711.60273022
0.31900002 54442.72932590  2874.57624452
0.32000002 53494.66087923  3090.92165196
0.32100002 52560.28887681  2792.52828025
0.32200002 51641.52922798  2752.23543052
0.32300002 50735.19289397  2712.30354054
0.32400002 49843.65958503  2915.85422379
0.32500002 48966.09318544  3352.21889821
0.32600002 48102.72230019  2831.32636866
0.32700002 47252.50372155  2789.78795182
0.32800002 46417.02654375  2519.74840525
0.32900002 45594.21708858  2482.60523803
0.33000002 44785.89203776  2668.34357397
0.33100002 43988.57689601  3066.88372642
0.33200002 43207.65801776  2158.22262019
0.33300002 42438.57117602  2976.64152325
0.33400002 41682.88109565  3351.30379879
0.33500002 40939.46494319  2888.68878319
0.33600002 40209.79680236  2439.12638954
0.33700002 39492.07845201  2202.47331957
0.33800002 38788.06858479  1972.37338094
0.33900002 38095.58814062  2914.31263077
0.34000002 37416.30046916  3062.15017541
0.34100002 36748.93598617  2639.30870752
0.34200002 36094.52538704  2228.47610293
0.34300002 35451.36745369  2012.21971197
0.34400002 34821.49995974  2162.41524991
0.34500002 34202.61987232  1952.62766099
0.34600002 33596.57097360  1748.70160200
0.34700002 33000.61145637  2583.94799941
0.34800002 32417.74688842  1697.06912998
0.34900002 31845.73520870  2173.47153093
0.35000002 31285.24954568  1811.88531325
0.35100002 30736.57166114  2272.04748480
0.35200002 30197.78617272  2558.35656572
0.35300002 29670.55659479  2205.70928173
0.35400002 29154.54037338  2328.71902262
0.35500002 28649.36218735  1682.86361459
0.35600002 28153.92893888  2110.70015252
0.35700002 27669.67210153  1634.44760845
0.35800002 27196.15538670  1610.96434063
0.35900002 26732.89103646  1587.93380278
0.36000002 26280.07497155  1423.06612711
0.36100002 25836.50711695  2104.38360435
0.36200002 25404.05454099  1659.90100233
0.36300002 24980.45541955  1363.93293051
0.36400002 24566.63774854  1748.53052458
0.36500002 24162.30991700  1326.51087728
0.36600002 23767.75695728  1439.25659072
0.36700002 23382.13168226  1677.90184900
0.36800002 23007.02639323  1273.43897119
0.36900002 22640.07809440  1382.17683314
0.37000002 22281.73552321  1363.97650466
0.37100002 21932.30791937  1468.58740785
0.37200002 21592.24295797  2174.55489131
0.37300002 21260.28554502  1789.05311336
0.37400002 20936.89496933  1177.70039781
0.37500002 20622.25236213  1512.02361482
0.37600002 20316.00799760  1838.19249070
0.37700002 20017.18627449  1588.96432174
0.37800002 19726.44800396  1345.73834658
0.37900002 19444.21936727  1551.64877901
0.38000002 19169.62981641  1314.65327509
0.38100002 18901.70605760  1407.98815093
0.38200002 18642.24914123  1392.29644307
0.38300002 18389.58560144  1482.93625315
0.38400002 18145.00403802  1152.66143612
0.38500002 17906.52829164  1244.14564464
0.38600002 17676.11187263  1333.92784566
0.38700002 17451.91449071  1218.84176577
0.38800002 17234.73646947  1609.03507302
0.38900002 17023.64060648  1394.23623172
0.39000002 16820.33612664  1085.16403662
0.39100002 16622.47648715  1172.88199650
0.39200002 16431.40029222  1065.49420243
0.39300002 16246.25728902  1248.20000665
0.39400002 16068.41155839  1523.28548790
0.39500002 15895.29594833  1038.59868647
0.39600002 15728.39156329  1311.27606676
0.39700002 15567.03127281  1394.02771653
0.39800002 15411.71863278  922.39140387
0.39900002 15261.68403506  1098.84130259
0.40000002 15116.95628251  1182.07045252
0.40100002 14977.93199484  1174.12014470
0.40200002 14844.14091393  1076.79403291
0.40300002 14714.90617277  1159.24036322
0.40400002 14591.16018003  1063.69562752
0.40500002 14472.46248614  969.51030788
0.40600002 14358.49290809  964.24463693
0.40700002 14249.09498072  872.04465414
0.40800002 14144.37239123  1128.08447351
0.40900002 14044.02956964  950.07864540
0.41000002 13948.63541777  859.93341425
0.41100002 13857.05398447  942.00257450
0.41200002 13769.52097499  1194.23061075
0.41300002 13686.86598264  1444.92251025
0.41400002 13607.56241995  1185.89912109
0.41500002 13532.51616640  928.87195367
0.41600002 13460.78985281  1262.95866778
0.41700002 13393.17811222  923.72753817
0.41800002 13330.16761935  1005.36128949
0.41900002 13268.73782039  919.52357452
0.42000002 13211.92509658  1084.63304220
0.42100002 13158.98144572  1249.44534748
0.42200002 13109.16586377  998.13193616
0.42300002 13062.05799991  1329.19508505
0.42400002 13018.07756456  995.88298088
0.42500002 12977.57503417  1243.90062597
0.42600002 12939.09400577  911.62391137
0.42700002 12904.90005749  1408.44085901
0.42800002 12872.53494308  994.01719541
0.42900002 12844.03421434  828.44024608
0.43000002 12817.58733202  994.38847234
0.43100002 12792.89400650  1077.67344218
0.43200002 12771.79503855  1161.33937789
0.43300002 12752.87941204  996.25498688
0.43400002 12736.31081528  1163.46204811
0.43500002 12721.95560419  998.41912313
0.43600002 12710.19736807  1249.73021544
0.43700002 12699.94767969  834.38660210
0.43800002 12691.85551772  919.33459799
0.43900002 12686.47739215  1255.96132134
0.44000002 12682.51302260  1258.42241430
0.44100002 12680.82212628  1177.03396554
0.44200002 12680.76974178  1011.16462713
0.44300002 12682.65593386  1098.06440279
0.44400002 12686.48598371  931.50527750
0.44500002 12690.72895727  1103.71274972
0.44600002 12697.17230673  1021.61453221
0.44700002 12706.02458862  1024.61387138
0.44800002 12714.97562670  941.98901395
0.44900002 12726.91750140  1030.88036647
0.45000002 12739.51217013  1206.55925481
0.45100002 12753.16888646  1037.59786978
0.45200002 12768.37826680  1301.41701652
0.45300002 12784.48101248  1305.93479732
0.45400002 12802.21036813  1135.87616874
0.45500002 12820.91046715  964.64534927
