# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 299.63713438
0.00100000 1664564.46191237 649.18015556
0.00200000 1664305.57734444 1048.51254693
0.00300000 1663874.30762828 1297.82200618
0.00400000 1663270.52302793 1496.94352761
0.00500000 1662494.88646493 1645.87000275
0.00600000 1661547.22957290 1919.08712829
0.00700000 1660428.30628940 3188.02248057
0.00800000 1659137.89931415 2463.81988450
0.00900000 1657677.40031432 3232.47106879
0.01000000 1656046.18330179 3825.46684861
0.01100000 1654245.85181652 3870.93546179
0.01200000 1652276.31191837 3866.32673940
0.01300000 1650138.90871632 5544.46697782
0.01400000 1647833.79694844 7044.48979424
0.01500000 1645362.39642500 4738.64391271
0.01600000 1642724.58086511 5026.73744216
0.01700000 1639922.47814402 6198.90724546
0.01800000 1636956.49877940 5131.85885459
0.01900000 1633827.69302422 4901.48330024
0.02000000 1630536.77005555 5649.81016382
0.02100000 1627086.47701053 6443.26274109
0.02200000 1623475.45513328 6721.18868961
0.02300000 1619706.84962288 5830.94492406
0.02400000 1615781.22622852 9088.76981196
0.02500000 1611700.86977121 8799.88715085
0.02600000 1607466.32258333 7161.26279465
0.02700000 1603079.39867717 12119.28080908
0.02800000 1598540.57030135 10430.47769955
0.02900000 1593853.29823610 8606.80820565
0.03000000 1589018.08246901 8866.72130774
0.03100000 1584036.52596875 9124.05080941
0.03200000 1578909.88717376 9378.72516178
0.03300000 1573642.18890113 8828.13308672
0.03400000 1568232.23879607 9056.54159692
0.03500000 1562683.75814488 9282.34195202
0.03600000 1556997.53622279 12962.00508808
0.03700000 1551176.73178672 9725.87855810
0.03800000 1545222.48092216 13559.32789761
0.03900000 1539137.55267349 10158.30831808
0.04000000 1532922.02398244 11312.96506122
0.04100000 1526579.89703790 11540.94455672
0.04200000 1520112.94858818 14707.09345989
0.04300000 1513522.50915468 14983.87353615
0.04400000 1506811.77459194 11188.07794594
0.04500000 1499983.00468419 11384.87153455
0.04600000 1493036.79837088 18946.63785210
0.04700000 1485977.03854672 12838.84221015
0.04800000 1478805.41487182 11956.14233554
0.04900000 1471524.59962944 14347.36551422
0.05000000 1464136.33235873 14560.83650335
0.05100000 1456644.53129343 18178.92459739
0.05200000 1449048.39227748 11519.93525545
0.05300000 1441353.33681973 18679.94011600
0.05400000 1433560.29143973 11826.87295591
0.05500000 1425673.11980773 16765.91667106
0.05600000 1417692.07415197 16969.77491948
0.05700000 1409622.64325521 13490.08932565
0.05800000 1401463.98105329 13643.25249259
0.05900000 1393219.97531311 13792.87839981
0.06000000 1384894.49522641 16473.32079033
0.06100000 1376488.65312712 14081.47957954
0.06200000 1368005.50697925 16805.94843881
0.06300000 1359448.00064425 13050.70141637
0.06400000 1350815.95365895 14487.50178053
0.06500000 1342115.55448834 14615.63907207
0.06600000 1333348.01660500 21440.23711017
0.06700000 1324514.41774717 16212.05723193
0.06800000 1315619.25741838 17701.65793716
0.06900000 1306665.86018660 13719.99217431
0.07000000 1297653.93744523 15202.01658906
0.07100000 1288587.71763420 18091.77240296
0.07200000 1279469.35603661 16812.22812592
0.07300000 1270302.01234713 19740.49419683
0.07400000 1261088.90916498 15605.97598228
0.07500000 1251830.16805862 18552.12396021
0.07600000 1242529.65605333 21526.82730031
0.07700000 1233190.75396795 18756.83224733
0.07800000 1223814.88381211 17402.64846393
0.07900000 1214403.66682481 18944.69809104
0.08000000 1204962.58944296 23424.47383764
0.08100000 1195492.28836463 17645.46700416
0.08200000 1185993.88852733 19195.31198656
0.08300000 1176471.43633807 22235.31119034
0.08400000 1166927.55451601 19341.82512398
0.08500000 1157364.13583345 19408.99746909
0.08600000 1147783.84066560 19472.15377114
0.08700000 1138188.65686855 15024.09097616
0.08800000 1128580.36916224 25613.13268103
0.08900000 1118962.50485094 22658.99178752
0.09000000 1109337.24184518 28770.66271877
0.09100000 1099706.06699241 18211.13332497
0.09200000 1090071.20409750 19768.44221516
0.09300000 1080436.88126433 21327.82503840
0.09400000 1070801.73564602 16784.81799510
0.09500000 1061170.03809379 18337.01912015
0.09600000 1051543.32830696 22949.93421912
0.09700000 1041926.66655766 15316.32271846
0.09800000 1032318.39298329 18395.91462790
0.09900000 1022722.90762496 16874.92876931
0.10000000 1013139.61405859 15349.06587481
0.10100000 1003572.19442102 19961.05188584
0.10200000 994022.76011118 19964.94807591
0.10300000 984492.53071580 21501.31788227
0.10400000 974983.98748665 18427.19823041
0.10500000 965500.70209860 18421.75426277
0.10600001 956039.16550428 30688.85865671
0.10700001 946607.02523452 18402.04143652
0.10800001 937201.71068438 15323.24869083
0.10900001 927828.14304199 16840.08158880
0.11000001 918486.48752656 15292.80073714
0.11100001 909177.73790939 19856.44273065
0.11200001 899905.13224026 16778.73198051
0.11300001 890668.54675514 18276.51943989
0.11400001 881470.70107952 19766.98140243
0.11500001 872312.88368379 19731.71835805
0.11600001 863196.78653938 15149.10431716
0.11700001 854123.43497023 28724.17247081
0.11800001 845093.15896859 18101.89631768
0.11900001 836108.13116059 24079.91531163
0.12000001 827169.35540445 16514.43695856
0.12100001 818279.85636731 14974.52207694
0.12200001 809438.96224097 14934.14955691
