# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 252.40994265
0.00100000 1682646.25473840 555.27327725
0.00200000 1682386.13531314 1287.02543427
0.00300000 1681952.80832540 1211.00606513
0.00400000 1681346.15142941 1261.00966149
0.00500000 1680566.81834026 2117.51427492
0.00600000 1679614.64055778 2116.31453326
0.00700000 1678490.37689756 3222.70165758
0.00800000 1677193.79969382 3396.31758777
0.00900000 1675726.33459639 2764.94857028
0.01000000 1674087.31735961 3314.69303150
0.01100000 1672278.38817214 3612.12147572
0.01200000 1670299.42651580 3908.50082941
0.01300000 1668151.76759840 6305.61395963
0.01400000 1665835.59013171 4122.94326835
0.01500000 1663352.35893332 5189.65959096
0.01600000 1660701.86859705 5505.22694050
0.01700000 1657886.25360745 4476.29308554
0.01800000 1654906.00757789 5188.13056721
0.01900000 1651762.12239074 5946.34390892
0.02000000 1648455.29259029 5711.89784721
0.02100000 1644988.32728440 5971.30789877
0.02200000 1641359.85881843 5662.69177019
0.02300000 1637572.95861244 8253.36808709
0.02400000 1633628.22171934 9801.76977725
0.02500000 1629528.07648997 8261.70772512
0.02600000 1625272.85368579 7240.59089434
0.02700000 1620864.51929797 9530.68380999
0.02800000 1616303.48071236 7030.92046353
0.02900000 1611593.24485629 8702.60392180
0.03000000 1606734.23988915 8965.57747069
0.03100000 1601728.15372922 10763.61368833
0.03200000 1596576.23334744 8693.35799098
0.03300000 1591282.53429855 11361.75781867
0.03400000 1585845.84560234 11655.96750299
0.03500000 1580269.74706515 8533.45702821
0.03600000 1574555.20513297 13108.17268851
0.03700000 1568705.31023414 14306.59309098
0.03800000 1562721.26836337 11884.49579591
0.03900000 1556605.87952817 11207.56285163
0.04000000 1550359.07326126 10488.17961662
0.04100000 1543984.91902928 10699.81598499
0.04200000 1537485.26045003 10908.45842897
0.04300000 1530861.44110710 14145.16037242
0.04400000 1524116.44056379 16460.45832254
0.04500000 1517252.90787551 13609.75921602
0.04600000 1510271.11067924 13841.63537283
0.04700000 1503175.03393518 10822.86074768
0.04800000 1495966.48700487 13194.42502929
0.04900000 1488648.04377040 17863.77735676
0.05000000 1481221.42647474 21529.55443636
0.05100000 1473690.55939153 13793.74427847
0.05200000 1466054.74845443 13986.16295203
0.05300000 1458319.44363707 17718.58206619
