# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 299.63713438
0.00100000 1664564.32291452 798.99089397
0.00200000 1664305.02794061 1348.08711532
0.00300000 1663873.06857118 1197.98865205
0.00400000 1663268.33427000 1372.19642791
0.00500000 1662491.46410171 1795.49085230
0.00600000 1661542.28756985 2093.54336757
0.00700000 1660421.60062280 2590.25780462
0.00800000 1659129.13532234 2239.82442725
0.00900000 1657666.32708682 2735.14955661
0.01000000 1656032.50130008 3825.43524318
0.01100000 1654229.34914683 3275.37425392
0.01200000 1652256.71344465 4510.66102547
0.01300000 1650115.89231624 4158.29223204
0.01400000 1647807.12053154 3707.56618556
0.01500000 1645331.92168479 4738.55614545
0.01600000 1642689.91026331 5026.63135011
0.01700000 1639883.39781511 4427.68537272
0.01800000 1636912.78755497 6064.76215079
0.01900000 1633779.01426464 5391.47099035
0.02000000 1630483.03543064 5649.62397333
0.02100000 1627027.32239747 6443.02848881
0.02200000 1623410.76308941 6160.84412583
0.02300000 1619636.22442834 7579.89787535
0.02400000 1615704.53660470 7876.55997510
0.02500000 1611617.97144311 7542.37245082
0.02600000 1607376.85604535 7160.86422121
0.02700000 1602983.22000888 10098.79474859
0.02800000 1598437.47061426 9039.16431086
0.02900000 1593742.95545169 7889.02799170
0.03000000 1588900.35521577 8866.06438964
0.03100000 1583911.29161283 10643.88436940
0.03200000 1578776.86850014 10159.42961672
0.03300000 1573501.28806085 11234.79971468
0.03400000 1568083.23067001 9055.68107495
0.03500000 1562526.53053754 8437.64365454
0.03600000 1556831.80206002 8640.41690074
0.03700000 1551002.35614864 11492.92799058
0.03800000 1545039.36558620 9942.32877767
0.03900000 1538945.41824610 12003.77481821
0.04000000 1532720.79370982 11311.47998174
0.04100000 1526369.51515958 11539.35406965
0.04200000 1519893.14088675 11763.97345623
0.04300000 1513293.26023966 12984.05677555
0.04400000 1506572.86055186 12203.24073721
0.04500000 1499734.32980246 12417.80082776
0.04600000 1492778.24943330 12628.90457728
0.04700000 1485708.46074183 10697.10141484
0.04800000 1478526.86285702 13040.60753715
0.04900000 1471235.98880627 14344.55155856
0.05000000 1463837.52717065 15677.70064605
0.05100000 1456335.26874430 12495.35718791
0.05200000 1448728.77455494 13820.87315332
0.05300000 1441023.26167668 17508.43344558
0.05400000 1433219.82581248 11824.06411435
0.05500000 1425322.13751651 15564.51846775
0.05600000 1417330.45493540 15753.62874174
0.05700000 1409250.42759616 15938.62308010
0.05800000 1401081.10947909 16119.43891721
0.05900000 1392826.41065357 13788.98210950
0.06000000 1384490.29377746 15201.70413588
0.06100000 1376073.76523046 14077.23527616
0.06200000 1367579.89810964 16800.71983360
0.06300000 1359011.88076412 20874.42346453
0.06400000 1350369.34496668 23698.98311249
0.06500000 1341658.06277897 19923.62316425
0.06600000 1332880.11697818 25451.34702453
0.06700000 1324035.82511499 20257.74907230
0.06800000 1315130.26972328 19056.23850030
0.06900000 1306166.39958684 15086.22262155
0.07000000 1297144.05144263 19340.41871269
0.07100000 1288067.48306002 25040.03304351
0.07200000 1278938.87005986 15404.81941154
0.07300000 1269761.51028783 16913.22410951
0.07400000 1260538.25672766 14181.05605277
0.07500000 1251269.85202299 22823.16317068
0.07600000 1241959.26451523 17213.55621316
0.07700000 1232610.78467970 14421.54685696
0.07800000 1223225.35808939 15944.74329044
0.07900000 1213804.45415659 14565.65413306
0.08000000 1204354.08906385 21949.35430286
0.08100000 1194874.55745975 16166.65352094
0.08200000 1185367.10076424 16233.60320673
0.08300000 1175835.77995446 16297.08467502
0.08400000 1166283.23144107 17844.13427863
0.08500000 1156711.21928507 14921.57542927
0.08600000 1147122.43526871 19460.93302805
0.08700000 1137519.05700119 18018.30270900
0.08800000 1127902.85803573 16563.25424813
0.08900000 1118277.22496389 16606.41757071
0.09000000 1108644.30504132 15132.99547469
0.09100000 1099005.65959876 15166.27881499
0.09200000 1089363.73412606 21275.27472714
0.09300000 1079722.45984216 18268.90487902
0.09400000 1070080.41200796 22872.96988164
0.09500000 1060442.22811226 22905.55320385
0.09600000 1050809.29858687 16818.20361447
0.09700000 1041186.65675046 16835.98903116
0.09800000 1031572.79188138 18382.62801563
0.09900000 1021971.82274556 21461.40928683
0.10000000 1012382.96562110 21472.64371062
0.10100000 1002810.73102240 21480.20686875
0.10200000 993256.63250116 21484.14197153
0.10300000 983721.88946320 18415.27463702
0.10400000 974209.44173081 21481.31920075
0.10500000 964722.34715363 21474.72045801
0.10600001 955257.11264343 24531.00380695
0.10700001 945821.69825461 15322.31223276
0.10800001 936413.52466910 18372.43421865
0.10900001 927037.03610725 18355.33417883
0.11000001 917693.22366578 18335.51147189
0.11100001 908382.42317184 19839.07305596
0.11200001 899108.08017362 19811.84747931
0.11300001 889870.16815656 28911.88312460
0.11400001 880671.16513396 16710.73614523
0.11500001 871512.83203948 22746.48598732
0.11600001 862396.18106349 18162.06442848
0.11700001 853322.50545323 16614.18996362
0.11800001 844292.69913241 16577.68792825
0.11900001 835308.16013440 22553.32138593
0.12000001 826370.19471185 17998.34368863
0.12100001 817482.37079216 14959.92809023
0.12200001 808642.98203670 16411.41009360
0.12300001 799854.91845997 14877.30218429
0.12400001 791118.05281215 16316.81060806
0.12500001 782433.31824536 16266.78945282
0.12600001 773804.31175271 22111.45925030
0.12700001 765229.40313486 17630.88627911
0.12800001 756710.25407400 14642.34410641
0.12900001 748248.35394763 23345.34974348
