# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420643 408.21908021
0.00100000 1700825.38040390 612.29715149
0.00200000 1700562.99159295 1300.93072976
0.00300000 1700125.87640125 1224.09067461
0.00400000 1699513.92874421 1402.09904449
0.00500000 1698727.78099574 1834.62607609
0.00600000 1697767.29209796 2852.24916685
0.00700000 1696633.21626619 2850.34392179
0.00800000 1695325.30216089 3661.90280727
0.00900000 1693845.01442425 2540.76763025
0.01000000 1692191.66253387 3071.32800012
0.01100000 1690366.94053573 3651.19275053
0.01200000 1688370.68760699 5596.94907481
0.01300000 1686204.22573048 3541.02903021
0.01400000 1683867.79889639 4546.44325857
0.01500000 1681362.82198808 6052.90642869
0.01600000 1678689.15070204 6420.98628848
0.01700000 1675848.90078647 4977.27145861
0.01800000 1672842.57902261 5244.36172122
0.01900000 1669671.11511924 5509.91492852
0.02000000 1666335.31020507 7348.53905042
0.02100000 1662837.98843278 6584.83873274
0.02200000 1659177.69426955 7441.41229688
0.02300000 1655357.56950282 5959.28752147
0.02400000 1651378.18725225 9289.00272685
0.02500000 1647242.02501817 7709.09302916
0.02600000 1642949.42243816 6653.94546521
0.02700000 1638502.29562506 8258.05194818
0.02800000 1633901.20699962 8528.96469167
0.02900000 1629149.51473433 8797.40778349
0.03000000 1624247.73377072 9818.57800196
0.03100000 1619197.58528338 8549.36364368
0.03200000 1614000.20220996 9587.16164269
0.03300000 1608659.86132595 9024.58223808
0.03400000 1603175.18142392 10100.00410899
0.03500000 1597549.82702928 12077.47725006
0.03600000 1591784.80765519 9717.84669983
0.03700000 1585883.17313068 10847.44140588
0.03800000 1579846.21870111 13863.15121068
0.03900000 1573676.61974060 10386.26617128
0.04000000 1567374.52539256 12531.15991119
0.04100000 1560943.74077494 13767.52443199
0.04200000 1554386.44607942 12030.95165080
0.04300000 1547703.90659972 14300.78476079
0.04400000 1540898.89936937 10401.06805379
0.04500000 1533974.22861217 10584.42266923
0.04600000 1526930.35702726 15070.80332445
0.04700000 1519770.95502949 17507.76221619
0.04800000 1512498.19657296 13340.23471447
0.04900000 1505114.46250907 16932.53849139
0.05000000 1497621.47922922 12602.48533456
0.05100000 1490023.22682932 12784.39988174
0.05200000 1482319.11722177 14141.32503730
0.05300000 1474514.48778887 13137.92469866
0.05400000 1466610.16227599 16939.34816423
0.05500000 1458610.17003519 18378.48899979
0.05600000 1450514.60642335 18602.85069547
0.05700000 1442329.40219195 12548.26638480
0.05800000 1434053.26118206 15229.64634486
0.05900000 1425690.25453777 14114.33417915
0.06000000 1417244.40289385 18154.90164925
0.06100000 1408716.89427335 19651.60159346
0.06200000 1400110.48514565 13231.04470309
0.06300000 1391428.57031720 13357.71489959
0.06400000 1382670.69996555 13481.03995513
0.06500000 1373842.77105183 14961.14847660
0.06600000 1364946.79603883 16461.25913043
0.06700000 1355983.44338643 17980.34130077
0.06800000 1346957.32049919 26487.91694749
0.06900000 1337871.82196363 18261.95122481
0.07000000 1328726.28172444 15566.02911934
0.07100000 1319525.44965098 18526.13818082
0.07200000 1310271.39772991 14347.47247728
0.07300000 1300967.28955704 20217.03262700
0.07400000 1291616.30889562 24702.16306527
0.07500000 1282218.83501778 21925.94310653
0.07600000 1272778.31291519 14700.59020334
0.07700000 1263298.49141364 14780.59304258
0.07800000 1253780.92413135 16343.03511248
0.07900000 1244226.92183095 19409.94089096
0.08000000 1234642.05737581 19501.17221107
0.08100000 1225027.28809325 24108.53816080
0.08200000 1215383.64720127 18157.83254125
0.08300000 1205714.94655098 19749.61175139
0.08400000 1196024.09819165 18299.16956127
0.08500000 1186312.89946826 15303.43712156
0.08600000 1176584.22524180 16889.86734635
0.08700000 1166839.93342977 15402.28784453
0.08800000 1157081.88961700 18536.45274221
0.08900000 1147313.54668972 17037.60696859
0.09000000 1137537.25135979 17080.12263151
0.09100000 1127754.63962724 20231.91918543
0.09200000 1117967.62937480 20274.34391134
0.09300000 1108180.65829024 15625.34801616
0.09400000 1098392.11808709 23478.13262752
0.09500000 1088606.88328364 21946.31579853
0.09600000 1078826.17437522 21975.69020505
0.09700000 1069054.96475866 17286.61959284
0.09800000 1059291.64253347 15730.48163123
0.09900000 1049541.15581880 33060.54796288
0.10000000 1039802.01840863 23629.50197956
0.10100000 1030078.86469874 22064.29031957
0.10200000 1020373.54762238 15764.77205228
0.10300000 1010686.84820207 15766.71557363
0.10400000 1001021.60280340 15766.09098587
0.10500000 991381.55679228 23644.45124195
0.10600001 981762.87911578 26787.40141712
0.10700001 972173.93764559 17324.14038408
0.10800001 962611.37667571 22034.17544907
0.10900001 953080.26052539 15725.82503882
0.11000001 943581.37283743 18852.75671668
0.11100001 934115.08380713 25109.01463470
0.11200001 924685.21830935 21942.78126348
0.11300001 915290.96998490 23477.21448544
0.11400001 905935.77873065 18752.87150269
0.11500001 896620.80742806 18721.44334065
0.11600001 887347.24676761 17130.23940554
0.11700001 878116.68729199 21759.73253587
0.11800001 868929.34801087 17061.42855176
0.11900001 859787.45308590 23214.26232675
0.12000001 850691.99822473 18528.07259410
0.12100001 841645.95914452 18482.54613349
0.12200001 832648.63268925 19971.07839592
0.12300001 823702.62059687 18385.04335792
0.12400001 814807.44853120 16805.40441778
0.12500001 805964.61788880 19802.55159463
0.12600001 797177.32705771 18223.47455529
0.12700001 788444.15647987 19679.56707316
0.12800001 779766.57393494 33194.66461685
0.12900001 771146.53919704 16541.09404539
0.13000001 762584.34016362 16483.26128957
0.13100001 754079.78390460 16423.85846762
0.13200001 745634.81962152 17850.49842322
0.13300001 737251.28563243 14818.75153981
0.13400001 728927.70993300 22141.18023307
0.13500001 720667.17897524 19112.09448752
0.13600001 712467.76456809 19033.57722788
0.13700001 704332.88467700 18953.59882038
0.13800001 696259.98385038 20323.82988698
0.13900001 688253.02755064 15898.64568617
0.14000001 680310.57001901 21582.85385171
0.14100001 672433.18481754 18619.67576576
0.14200001 664621.43257287 14256.13040108
0.14300001 656877.36905172 22701.68294521
0.14400001 649197.13757865 15532.04224921
0.14500001 641586.14376057 19671.03209562
0.14600001 634041.77349853 16776.74611820
0.14700001 626567.13398724 13909.79103073
0.14800001 619157.19557465 15221.98037136
