# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 302.89193117
0.00100000 1682646.05447165 706.71135966
0.00200000 1682385.33490342 908.48810962
0.00300000 1681951.00952151 1110.08770583
0.00400000 1681342.95910161 1261.00726724
0.00500000 1680561.81633750 1815.00683348
0.00600000 1679607.44749304 2116.30547000
0.00700000 1678480.60771401 2618.42985686
0.00800000 1677181.02865917 2717.03338114
0.00900000 1675710.18050117 3267.63499166
0.01000000 1674067.38739332 3314.65357016
0.01100000 1672254.32978665 3612.06950961
0.01200000 1670270.82082678 4559.83954078
0.01300000 1668118.21142688 3853.35323835
0.01400000 1665796.70964775 3748.04276286
0.01500000 1663307.82201461 5189.52063577
0.01600000 1660651.25934749 4234.66090064
0.01700000 1657829.21682183 5818.98081208
0.01800000 1654842.19088217 5659.56054748
0.01900000 1651691.06142696 4955.07340787
0.02000000 1648376.77375440 6230.86448665
0.02100000 1644901.94742755 7599.44734166
0.02200000 1641265.22067099 7361.07484914
0.02300000 1637469.73812817 5894.89132559
0.02400000 1633516.05066047 6738.25401622
0.02500000 1629406.64892683 8261.09208735
0.02600000 1625141.83545337 9214.55462848
0.02700000 1620723.55657109 8849.15102418
0.02800000 1616152.31534234 12654.47320946
0.02900000 1611431.49141072 10152.01886201
0.03000000 1606561.63661780 11205.76793049
0.03100000 1601544.40675450 10762.37890860
0.03200000 1596380.99989596 8692.29494478
0.03300000 1591075.60088771 12171.72890791
0.03400000 1585626.79756649 14151.71982125
0.03500000 1580038.42811513 10238.64948699
0.03600000 1574311.28927547 11358.65647705
0.03700000 1568448.50741969 8940.15690575
0.03800000 1562451.43168077 10054.37542818
0.03900000 1556322.61805961 12139.31698304
0.04000000 1550062.19372069 15252.61269300
0.04100000 1543674.21874453 10697.66283191
0.04200000 1537160.50755934 13880.56002722
0.04300000 1530522.47640393 10101.44881315
0.04400000 1523762.93001707 17485.18043399
0.04500000 1516884.70394490 12559.80593225
0.04600000 1509887.99484659 17031.53737361
0.04700000 1502776.84896114 14065.99196046
0.04800000 1495553.15519027 17587.70592336
0.04900000 1488219.23841001 11161.64480762
0.05000000 1480777.08193634 12460.73972474
0.05100000 1473230.48054128 17236.79742529
0.05200000 1465578.80135439 17477.02802060
0.05300000 1457827.43367687 12989.24303959
0.05400000 1449977.23844533 14354.77533003
0.05500000 1442032.13834152 16958.29873799
0.05600000 1433992.40889823 15938.82636868
0.05700000 1425863.64311101 14886.01712894
0.05800000 1417644.81085461 18819.23574281
0.05900000 1409339.89473625 16489.27753856
0.06000000 1400952.96590326 16664.33630796
0.06100000 1392484.86203784 19425.16473319
0.06200000 1383938.77169361 13078.22200383
0.06300000 1375317.96027889 15843.66364319
0.06400000 1366621.76282090 13324.56281065
0.06500000 1357856.41245855 17475.61284581
0.06600000 1349023.53373508 14913.45586322
0.06700000 1340123.92930374 13669.26471861
0.06800000 1331162.32036547 16533.03679284
0.06900000 1322141.91064491 15270.73978291
0.07000000 1313062.19153155 20976.16949200
0.07100000 1303927.89648497 16898.90632995
0.07200000 1294740.79113222 18430.63602518
0.07300000 1285504.43331117 21403.64981751
0.07400000 1276221.68060740 18664.74295359
0.07500000 1266893.09245190 15886.84012400
0.07600000 1257521.88797511 20334.12988183
0.07700000 1248112.06408189 18983.78538481
0.07800000 1238664.95594190 20549.45258277
0.07900000 1229182.00700921 19175.24020873
0.08000000 1219668.83189023 17782.77240317
0.08100000 1210125.96255494 14884.55003778
0.08200000 1200555.02831428 20925.67512546
