# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682646.24272579 555.27327329
0.00200000 1682386.09837490 832.78114507
0.00300000 1681952.71786342 1009.17166667
0.00400000 1681346.00199669 1513.21145930
0.00500000 1680566.57454839 1966.26297005
0.00600000 1679614.29613293 1763.59508274
0.00700000 1678489.90547572 2417.02556434
0.00800000 1677193.19310715 2943.47417818
0.00900000 1675725.57288195 3016.30616013
0.01000000 1674086.36059016 4143.36392137
0.01100000 1672277.22600376 4816.15862058
0.01200000 1670298.07606810 4559.91394759
0.01300000 1668150.17679101 4554.05018349
0.01400000 1665833.73193814 4122.93866932
0.01500000 1663350.22789974 5189.65294214
0.01600000 1660699.46293300 4658.26220177
0.01700000 1657883.52271098 6714.42856818
0.01800000 1654902.94145892 5188.12095493
0.01900000 1651758.68647661 4955.27628302
0.02000000 1648451.50896539 7269.67148339
0.02100000 1644984.17524166 7056.98243174
0.02200000 1641355.30108027 6228.94365060
0.02300000 1637567.96149605 6484.76942270
0.02400000 1633622.82084366 8576.52020050
0.02500000 1629522.19225810 6355.13684005
0.02600000 1625266.42974661 7898.79520985
0.02700000 1620857.64223858 9530.64337288
0.02800000 1616296.10289199 8437.06604402
0.02900000 1611585.31089576 7977.34765521
0.03000000 1606725.76532105 8218.40266738
0.03100000 1601719.10047602 8457.07723965
0.03200000 1596566.57464516 8693.30539934
0.03300000 1591272.31686283 9738.58702815
0.03400000 1585834.98241757 9158.19744602
0.03500000 1580258.26249946 10240.07401386
0.03600000 1574543.11880878 13108.07206986
0.03700000 1568692.50875396 10729.85725611
0.03800000 1562707.82712591 12798.57769647
0.03900000 1556591.70104464 11207.46076654
0.04000000 1550344.14446524 11441.54031634
0.04100000 1543969.25183201 10699.70741130
0.04200000 1537468.78700181 14875.01120434
0.04300000 1530844.26330441 15155.35891019
0.04400000 1524098.47824930 16460.26432954
0.04500000 1517234.05950901 11515.80704675
0.04600000 1510251.44845498 11712.00052722
0.04700000 1503154.46306458 17316.34021985
0.04800000 1495945.11947197 14293.75628162
0.04900000 1488625.84583694 13397.63323616
0.05000000 1481198.31964178 11331.16767291
0.05100000 1473666.43248827 12644.05857976
0.05200000 1466029.80330914 12820.43122739
0.05300000 1458293.53062235 12993.39596357
0.05400000 1450458.40940716 15556.16716634
0.05500000 1442528.61857777 13328.96505745
0.05600000 1434504.32436499 13491.51380022
0.05700000 1426390.89502988 17373.44191243
0.05800000 1418187.68347201 15061.15390171
0.05900000 1409898.24015952 13957.99322950
0.06000000 1401526.85379775 16671.16270478
0.06100000 1393074.46324725 20728.94898181
0.06200000 1384544.22570343 19625.91531673
0.06300000 1375939.00951240 17171.71964158
0.06400000 1367258.74153437 14663.85068874
0.06500000 1358509.00704627 13449.23979888
0.06600000 1349692.00683904 16277.28636407
0.06700000 1340808.10029882 17779.11624201
0.06800000 1331862.27786354 17920.20778748
0.06900000 1322857.49241505 15279.00475274
0.07000000 1313793.58832550 15391.09260797
0.07100000 1304674.79188815 21135.73261854
0.07200000 1295503.30114177 22697.21889930
0.07300000 1286282.48371172 15705.50986201
0.07400000 1277015.14393226 17239.70525101
0.07500000 1267701.74467260 17342.16067999
0.07600000 1258345.89575149 18894.06451047
0.07700000 1248951.28496494 14612.73071926
0.07800000 1239519.06211028 20563.62220477
0.07900000 1230051.23865067 20664.86177859
0.08000000 1220552.77510586 16312.68860454
0.08100000 1211024.76149215 17874.72631827
0.08200000 1201468.09316674 19445.76200040
0.08300000 1191887.01629162 21024.88795412
0.08400000 1182283.81404513 19596.35513762
0.08500000 1172660.65444380 15127.32315248
0.08600000 1163020.26109998 19730.63965594
0.08700000 1153364.51799129 19791.73605811
0.08800000 1143695.37217636 24429.33429698
0.08900000 1134016.05829950 18371.06100734
0.09000000 1124328.77361926 19951.21502509
0.09100000 1114635.55079583 19996.56272074
0.09200000 1104937.96182108 21579.43940831
0.09300000 1095240.59033673 20075.76096428
0.09400000 1085541.90621021 24750.35662480
0.09500000 1075846.52210250 17041.40971110
0.09600000 1066155.50918228 18615.07606538
0.09700000 1056474.38038919 20189.22635839
0.09800000 1046801.06826103 17099.49625402
0.09900000 1037140.55035619 17112.81988556
0.10000000 1027491.39539266 18679.79444670
0.10100000 1017858.12145692 18687.87598887
0.10200000 1008242.60547945 15577.34898736
0.10300000 998645.70818670 17136.76115861
0.10400000 989070.42507995 21809.00389902
0.10500000 979519.92229237 17131.80424693
0.10600001 969990.84541587 18682.02456177
0.10700001 960491.09957655 18671.94785443
0.10800001 951017.87219711 17104.05723641
0.10900001 941575.78578339 26411.20203428
0.11000001 932165.72942659 20176.72816315
0.11100001 922788.26828858 20153.69672812
0.11200001 913446.59000155 23224.38064413
0.11300001 904140.78439890 17006.88895524
0.11400001 894873.54184260 16980.22625597
0.11500001 885646.14553012 15410.24365786
0.11600001 876459.99037106 24610.99768859
0.11700001 867316.63754678 15351.50520756
0.11800001 858216.12049656 18382.99016684
0.11900001 849160.74557610 21398.85179644
0.12000001 840151.31155964 24397.99523696
0.12100001 831191.01993839 18252.95565771
0.12200001 822279.14792240 16688.15609329
0.12300001 813418.20808764 22694.36907488
0.12400001 804607.71274576 19612.31392226
0.12500001 795848.85574592 16545.69849060
0.12600001 787145.61059675 22492.68688274
0.12700001 778495.72423666 20925.96605365
0.12800001 769901.07694727 25325.89711977
0.12900001 761363.46428098 17815.90590388
0.13000001 752883.33327364 16273.57401576
0.13100001 744460.26698138 17688.37677727
0.13200001 736096.38290854 20559.17294380
0.13300001 727793.43897355 14628.64881301
0.13400001 719550.03119732 17485.06658244
0.13500001 711368.85430868 17414.31037453
0.13600001 703248.54036962 17342.10982321
0.13700001 695191.96107292 20146.66398187
0.13800001 687197.24621458 17193.67591107
0.13900001 679267.59385403 15691.08215799
0.14000001 671401.89833897 14200.15081956
0.14100001 663600.71505249 18375.10466643
0.14200001 655864.81896076 15475.13113327
0.14300001 648195.54948025 15401.12698209
0.14400001 640590.09926474 15326.11884784
0.14500001 633053.04690068 20795.79357167
0.14600001 625581.97132723 16552.89974219
0.14700001 618180.01679843 17840.67612646
0.14800001 610842.28161883 15017.55820211
0.14900001 603573.51696002 14938.44524957
0.15000001 596372.02272883 17560.17503779
0.15100001 589238.76432753 18808.50224481
0.15200001 582173.66227478 20041.32926950
0.15300001 575177.97798774 13286.61191850
0.15400001 568247.79719940 15854.11429003
0.15500001 561388.03852568 21018.36915432
0.15600001 554593.78780571 14366.75275114
0.15700001 547871.55103416 14283.01200957
0.15800001 541213.59433327 12907.94483409
0.15900001 534626.31070900 16680.34168144
0.16000001 528104.55558828 14029.09818141
0.16100001 521653.76696765 15211.42456282
0.16200001 515269.37157429 16377.83774862
0.16300001 508952.47916417 13772.25473634
0.16400001 502703.35943276 16174.48135334
0.16500001 496520.90060104 18545.05651299
0.16600001 490406.38569894 14741.61665011
0.16700001 484357.23297838 13426.38313208
0.16800001 478373.98411080 14552.13728375
0.16900001 472459.02765124 15662.01750617
0.17000001 466608.36450295 16755.90716051
0.17100001 460822.83217783 16644.92148426
0.17200001 455103.39227101 15352.91366327
0.17300001 449448.44462753 16422.84694225
0.17400001 443858.08600282 12816.40283860
0.17500001 438331.32895046 20829.50573545
0.17600001 432866.78635069 12641.87509244
0.17700001 427467.22345391 17120.06310792
0.17800001 422128.94230483 13600.99516347
0.17900001 416853.32330285 16882.56039119
0.18000001 411639.53756086 16764.02095901
0.18100001 406488.38497214 12206.84677732
0.18200001 401395.26914667 16527.45098784
0.18300001 396363.59586498 15315.49006772
0.18400001 391391.00560789 11947.21101058
0.18500001 386479.20065643 17252.43233234
0.18600001 381624.37912932 16056.84651045
0.18700001 376827.37623098 11689.18576294
0.18800001 372087.93321195 13713.30142643
0.18900001 367407.23473845 12565.32802173
0.19000001 362779.04406162 10393.62010345
0.19100001 358211.07694429 11348.12745379
0.19200001 353695.14421738 18431.05483606
0.19300001 349235.99995421 11179.04488677
0.19400001 344828.79135148 12103.49114837
0.19500001 340476.14771808 10009.99921594
0.19600001 336176.04288482 11920.80304403
0.19700001 331927.83483774 9858.25716056
0.19800001 327731.56199562 9782.78758789
0.19900001 323586.76348492 11649.12403599
0.20000001 319490.75576749 11559.17608997
0.20100001 315446.24982359 10513.82400353
0.20200001 311449.17417733 13277.07892270
0.20300001 307502.37537491 12232.44507058
0.20400001 303602.74743660 11202.94190993
0.20500001 299750.13019054 11114.73535282
0.20600001 295944.33624621 11026.88648975
0.20700001 292185.19716330 11851.03215713
0.20800001 288470.08925936 9947.89149835
0.20900001 284802.46302257 11662.66141208
0.21000001 281177.02783931 15128.73069806
0.21100001 277596.08246569 9710.31142369
0.21200001 274057.73382943 13134.21751469
0.21300001 270561.39775134 10422.02553409
0.21400001 267107.92540328 12921.34650226
0.21500001 263696.64063428 9398.14871653
0.21600001 260324.83000149 9320.93097888
0.21700001 256993.65247245 10084.43139981
0.21800001 253702.39378260 8334.12402980
0.21900001 250449.12675341 9917.78588836
0.22000001 247234.09323679 11474.13480965
0.22100001 244058.90671064 9752.59437329
0.22200001 240920.90453555 9670.56556532
0.22300001 237818.55013408 9588.84439482
0.22400001 234751.96198623 10299.74281918
0.22500001 231723.98940561 8640.98797354
0.22600001 228728.87706555 7788.21863237
0.22700001 225770.76390929 8493.49653992
0.22800001 222845.66877653 8420.22399291
0.22900001 219953.58770929 8347.23904832
0.23000001 217096.16282874 7522.38239776
0.23100001 214272.25391584 9693.67722559
0.23200001 211478.93608877 8869.42699903
0.23300001 208718.21593978 7326.00972597
0.23400001 205989.78673561 8713.36839102
0.23500001 203290.52617546 12234.02444386
0.23600001 200623.62721068 8558.60434160
0.23700001 197985.93634979 9895.33756679
0.23800001 195378.47169106 7704.75039556
0.23900001 192799.80907754 7634.87280060
0.24000001 190249.87897107 6877.53345011
0.24100001 187729.92208282 7496.05614334
0.24200001 185237.16008647 6751.89480453
0.24300001 182772.39252872 6689.46988298
0.24400001 180334.66971277 7952.75931053
0.24500001 177923.92908258 8535.01128183
0.24600001 175540.07198886 8454.88796730
0.24700001 173182.74049452 7086.63807628
0.24800001 170851.29108488 7019.42562629
0.24900001 168544.45794038 6952.45921894
0.25000001 166264.23394663 6885.83357466
0.25100001 164007.63369693 7439.38661644
0.25200001 161777.32917842 8595.22990589
0.25300001 159571.19989388 7295.59560431
0.25400001 157388.62178181 7224.13808157
0.25500001 155229.51600040 7152.97643572
0.25600001 153094.61166698 7082.15707079
0.25700001 150982.16932010 5843.01022914
0.25800001 148893.45332887 6362.96202907
0.25900001 146827.33412466 8016.77282252
0.26000001 144783.67768782 5668.28124968
0.26100001 142761.41091880 7293.68082895
0.26200001 140762.19750865 7774.29653626
0.26300001 138783.82291112 7144.59154153
0.26400001 136827.35605355 8158.33149073
0.26500001 134892.71136172 8073.32915702
0.26600001 132978.01272316 7456.07752621
0.26700001 131085.34785265 5269.63123304
0.26800001 129213.64372793 5735.14784826
0.26900001 127360.77563693 5673.92282312
0.27000001 125529.44387747 5613.04934860
0.27100001 123717.64243661 6057.21606034
0.27200001 121927.23523530 5991.50462300
0.27300001 120155.59553504 5432.23473121
0.27400001 118401.65980754 4884.06869820
0.27500001 116670.10742827 6279.18547895
0.27600001 114955.43311346 7164.59770787
0.27700001 113261.50234490 4723.00487131
0.27800001 111585.37350978 5603.81772287
0.27900001 109929.34117409 5540.43905739
0.28000001 108290.44684409 5020.88680556
0.28100001 106670.88551599 4963.39653797
0.28200001 105070.31055111 4906.25838340
0.28300001 103487.34847632 7494.55413137
0.28400001 101922.30696826 5228.61459495
0.28500001 100375.71052732 5597.95364107
0.28600001 98846.77232258  5531.95987487
0.28700001 97335.53306212  5045.87427277
0.28800001 95841.11219928  5401.12613364
0.28900001 94366.30239998  4925.92121844
0.29000001 92907.03715013  4460.93159992
0.29100001 91466.10471424  5208.08024895
0.29200001 90042.19303091  4748.82548524
0.29300001 88635.36427557  4299.70172454
0.29400001 87244.85956693  6562.99487159
0.29500001 85872.37310127  5337.82696465
0.29600001 84515.98872654  4518.22497120
0.29700001 83176.27472804  4461.57558761
0.29800001 81852.92451914  4038.21422232
0.29900001 80546.97617725  6161.84396926
0.30000001 79256.46270660  3578.42946060
0.30100001 77983.42243017  4592.44396432
0.30200001 76724.88753258  3487.14630344
0.30300001 75484.00117139  3786.27767800
0.30400001 74258.99154877  4416.55373145
0.30500001 73049.44398849  5700.04838427
0.30600001 71855.11206324  3970.71368060
0.30700001 70677.63641023  5224.49113079
0.30800001 69515.32872787  4510.84989471
0.30900001 68368.87987448  4132.89898408
0.31000001 67238.03723865  3450.32004426
0.31100001 66121.73099957  4332.29602021
0.31200001 65021.56461734  3358.03886365
0.31300001 63935.93675574  3914.79759290
0.31400001 62866.59248972  4158.62529009
0.31500001 61811.29394649  3222.84101896
0.31600002 60771.44185132  3467.61863622
0.31700002 59746.31466523  4559.83895115
0.31800002 58736.03541293  4215.77914137
0.31900002 57740.56717994  3603.01156263
0.32000002 56760.02191865  3006.29470327
0.32100002 55793.17018319  2694.81024745
0.32200002 54842.10143088  3985.64991021
0.32300002 53903.60102266  3143.65816050
0.32400002 52979.99023347  3357.60704003
0.32500002 52070.53224589  4073.99863583
0.32600002 51175.62826073  3012.19762206
0.32700002 50293.98427577  2721.91055789
0.32800002 49426.99657157  3658.83359447
0.32900002 48573.08535203  3606.55175817
0.33000002 47733.79146650  2369.98285854
0.33100002 46905.67110543  2569.49278483
0.33200002 46094.07017582  2762.87869717
0.33300002 45294.29488956  2269.24428143
0.33400002 44508.43220982  2460.20370690
0.33500002 43734.63445451  2865.49338516
0.33600002 42975.00302744  3258.57975887
0.33700002 42227.23517091  2140.92092455
0.33800002 41493.53386487  2531.93555634
0.33900002 40771.44937662  2287.27841835
0.34000002 40062.70098166  4098.41450452
0.34100002 39366.08502386  2625.32433457
0.34200002 38682.59597128  2786.30751977
0.34300002 38010.23682167  2353.59397546
0.34400002 37351.57790351  2512.82752247
0.34500002 36704.01998632  1904.93872751
0.34600002 36069.47892941  2065.15811391
0.34700002 35445.09408546  1850.23399889
0.34800002 34834.06031157  2188.27577241
0.34900002 34233.96789016  2156.74007923
0.35000002 33645.57805726  2657.15965292
0.35100002 33069.16788439  3142.89386459
0.35200002 32502.72463811  2065.22322132
0.35300002 31948.02362666  2035.72816191
0.35400002 31404.71279637  2006.76124274
0.35500002 30872.37576901  2143.16042739
0.35600002 30349.94589517  2275.33555153
0.35700002 29838.68151182  2243.27218231
0.35800002 29338.65499785  2211.84130505
0.35900002 28848.85725350  1869.40603857
0.36000002 28369.58982503  1689.83469797
0.36100002 27899.82691024  1817.95280758
0.36200002 27441.34769453  1793.01774329
0.36300002 26991.69476852  1621.12126458
0.36400002 26552.14917073  1599.10325955
0.36500002 26122.21661981  1577.52073639
0.36600002 25702.23602749  1556.39897637
0.36700002 25291.13644550  1675.28495751
0.36800002 24891.05968024  1377.72021856
0.36900002 24499.02806575  1767.60495867
0.37000002 24115.87952299  2013.07313854
0.37100002 23741.58472452  1722.21463750
0.37200002 23377.15226714  1569.54207756
0.37300002 23020.80383382  1678.90730313
0.37400002 22673.19348527  1785.51407155
0.37500002 22334.45633257  1889.49509524
0.37600002 22004.30182868  1368.77766009
0.37700002 21681.83485476  1352.29610395
0.37800002 21367.46399235  1943.58461682
0.37900002 21061.79256773  1200.52223323
0.38000002 20763.96947560  1305.32700292
0.38100002 20472.89893234  1642.33603015
0.38200002 20190.58691893  1507.93405548
0.38300002 19915.04279323  1950.08108270
0.38400002 19647.89521591  1475.06580321
0.38500002 19386.74515221  1459.24037674
0.38600002 19134.07616920  1443.95312652
0.38700002 18887.72456972  1319.11874644
0.38800002 18648.57382574  1632.21650142
0.38900002 18415.64047322  1292.77802247
0.39000002 18190.68937693  1386.94917725
0.39100002 17971.15188772  1690.72604970
0.39200002 17758.72767011  1151.56475033
0.39300002 17552.33591875  1141.07741214
0.39400002 17353.47677260  1028.19354749
0.39500002 17159.54667740  1223.13254511
0.39600002 16971.86331321  1111.74195900
0.39700002 16789.91134589  1102.59353032
0.39800002 16614.22326846  1093.79744070
0.39900002 16443.85309664  1085.29435580
0.40000002 16278.96530866  979.17980971
0.40100002 16119.92691734  972.03163917
0.40200002 15966.50204543  1447.76264156
0.40300002 15817.65497906  1054.40493086
0.40400002 15674.41074898  1237.88664755
0.40500002 15536.46080908  1040.78755891
0.40600002 15403.09733516  1034.39505055
0.40700002 15274.79863759  1028.29949300
0.40800002 15151.34557553  929.53509510
0.40900002 15032.29160906  1016.93457554
0.41000002 14918.33532667  1011.68695811
0.41100002 14808.38509868  1464.25318794
0.41200002 14702.66596244  1092.99623944
0.41300002 14601.89298923  1269.48863664
0.41400002 14504.72198696  1354.37847971
0.41500002 14411.97043564  899.30699780
0.41600002 14322.58550670  1254.22887225
0.41700002 14237.55540111  1071.23371914
0.41800002 14157.20384943  978.75833451
0.41900002 14078.64642426  886.95476676
0.42000002 14004.97751396  1326.62155787
0.42100002 13935.19733558  1234.93724640
0.42200002 13868.76677859  1319.95994070
0.42300002 13805.11622264  1229.20760671
0.42400002 13744.79265817  963.85363083
0.42500002 13688.01987516  1049.59741376
0.42600002 13633.53555302  1397.16478968
0.42700002 13583.41925611  1133.67222484
0.42800002 13535.29236025  1132.29493605
0.42900002 13491.28932173  1044.22584298
0.43000002 13449.32738045  956.44896198
0.43100002 13409.27703320  1303.38178939
0.43200002 13373.03011198  1302.86752040
0.43300002 13339.14760550  1128.89211535
0.43400002 13307.81703186  1128.83563322
0.43500002 13278.72929779  1042.11472468
0.43600002 13252.35358233  955.56100034
0.43700002 13227.77584060  1129.78438808
0.43800002 13205.34557091  1391.31527528
0.43900002 13185.91975218  957.29781937
0.44000002 13168.02736182  1219.49107177
0.44100002 13152.50420251  1046.41328394
0.44200002 13138.80989796  960.38135500
0.44300002 13127.09841337  874.26479576
0.44400002 13117.57568132  875.59821822
0.44500002 13108.71228351  964.67018266
0.44600002 13101.94956341  1054.18291183
0.44700002 13097.91044932  1496.30536064
0.44800002 13093.90371153  970.06190244
0.44900002 13093.32251032  1237.31903586
0.45000002 13093.35982909  1328.64875162
0.45100002 13094.65348564  976.59930324
0.45200002 13097.66414713  1245.98084937
0.45300002 13101.56825252  981.43852431
0.45400002 13107.29183060  1431.31633574
0.45500002 13114.20486502  1076.41398634
0.45600002 13122.18747095  989.47859314
0.45700002 13131.38380977  1082.55133258
0.45800002 13141.33439502  1357.17137397
0.45900002 13152.37406089  1270.51939450
0.46000002 13165.29229394  1001.41800580
0.46100002 13177.98149159  1461.17465704
0.46200002 13192.49321636  1282.70617622
0.46300002 13207.91049140  1103.12473652
0.46400002 13223.35779374  1199.02802478
0.46500002 13240.23682770  925.49259812
0.46600002 13257.53260111  1114.42824327
0.46700002 13275.29333506  931.92563629
0.46800002 13294.80954503  1122.34787499
0.46900002 13313.84810643  1126.35160319
0.47000002 13333.81294971  1036.23732250
0.47100002 13354.45914361  1134.59490262
0.47200002 13375.71980581  949.00736520
0.47300002 13397.58587067  1047.82524061
0.47400002 13419.22707959  956.11997474
0.47500002 13441.71025663  1631.55486828
0.47600002 13465.08610927  1637.82582653
0.47700002 13487.97575283  1257.21427951
0.47800002 13511.29018713  1067.86487055
0.47900002 13535.50772261  1266.92358289
0.48000002 13559.52199914  978.31955861
0.48100002 13584.92964941  982.19046021
0.48200002 13608.39258724  1577.48494348
0.48300002 13632.72010722  1187.68263204
0.48400002 13657.49133263  1092.94079570
0.48500002 13682.86406383  1097.22892129
0.48600002 13708.13038947  1201.65476690
0.48700002 13733.46348274  1306.87644696
0.48800002 13758.02231947  1513.72647745
0.48900002 13783.45401916  1519.62587764
0.49000002 13808.31844314  1322.07751201
0.49100002 13834.17254169  1327.25057656
0.49200002 13859.11709140  1024.88175749
0.49300002 13884.00892764  1440.32715443
0.49400002 13909.12871949  1549.12928456
0.49500002 13933.61923037  1554.99197982
0.49600002 13958.91789891  1248.76485443
0.49700002 13983.26722280  1253.46013327
0.49800002 14007.75596503  1467.87281716
0.49900002 14031.82332190  1052.38679903
0.50000002 14056.00279132  1267.57039181
