# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 302.89193117
0.00100000 1682646.25200081 706.71144262
0.00200000 1682386.13421331 908.48854124
0.00300000 1681952.79207936 1009.17171120
0.00400000 1681346.14397225 1387.11062148
0.00500000 1680566.78834090 1815.01220325
0.00600000 1679614.63068932 1939.95497743
0.00700000 1678490.34841715 2215.60735199
0.00800000 1677193.74029628 2717.05397399
0.00900000 1675726.31305124 4273.10228095
0.01000000 1674087.28419303 3314.69296583
0.01100000 1672278.32399284 4214.14155994
0.01200000 1670299.37108563 3908.50069970
0.01300000 1668151.67322373 5254.67800241
0.01400000 1665835.48826935 4122.94301624
0.01500000 1663352.32388480 3992.04575508
0.01600000 1660701.81928800 4658.26881134
0.01700000 1657886.17795048 4923.92216939
0.01800000 1654905.93048165 5188.13032551
0.01900000 1651762.03915976 5946.34360929
0.02000000 1648455.24600874 5711.89768580
0.02100000 1644988.34416768 6514.15413825
0.02200000 1641359.94149911 6795.23046653
0.02300000 1637573.07704608 7074.31601485
0.02400000 1633628.36245259 7351.32796624
0.02500000 1629528.36047871 6990.67698572
0.02600000 1625273.15446590 6582.35657665
0.02700000 1620865.02587444 6807.63342047
0.02800000 1616304.02032283 12655.66105951
0.02900000 1611593.90548356 9427.82477995
0.03000000 1606735.07730403 7471.31845288
0.03100000 1601729.11415837 7688.30010172
0.03200000 1596577.35688260 7903.05828057
0.03300000 1591284.09626208 14607.98867712
0.03400000 1585847.49110496 12488.54956868
0.03500000 1580271.71992200 9386.81444980
0.03600000 1574557.50894849 8738.79457852
0.03700000 1568707.92634073 10729.96271240
0.03800000 1562724.19007137 12798.71170900
0.03900000 1556609.21422226 9339.65571785
0.04000000 1550362.76650123 9534.73145581
0.04100000 1543989.13328160 11672.55838883
0.04200000 1537489.87476612 12891.85319800
0.04300000 1530866.41932229 12124.46260383
0.04400000 1524122.33323228 15431.73934066
0.04500000 1517259.20343499 11515.99788916
0.04600000 1510277.93129240 17035.93585693
0.04700000 1503182.45353116 12987.49700253
0.04800000 1495974.83134940 10995.41552201
0.04900000 1488657.16399386 12281.42217462
0.05000000 1481231.39963824 13597.70488187
0.05100000 1473701.34078210 11494.87099358
0.05200000 1466066.45889067 12820.75178046
0.05300000 1458331.94411762 14174.98715763
0.05400000 1450499.09314477 14359.94169179
0.05500000 1442571.22276391 15752.87848744
0.05600000 1434549.39585006 14718.47748825
0.05700000 1426438.13603250 13651.01359904
0.05800000 1418237.11152034 16316.81872991
0.05900000 1409950.27998895 13958.50842383
0.06000000 1401581.35116974 12824.46996235
0.06100000 1393131.60036548 24616.63652883
0.06200000 1384604.06253405 14392.95990282
0.06300000 1376001.66474913 19814.42489882
0.06400000 1367324.25044939 15997.69447842
0.06500000 1358577.52324427 16139.90173113
0.06600000 1349763.38045997 14921.63486915
0.06700000 1340882.84968930 13677.00570690
0.06800000 1331940.41968711 22056.93438248
0.06900000 1322939.02613051 19447.20459462
0.07000000 1313878.37640191 13992.80536394
0.07100000 1304763.25665602 18318.87698147
0.07200000 1295595.52445059 15605.44882307
0.07300000 1286378.58011547 25701.84523498
0.07400000 1277115.27197435 15804.30223134
0.07500000 1267806.04723558 15898.28857753
