# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 306.16431016
0.00100000 1700825.49670336 561.27242724
0.00200000 1700563.46515797 994.82965862
0.00300000 1700126.93183887 1224.09143453
0.00400000 1699515.81412158 1784.49167263
0.00500000 1698730.73199050 1681.74349124
0.00600000 1697771.54356597 1960.92621265
0.00700000 1696638.98706099 2850.35361672
0.00800000 1695332.83263149 2746.43930482
0.00900000 1693854.54011324 2540.78191878
0.01000000 1692203.40859871 2792.13574475
0.01100000 1690381.12200780 3651.22338251
0.01200000 1688387.56517911 4609.29825503
0.01300000 1686223.99904277 4603.39172042
0.01400000 1683890.69884235 4167.62966439
0.01500000 1681389.11281340 4035.33405044
0.01600000 1678719.01245340 5564.95377506
0.01700000 1675882.50007961 6334.83613447
0.01800000 1672880.18204883 6674.79222672
0.01900000 1669712.91540615 5009.13897224
0.02000000 1666381.57932457 5774.01243355
0.02100000 1662888.83484812 6036.28674417
0.02200000 1659233.43398006 5724.35560730
0.02300000 1655418.29733480 7151.40737001
0.02400000 1651444.22406511 10527.95740846
0.02500000 1647313.46930545 7066.97510607
0.02600000 1643026.51716742 7319.68346877
0.02700000 1638585.27552082 8258.47016687
0.02800000 1633990.10718403 8529.42875066
0.02900000 1629244.62332856 9531.08148408
0.03000000 1624349.20870555 7553.22416767
0.03100000 1619305.59103503 10881.73407246
0.03200000 1614114.88705710 8788.85596482
0.03300000 1608781.48527069 12307.17892969
0.03400000 1603303.81142730 10100.81447805
0.03500000 1597685.73916553 10353.00406787
0.03600000 1591928.08148722 8835.20126056
0.03700000 1586033.92852972 10848.47257286
0.03800000 1580004.67607847 12015.93611767
0.03900000 1573842.85550936 10387.36332740
0.04000000 1567548.66692618 11568.50969799
0.04100000 1561126.05490532 11802.11352231
0.04200000 1554576.94450416 11029.72393296
0.04300000 1547902.64481383 16345.85268798
0.04400000 1541106.17798743 12482.96062143
0.04500000 1534190.05633753 11644.50306866
0.04600000 1527154.74514359 15073.01803526
0.04700000 1520004.18344371 12038.43369276
0.04800000 1512740.25958546 17789.82628045
0.04900000 1505365.51876303 14677.31449113
0.05000000 1497881.52547491 17188.19130521
0.05100000 1490292.46954749 17436.42270596
0.05200000 1482597.49360905 14143.98074816
0.05300000 1474802.20760657 13140.48828236
0.05400000 1466907.18807065 16942.77881232
0.05500000 1458916.54362153 14705.87944572
0.05600000 1450830.64904986 12404.60262823
0.05700000 1442654.86983105 18826.64693010
0.05800000 1434388.32472252 12694.33726652
0.05900000 1426034.99880674 14117.74714757
0.06000000 1417598.78993240 12971.02953387
0.06100000 1409080.85101964 13104.45252687
0.06200000 1400484.31481236 14558.03513297
0.06300000 1391812.06691048 17369.81540717
0.06400000 1383064.00920534 14833.36219243
0.06500000 1374245.91602918 13605.03520510
0.06600000 1365359.67593460 19210.61153924
0.06700000 1356406.06951062 13835.34255649
0.06800000 1347389.78774889 16734.58194717
0.06900000 1338313.96304961 18267.98645091
0.07000000 1329178.22270232 15571.32360814
0.07100000 1319987.04167677 18532.61893317
0.07200000 1310742.84229021 15787.89827500
0.07300000 1301448.51767763 15890.68714541
0.07400000 1292107.26538734 18897.06964188
0.07500000 1282719.18266506 16085.29930458
0.07600000 1273288.33529048 16177.12905826
0.07700000 1263818.11975850 17744.00723340
0.07800000 1254309.85810655 25268.07327653
0.07900000 1244765.43387428 19418.34167923
0.08000000 1235190.03166284 19509.82746534
0.08100000 1225584.59370780 19597.09857285
0.08200000 1215950.07614530 21194.01082175
0.08300000 1206290.63030207 15199.26265514
