# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097187 302.89193117
0.00100000 1682646.20593155 807.67019803
0.00200000 1682385.95568357 832.78107443
0.00300000 1681952.38324458 1009.17146590
0.00400000 1681345.42491014 1513.21093992
0.00500000 1680565.67373325 1663.76008285
0.00600000 1679613.01254252 1763.59373497
0.00700000 1678488.14356014 2819.86019838
0.00800000 1677190.87687176 2717.04933525
0.00900000 1675722.67858755 3770.37618800
0.01000000 1674082.78257557 3867.13139473
0.01100000 1672272.90222449 4214.12789709
0.01200000 1670292.94020773 4234.19278907
0.01300000 1668144.12202049 4203.72337290
0.01400000 1665826.73315735 5247.35444207
0.01500000 1663342.28562289 4790.42599591
0.01600000 1660690.41295630 5928.66503929
0.01700000 1657873.29947197 6266.76135312
0.01800000 1654891.50872621 5659.72921452
0.01900000 1651745.98273666 5450.76198898
0.02000000 1648437.51162355 5192.57839650
0.02100000 1644968.77387961 5971.23691991
0.02200000 1641338.51484286 6228.87994682
0.02300000 1637549.62818202 5895.17892979
0.02400000 1633602.92364700 6738.61236731
0.02500000 1629500.80350931 10803.59082067
0.02600000 1625243.36988394 8556.90673382
0.02700000 1620832.98222159 7488.24872083
0.02800000 1616269.57092945 7733.85025157
0.02900000 1611556.99646412 8702.40818047
0.03000000 1606695.66147578 9712.47572006
0.03100000 1601687.07860423 8456.90816416
0.03200000 1596532.66175224 11063.97185553
0.03300000 1591236.61769891 10549.89926170
0.03400000 1585797.19482051 9157.97922264
0.03500000 1580218.56493809 9386.49870918
0.03600000 1574501.36660026 12233.87618386
0.03700000 1568648.78264780 13411.94771191
0.03800000 1562661.91518951 12798.20167770
0.03900000 1556543.76801461 14942.82086494
0.04000000 1550294.05024918 11441.17062101
0.04100000 1543917.14967006 10699.34634331
0.04200000 1537414.46358306 10907.95612517
0.04300000 1530787.69638726 12123.83911815
0.04400000 1524040.02458706 11315.99770810
0.04500000 1517173.36407946 11515.34636842
0.04600000 1510188.43650686 12776.19476677
0.04700000 1503089.29321488 16233.36512170
0.04800000 1495877.88297794 15392.58413203
0.04900000 1488556.46548092 15629.84361508
0.05000000 1481126.83733923 13596.74499992
0.05100000 1473592.79645470 13792.82921734
0.05200000 1465954.08192675 16316.06969219
0.05300000 1458215.55010087 21260.78371160
0.05400000 1450378.56779759 16751.87323927
0.05500000 1442446.61222850 13328.20731874
0.05600000 1434420.60973682 13490.72646411
0.05700000 1426305.12041014 13649.74063947
0.05800000 1418099.93308408 15060.22199255
0.05900000 1409808.68909579 16494.76243282
0.06000000 1401435.47820517 14105.44874712
0.06100000 1392981.34904232 12954.72715149
0.06200000 1384449.41971019 14391.35239059
0.06300000 1375842.63532251 13208.08991664
0.06400000 1367160.69934076 14662.79918616
0.06500000 1358409.48542228 16137.90544171
0.06600000 1349590.89402208 16276.06694344
0.06700000 1340705.64498151 20512.79732819
0.06800000 1331758.69192797 15162.07341732
0.06900000 1322752.59538939 19444.46406259
0.07000000 1313687.35345402 18188.00226029
0.07100000 1304567.57459588 15498.26351210
0.07200000 1295395.13964624 17021.49293235
0.07300000 1286173.49971396 21414.78977364
0.07400000 1276905.38318213 14365.18623401
0.07500000 1267591.49417585 20230.76119531
0.07600000 1258234.98399672 21798.92211969
0.07700000 1248840.06171212 17533.71528857
0.07800000 1239407.36160227 27905.25805513
0.07900000 1229939.39427690 19187.05545066
0.08000000 1220441.01205298 16311.19489126
0.08100000 1210912.99496457 20851.92275162
0.08200000 1201356.50457557 19443.95593897
0.08300000 1191775.69837340 19521.28685553
0.08400000 1182173.03600002 24116.33106639
0.08500000 1172550.55419953 15125.90285926
0.08600000 1162910.95187650 15175.98863452
0.08700000 1153256.08433544 19789.87533648
0.08800000 1143588.05721392 18320.28153696
0.08900000 1133910.12190998 16838.56610127
0.09000000 1124224.18678755 26087.62347988
0.09100000 1114532.56794337 16918.60517624
0.09200000 1104836.76145308 18494.96825574
0.09300000 1095141.18006196 26250.53531965
0.09400000 1085444.81487122 18561.10720662
0.09500000 1075751.49829447 23236.23345533
0.09600000 1066063.08375424 34124.68091510
0.09700000 1056384.54219388 21740.39490043
0.09800000 1046714.39936978 18652.45147376
0.09900000 1037056.84897949 15555.85346617
0.10000000 1027410.77360442 18678.32874252
0.10100000 1017781.12917809 15572.05200881
0.10200000 1008169.12308009 26479.56326320
0.10300000 998576.09883932 18693.34544962
0.10400000 989005.16637983 18692.19852396
0.10500000 979459.01375978 20245.41876695
0.10600001 969934.54314019 15567.45014990
0.10700001 960439.24267818 24894.58634170
0.10800001 950971.26875154 15548.38097582
0.10900001 941534.42289106 15535.31870888
0.11000001 932129.96531154 23279.94697943
0.11100001 922758.19348286 17052.57221829
0.11200001 913422.31044262 24772.01422540
0.11300001 904122.80568046 15460.50070503
0.11400001 894861.83387362 23154.55104170
0.11500001 885641.53955173 20033.21256798
0.11600001 876462.16946464 23072.86769769
0.11700001 867325.77857759 16886.83370419
0.11800001 858232.86079895 18383.34874414
0.11900001 849184.93697756 22927.99437834
0.12000001 840183.64266016 21349.06736564
0.12100001 831231.92352984 24338.47186749
0.12200001 822328.33641655 18206.35022599
0.12300001 813476.12730569 15130.65668076
0.12400001 804674.81928673 18105.18428702
0.12500001 795925.26309192 16547.28699940
0.12600001 787231.24528062 17996.10711515
0.12700001 778591.43984098 22423.43452416
0.12800001 770006.89749095 20859.48783612
0.12900001 761479.36726103 22273.27254217
0.13000001 753009.88603712 19235.63844549
0.13100001 744597.80942059 17691.64478578
0.13200001 736245.16389306 17625.71005448
0.13300001 727953.65188758 23410.99054837
0.13400001 719722.05563214 23318.99570187
0.13500001 711552.81142494 14515.67803746
0.13600001 703444.97512978 18792.53339667
0.13700001 695400.64320208 18713.23219096
0.13800001 687418.77419646 14332.68211786
0.13900001 679502.25494001 14269.54802667
0.14000001 671649.99712825 18467.01754196
0.14100001 663862.52958080 18382.35431106
0.14200001 656140.31205232 15481.63139307
0.14300001 648485.39880201 15408.01380229
0.14400001 640894.56837393 13939.45751966
0.14500001 633372.17570967 15257.93643260
0.14600001 625916.21766382 15181.59857562
0.14700001 618529.29627049 15104.48612750
0.14800001 611207.19832808 19124.67413796
0.14900001 603954.31850829 14947.87008833
0.15000001 596768.66566108 13516.81091499
0.15100001 589651.88703483 17477.28275638
0.15200001 582603.23928150 16044.89396692
0.15300001 575624.31041080 15956.30663755
0.15400001 568711.21044712 14544.78989357
0.15500001 561868.55341697 17092.04220157
0.15600001 555092.25173345 13072.42314527
0.15700001 548387.58529105 18195.50093873
0.15800001 541747.67629458 12920.68268947
0.15900001 535178.60435091 14128.71582175
0.16000001 528675.39998435 17874.51611719
0.16100001 522243.31492633 17766.71841246
0.16200001 515878.02893357 15135.86208342
0.16300001 509580.38451953 16296.38146625
0.16400001 503350.76007387 14949.51827995
0.16500001 497187.86125088 12379.97832962
0.16600001 491093.19762554 15992.45073573
0.16700001 485064.05540352 17113.06068262
0.16800001 479101.17125859 13359.73679134
0.16900001 473206.64756087 14480.12409909
0.17000001 467376.58858630 14385.85207598
0.17100001 461611.95928454 15482.46584551
0.17200001 455913.46454096 15380.24145259
0.17300001 450279.71280378 18803.68169468
0.17400001 444710.67030645 11673.65564684
0.17500001 439205.46782793 12754.52738809
0.17600001 433762.60307588 11516.39765557
0.17700001 428384.89838772 11437.87732717
0.17800001 423068.54183904 13631.26906189
0.17900001 417815.31147260 13537.21673112
0.18000001 412623.53607163 11202.72953351
0.18100001 407494.83749425 11124.60958908
0.18200001 402424.26149748 14360.51044990
0.18300001 397415.17588297 14259.25718428
0.18400001 392465.41054210 14158.19035415
0.18500001 387576.61221672 10813.38799169
0.18600001 382744.61240311 13956.78295065
0.18700001 377970.74447101 13856.40814695
0.18800001 373254.23820050 10581.75815293
0.18900001 368597.04589065 14707.02282591
0.19000001 363991.87054953 11471.20434237
0.19100001 359447.36304922 10352.08454495
0.19200001 354954.92802713 16441.51304310
0.19300001 350519.03039425 15300.15639968
0.19400001 346135.51937674 17211.58951432
0.19500001 341806.32243183 11054.01698980
0.19600001 337529.81552804 12966.20847625
0.19700001 333305.11779583 9899.16246635
0.19800001 329132.55340720 13754.45005691
0.19900001 325011.22603969 13650.47213879
0.20000001 320938.93563734 16449.72592352
0.20100001 316917.87361088 10562.87322668
0.20200001 312944.63335092 13340.83035028
0.20300001 309021.14038052 14184.07101387
0.20400001 305145.04738914 10321.53171579
0.20500001 301315.96668766 9310.66381073
0.20600001 297533.47138350 9238.41472314
0.20700001 293797.76664155 13749.73612876
0.20800001 290105.86907177 10913.78331038
0.20900001 286461.80688766 10828.25681222
0.21000001 282859.31375058 11638.24701443
0.21100001 279301.25322613 12434.49238145
0.21200001 275786.12011641 16741.59721312
0.21300001 272312.32782508 11363.59397736
0.21400001 268881.53525216 13007.14488276
0.21500001 265492.88462717 13763.15178976
0.21600001 262143.51579810 12799.15776397
0.21700001 258834.79320508 11003.06757937
0.21800001 255565.49286407 10913.92488878
0.21900001 252334.35428113 9992.44090199
0.22000001 249141.34319283 9084.93950909
0.22100001 245987.74059061 9010.53136388
0.22200001 242871.07526135 9748.84542196
0.22300001 239790.14268289 8862.64409263
0.22400001 236744.84083091 8789.15263145
0.22500001 233737.63617650 10300.81811340
0.22600001 230763.16169216 12571.97764350
0.22700001 227825.66870586 14804.11265258
0.22800001 224920.71532434 10816.43771146
0.22900001 222048.72491234 8426.74950893
0.23000001 219211.34534301 11393.51021302
0.23100001 216406.90309251 9037.15270053
0.23200001 213632.96722509 7466.47255763
0.23300001 210891.25561282 14064.33850198
0.23400001 208181.55539617 8072.24019227
0.23500001 205500.67617704 9457.14156495
0.23600001 202852.06278564 7211.39117311
0.23700001 200232.42967404 10007.61730845
0.23800001 197642.42861557 12753.86652180
0.23900001 195081.14218580 9129.79788613
0.24000001 192548.28000078 8352.74478152
0.24100001 190044.97138676 8278.35934518
0.24200001 187568.84247311 8887.95002101
0.24300001 185119.82541103 8130.46311665
0.24400001 182697.79403307 8728.38752281
0.24500001 180302.59151715 8649.11572422
0.24600001 177933.65036926 8570.17467545
0.24700001 175590.88158322 6531.98110390
0.24800001 173273.97472598 7766.13991461
0.24900001 170981.29697964 8976.51851609
0.25000001 168714.53334996 7622.52297736
0.25100001 166471.02431334 8180.38652176
0.25200001 164253.82050418 8726.80589625
0.25300001 162060.12746553 8026.83849312
0.25400001 159889.57222600 6727.35406969
0.25500001 157742.17688135 7268.75985459
0.25600001 155618.50933727 7798.82196442
0.25700001 153517.25786358 5941.11816041
