# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 328.13292544
0.00100000 1682646.00247826 504.79381273
0.00200000 1682385.13258402 832.78066700
0.00300000 1681950.54468841 1009.17036276
0.00400000 1681342.13273594 1387.10731221
0.00500000 1680560.53312723 1815.00544762
0.00600000 1679605.61236280 1939.94456126
0.00700000 1678478.08865290 2819.84330613
0.00800000 1677177.73083361 2490.60903544
0.00900000 1675706.02093383 3016.27096662
0.01000000 1674062.28269588 3314.64346286
0.01100000 1672248.11249313 3311.05140690
0.01200000 1670263.42978672 3257.01383088
0.01300000 1668109.52710009 3853.33317755
0.01400000 1665786.68196806 4122.82222064
0.01500000 1663296.25774001 5588.67567486
0.01600000 1660638.12717583 4234.62741360
0.01700000 1657814.38127231 6714.14854534
0.01800000 1654825.55320376 6602.75425439
0.01900000 1651672.54507565 5450.51964469
0.02000000 1648356.23061232 6230.78683357
0.02100000 1644879.28658100 7599.34264855
0.02200000 1641240.35913792 9625.87514367
0.02300000 1637442.59005149 6484.27295176
0.02400000 1633486.52157269 9800.91957633
0.02500000 1629374.56913355 6354.56110984
0.02600000 1625107.19190423 9872.52664237
0.02700000 1620686.18723157 8168.25875776
0.02800000 1616112.11118140 8436.10560724
0.02900000 1611388.36911488 7251.24799395
0.03000000 1606515.54599524 14940.59526450
0.03100000 1601495.18599523 7687.17724649
0.03200000 1596328.55195995 7901.82669615
0.03300000 1591019.84416165 8925.62173722
0.03400000 1585567.63040828 10821.49957684
0.03500000 1579975.72930047 10238.24319865
0.03600000 1574244.99939131 12231.88421055
0.03700000 1568378.50276567 12515.66103089
0.03800000 1562377.62794244 10053.90050110
0.03900000 1556244.93939427 10271.21707566
0.04000000 1549980.46201834 9532.38028313
0.04100000 1543588.47842678 12641.99022448
0.04200000 1537070.53538440 11896.92649581
0.04300000 1530428.20232234 11110.90926461
0.04400000 1523664.30520304 12341.68144532
0.04500000 1516781.57639953 12558.95203614
0.04600000 1509780.30616046 11708.34681856
0.04700000 1502664.56255588 15146.85949501
0.04800000 1495435.97849205 10991.45495333
0.04900000 1488097.26232136 12276.80298561
0.05000000 1480650.10085077 13592.36855875
0.05100000 1473098.61788007 14937.22068114
0.05200000 1465441.73988406 11650.26237500
0.05300000 1457685.26334793 17710.87677532
0.05400000 1449829.70275374 14353.31472661
0.05500000 1441879.17128271 15745.32128492
0.05600000 1433833.93712483 15937.06495483
0.05700000 1425699.65357787 16124.66383464
0.05800000 1417475.21990388 15053.58753827
0.05900000 1409164.62395626 17755.47509113
0.06000000 1400771.77317839 15380.47478806
0.06100000 1392297.90579374 14243.20824187
0.06200000 1383745.94593057 20922.23968045
0.06300000 1375118.94156007 15841.37094744
0.06400000 1366416.67448065 18651.58847893
0.06500000 1357645.17984538 16128.82549103
0.06600000 1348806.04642185 14911.05154086
0.06700000 1339900.22268332 16400.37949316
0.06800000 1330932.08935828 22040.23643146
0.06900000 1321905.20559912 19432.00743209
0.07000000 1312819.07398672 15379.67617196
0.07100000 1303678.07752796 23935.53062450
0.07200000 1294484.44253697 22679.36849570
0.07300000 1285241.39093309 18546.03414015
0.07400000 1275951.81908151 20096.24209233
0.07500000 1266616.22166003 15883.36816411
0.07600000 1257238.17341210 14521.10158367
0.07700000 1247821.37219012 18979.36396093
0.07800000 1238367.24243041 16142.11776208
