# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 274.66737318
0.00100000 1664564.35587557 699.11704607
0.00200000 1664305.15972869 973.61854927
0.00300000 1663873.36399821 1597.31848634
0.00400000 1663268.85643878 1372.19685870
0.00500000 1662492.26874501 1496.24310109
0.00600000 1661543.48407572 1919.08280224
0.00700000 1660423.19939765 2590.26029871
0.00800000 1659131.19296415 2463.80992557
0.00900000 1657668.93945735 2735.15386703
0.01000000 1656035.77411099 3552.19688885
0.01100000 1654233.29107608 4168.66807501
0.01200000 1652261.36926359 3866.29177359
0.01300000 1650121.35056028 4504.83148571
0.01400000 1647813.45710846 5932.12870857
0.01500000 1645339.13812547 3948.81410734
0.01600000 1642698.14724466 5445.54460155
0.01700000 1639892.64778284 5313.25241716
0.01800000 1636923.14821792 6531.32365528
0.01900000 1633790.52093930 5391.50896238
0.02000000 1630495.72982591 6676.88031567
0.02100000 1627041.32077148 9127.70222336
0.02200000 1623426.01521986 11761.72201463
0.02300000 1619652.92408292 6996.90095053
0.02400000 1615722.60290967 8482.54405206
0.02500000 1611637.43142923 8171.00215052
0.02600000 1607397.90654713 7811.95418312
0.02700000 1603005.77787279 9425.67440560
0.02800000 1598461.60501307 6953.30830068
0.02900000 1593768.81228807 7171.95998459
0.03000000 1588927.93331614 8127.36675249
0.03100000 1583940.55346546 10644.08100906
0.03200000 1578807.96092769 10941.13967316
0.03300000 1573534.23212556 8025.02495380
0.03400000 1568117.94499151 9055.88155017
0.03500000 1562563.10634414 11812.97762946
0.03600000 1556870.33112977 12960.94610563
0.03700000 1551042.78742835 8840.94429721
0.03800000 1545081.77648946 12654.22033508
0.03900000 1538989.97268376 10157.33429010
0.04000000 1532767.25569567 13197.12668308
0.04100000 1526418.13387675 11539.72162717
0.04200000 1519943.80975339 10784.00183050
0.04300000 1513346.07387201 10986.89300630
0.04400000 1506627.72533019 14237.63266559
0.04500000 1499791.48521257 12418.27407457
0.04600000 1492837.46673249 14734.30648160
0.04700000 1485770.09655000 10697.54519268
0.04800000 1478590.60219510 15214.69800450
0.04900000 1471301.84261001 11034.76433322
0.05000000 1463905.54403331 13438.65352001
0.05100000 1456405.80868331 11359.96583692
0.05200000 1448801.41870889 12669.76899704
0.05300000 1441098.34243466 14007.47654146
0.05400000 1433296.97513681 15372.11077520
0.05500000 1425401.39018694 14368.04668334
0.05600000 1417412.08144113 19390.19817894
0.05700000 1409334.32952859 14713.45108708
0.05800000 1401167.32400822 17360.46395506
0.05900000 1392914.90391497 20057.97555320
0.06000000 1384581.03877681 16469.59222569
0.06100000 1376166.71994164 20477.36174967
0.06200000 1367675.12259738 19386.79576902
0.06300000 1359109.35734788 13047.45044058
0.06400000 1350468.79232632 14483.77847506
0.06500000 1341760.00084571 13283.42462974
0.06600000 1332984.07549231 13396.49058550
0.06700000 1324142.12559399 20259.37546971
0.06800000 1315238.59913565 17696.53617973
0.06900000 1306276.83832333 15087.49818901
0.07000000 1297256.65590744 17960.51924210
0.07100000 1288182.29895872 18086.08032449
0.07200000 1279055.70896000 23809.62313770
0.07300000 1269880.52012028 16914.80932056
0.07400000 1260659.27107476 15600.65921066
0.07500000 1251392.66761204 15692.46478740
0.07600000 1242084.04584981 14346.07140212
0.07700000 1232737.35901754 17307.63333214
0.07800000 1223353.78054590 14496.74297931
0.07900000 1213935.09999347 17480.66625981
0.08000000 1204486.52804158 17561.41440267
0.08100000 1195008.65959013 14698.60720259
0.08200000 1185503.34984773 17711.42087784
0.08300000 1175973.48463836 19262.44658240
0.08400000 1166422.72238710 14871.89040850
0.08500000 1156852.51524725 20892.75740618
0.08600000 1147265.51151088 17966.17875380
0.08700000 1137663.66468331 19522.30940269
0.08800000 1128049.01932718 18071.34613832
0.08900000 1118424.99863683 19628.35964801
0.09000000 1108793.50056340 21189.04479113
0.09100000 1099156.58190267 16685.19769717
0.09200000 1089515.92669871 18238.49746990
0.09300000 1079876.06177887 25884.63041721
0.09400000 1070235.41641405 16775.94094072
0.09500000 1060598.57243498 19854.40620919
0.09600000 1050967.18979142 15291.57333029
0.09700000 1041345.54680573 21430.89236079
0.09800000 1031733.01593861 16853.35960776
0.09900000 1022133.08083443 16865.19662681
0.10000000 1012545.70926298 23010.10232510
0.10100000 1002974.44638869 16880.06072662
0.10200000 993421.24736087 16883.19489302
0.10300000 983887.71959976 24557.83863643
0.10400000 974376.33280073 19950.35635266
0.10500000 964890.14796723 15341.75407450
0.10600001 955425.77337293 19934.95969944
0.10700001 945991.48804291 16857.56911020
0.10800001 936584.15850067 18375.78205458
0.10900001 927208.62475791 18358.73163427
0.11000001 917865.52001247 21395.44627856
0.11100001 908555.44060131 19842.85175680
0.11200001 899282.01094504 27437.09544559
0.11300001 890044.65737909 19785.69366506
0.11400001 880846.49295578 19752.98353459
0.11500001 871688.85795973 21234.34157978
0.11600001 862572.82551939 22707.23070112
0.11700001 853499.91523858 16617.64413230
0.11800001 844470.66415514 15073.80206512
0.11900001 835486.65256610 16542.63649999
0.12000001 826549.29686931 22502.80566726
0.12100001 817661.71559404 17955.85212031
0.12200001 808823.07719560 19399.62242048
0.12300001 800035.45840961 22320.99034127
0.12400001 791299.00730423 20771.59992044
0.12500001 782614.85408382 19228.84787091
0.12600001 773986.25664918 23591.10221436
0.12700001 765411.96487042 19104.68354350
0.12800001 756893.25870010 19039.65081993
0.12900001 748431.71861936 16053.86112104
0.13000001 740028.15681761 26174.79714038
0.13100001 731682.30388725 15936.04132985
0.13200001 723396.00069123 14431.75089411
0.13300001 715171.00369775 14374.93785200
0.13400001 707005.98341954 17180.24620707
0.13500001 698903.56768899 17109.16014369
0.13600001 690862.58730977 22715.56294180
0.13700001 682885.56080342 16962.87813021
0.13800001 674970.86017602 18295.08602779
0.13900001 667121.30022270 18212.41235494
