# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097350 296.39991978
0.00100000 1646580.53609746 642.16642433
0.00200000 1646323.46396930 889.01469869
0.00300000 1645895.20531026 1283.79830587
0.00400000 1645295.64153568 1233.97177804
0.00500000 1644525.41863581 1628.08022889
0.00600000 1643584.40376163 2588.64554131
0.00700000 1642473.28999382 2168.06483290
0.00800000 1641191.89309044 2437.17006414
0.00900000 1639741.66465831 2705.57386234
0.01000000 1638121.87396849 2702.90120876
0.01100000 1636334.11694265 3239.94169261
0.01200000 1634378.40159176 5417.96463882
0.01300000 1632255.93484017 5827.15394438
0.01400000 1629967.00734762 4034.16852202
0.01500000 1627512.99977103 4296.63451072
0.01600000 1624893.71829118 4143.47916687
0.01700000 1622111.23737171 6569.55080606
0.01800000 1619166.12645018 4614.62366803
0.01900000 1616059.32153496 4848.17818337
0.02000000 1612791.57572187 7112.41117067
0.02100000 1609365.63809784 7435.26958512
0.02200000 1605780.12138395 6093.93583751
0.02300000 1602038.11263562 5767.33746801
0.02400000 1598140.20771528 7790.93386786
0.02500000 1594088.78578780 6838.64120335
0.02600000 1589884.15889813 6439.03113805
0.02700000 1585528.46560357 6659.21986053
0.02800000 1581021.75553483 8252.93394237
0.02900000 1576367.81387600 8512.38658577
0.03000000 1571567.01635920 8769.34435437
0.03100000 1566620.94042541 11279.67129008
0.03200000 1561530.88618006 8502.53606686
0.03300000 1556301.01489557 10318.27620443
0.03400000 1550929.66804886 9770.85735954
0.03500000 1545420.99435676 10848.85588136
0.03600000 1539775.62764799 14527.78371824
0.03700000 1533996.62741820 12241.29365293
0.03800000 1528085.26630995 10727.15906594
0.03900000 1522044.30132286 10958.71947702
0.04000000 1515873.51659494 9322.62255906
0.04100000 1509577.48843945 10461.37247994
0.04200000 1503157.27857638 10664.90138627
0.04300000 1496614.66494705 13828.72014601
0.04400000 1489952.92877310 14080.05583081
0.04500000 1483173.96301288 10233.90082031
0.04600000 1476278.36153450 13530.09181244
0.04700000 1469270.27853028 11636.62114715
0.04800000 1462151.39052989 10746.81322042
0.04900000 1454924.10949354 12003.12446204
0.05000000 1447590.27030226 12181.47269184
0.05100000 1440153.78860333 12356.52008183
0.05200000 1432613.84775591 13667.13674450
0.05300000 1424975.86086290 11542.30501107
0.05400000 1417240.73801439 14030.68396065
0.05500000 1409412.23238125 17758.59495643
0.05600000 1401491.06433051 14379.29899103
0.05700000 1393481.93059555 18184.94004312
0.05800000 1385384.57179883 14712.78483948
0.05900000 1377202.60251481 18592.23600232
0.06000000 1368939.96555518 12525.80127002
0.06100000 1360597.66719089 15184.27067543
0.06200000 1352179.05063597 16611.52041354
0.06300000 1343686.73327494 18059.15053958
0.06400000 1335120.66494181 14319.16980116
0.06500000 1326486.73937876 14445.44126756
0.06600000 1317786.55762322 17216.88218090
0.06700000 1309020.91679031 13352.01397612
0.06800000 1300194.55685512 17494.11858137
0.06900000 1291310.41884533 13558.76003268
0.07000000 1282368.54696551 15022.94823120
0.07100000 1273373.09168643 16502.91604122
0.07200000 1264325.84714592 16613.24240977
0.07300000 1255230.67662751 13933.06116341
0.07400000 1246090.04039362 16822.21633367
0.07500000 1236904.45077176 26791.35165949
0.07600000 1227677.47033136 14179.67544708
0.07700000 1218412.97045455 14255.43242273
0.07800000 1209111.75245987 22924.75990172
0.07900000 1199776.15230098 23035.70320464
