# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 328.13292544
0.00100000 1682646.54166203 555.27337194
0.00200000 1682387.28114857 1135.61145073
0.00300000 1681955.38088221 1715.59454961
0.00400000 1681350.72352143 1765.41832678
0.00500000 1680573.95371351 1663.76828003
0.00600000 1679624.92482554 2469.04874001
0.00700000 1678504.34960884 2417.04636389
0.00800000 1677212.03529741 2943.50724622
0.00900000 1675749.40369321 4021.79874079
0.01000000 1674115.76397794 3314.74935581
0.01100000 1672312.82805690 3010.16322156
0.01200000 1670340.32809983 3908.59653912
0.01300000 1668199.73970410 5605.15137262
0.01400000 1665891.09917448 4123.08065324
0.01500000 1663416.08865968 4391.41866961
0.01600000 1660774.25991413 5081.96946252
0.01700000 1657967.84163492 5819.46738519
0.01800000 1654997.36743711 5660.09125133
0.01900000 1651863.67717646 5946.70950617
0.02000000 1648567.68705536 6231.58613896
0.02100000 1645112.00279530 5971.75684090
0.02200000 1641495.34870082 7362.10697340
0.02300000 1637720.71075200 6485.37430978
0.02400000 1633788.84743997 11028.07522307
0.02500000 1629701.99099614 8262.58947171
0.02600000 1625460.52836368 6583.11544097
0.02700000 1621066.49061884 9531.87140141
0.02800000 1616520.19241337 9141.42210732
0.02900000 1611825.04176821 8703.85562518
0.03000000 1606981.68482579 9714.20473129
0.03100000 1601991.68024352 8458.51646089
0.03200000 1596856.27937194 11066.21452574
0.03300000 1591579.60687010 8928.76200616
0.03400000 1586160.11666636 9160.07509640
0.03500000 1580601.88458981 15363.45102767
0.03600000 1574905.60451071 13111.08976346
0.03700000 1569074.21240197 9838.09576675
0.03800000 1563109.17768350 11887.44584643
0.03900000 1557013.15911952 10276.28732608
0.04000000 1550785.93242025 9537.33392633
0.04100000 1544431.91641288 9729.92152454
0.04200000 1537952.59507631 14879.69204767
0.04300000 1531349.51997531 12128.28876117
0.04400000 1524625.62254264 11320.34577312
0.04500000 1517783.31685688 11519.97591022
0.04600000 1510823.14391671 11716.43402573
0.04700000 1503749.04575334 10826.99363297
0.04800000 1496562.79396415 12099.71075218
0.04900000 1489266.90705832 13403.40278742
0.05000000 1481863.02841239 19271.62958191
0.05100000 1474355.10346416 12649.96737701
0.05200000 1466742.62077893 12826.66481645
0.05300000 1459030.77589713 14181.77980284
0.05400000 1451220.36247122 13169.82540359
0.05500000 1443315.27228519 13336.23373804
0.05600000 1435316.10373835 14726.34391155
0.05700000 1427228.00175794 14900.26103388
0.05800000 1419050.22396776 15070.31408221
0.05900000 1410786.50572907 17775.91080242
0.06000000 1402440.95255647 17965.26944156
0.06100000 1394014.48673331 20742.93653194
0.06200000 1385510.25215255 19639.60874229
0.06300000 1376931.37262938 21149.66687245
0.06400000 1368277.20539452 16008.84405180
0.06500000 1359554.09502039 16151.50340437
0.06600000 1350763.44256476 19005.24252611
0.06700000 1341906.28396826 13687.44473703
0.06800000 1332987.02835201 13796.41638924
0.06900000 1324008.96985536 13902.09483436
0.07000000 1314971.72231880 21006.67424775
0.07100000 1305879.75724399 19744.90285434
0.07200000 1296735.12133347 17039.10029255
0.07300000 1287541.12053920 21437.56066145
0.07400000 1278300.57667970 18695.14681007
0.07500000 1269014.06494205 17360.11322212
0.07600000 1259684.89332654 17459.23344001
0.07700000 1250317.05749126 14628.71025857
0.07800000 1240911.49331511 14704.80188538
0.07900000 1231470.29629938 20688.70194821
0.08000000 1221998.44081685 16332.00992767
0.08100000 1212496.74515859 23861.93706428
0.08200000 1202966.54284133 16474.62757729
0.08300000 1193411.59131831 15036.98675633
0.08400000 1183834.68675592 21131.45015048
0.08500000 1174237.65393562 16662.43309157
0.08600000 1164623.07843136 16718.16507583
0.08700000 1154993.06188177 16770.50004603
0.08800000 1145349.51274128 16819.45838451
0.08900000 1135695.62295029 15331.89162996
0.09000000 1126033.74446665 18444.43360080
0.09100000 1116365.43359052 24649.34993173
0.09200000 1106692.83535833 16982.20235651
0.09300000 1097019.97421536 18561.57883597
0.09400000 1087345.73002859 21692.54833357
0.09500000 1077674.58055606 23277.77203413
0.09600000 1068007.72426749 18647.41574228
0.09700000 1058350.27484230 24892.39963455
0.09800000 1048700.65420644 15573.20544718
0.09900000 1039063.34347961 23378.92632763
0.10000000 1029437.09459406 20274.76453149
0.10100000 1019826.61914635 18724.01760815
0.10200000 1010233.39460063 21851.34935302
0.10300000 1000658.66322085 21854.38623279
0.10400000 991105.32794234 21853.87350925
0.10500000 981576.43397138 18728.47924134
0.10600001 972068.64646290 18722.04301181
0.10700001 962589.82512822 17153.35149098
0.10800001 953137.23732406 21817.31238911
0.10900001 943715.51957641 18685.56816706
0.11000001 934325.43395425 18667.82304909
0.11100001 924967.58766522 17093.40182470
0.11200001 915645.24506320 15520.18763447
0.11300001 906358.35528057 17048.60146549
0.11400001 897109.65428631 24760.22762412
0.11500001 887900.75659101 16994.42128138
0.11600001 878732.44931877 18506.10625413
0.11700001 869606.53538907 16931.24004140
