# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097350 321.09991309
0.00100000 1646580.61039716 592.76903382
0.00200000 1646323.74329142 814.93027873
0.00300000 1645895.84464577 1086.29129616
0.00400000 1645296.75820349 1604.16440020
0.00500000 1644527.16384513 1480.07450604
0.00600000 1643586.90616995 1725.76632174
0.00700000 1642476.69858624 2562.26375628
0.00800000 1641196.34097163 2437.17666924
0.00900000 1639747.25154697 2705.58308071
0.01000000 1638128.78432982 3784.07765520
0.01100000 1636342.53217620 3829.04169201
0.01200000 1634388.32411304 3505.76310893
0.01300000 1632267.61237302 4456.09077831
0.01400000 1629980.48377823 4034.20187619
0.01500000 1627528.44322549 3906.06843767
0.01600000 1624911.24801474 5386.58102797
0.01700000 1622131.05907134 6131.65567835
0.01800000 1619188.31661641 4614.68691001
0.01900000 1616083.94501088 4848.25205380
0.02000000 1612818.83257569 5588.41750767
0.02100000 1609395.57089891 6373.20674971
0.02200000 1605812.83912407 5540.05454668
0.02300000 1602073.81795602 8074.45241003
0.02400000 1598179.00183704 7791.12298921
0.02500000 1594130.73461362 9947.37623829
0.02600000 1589929.47133990 9014.90051482
0.02700000 1585577.04481559 7325.36628256
0.02800000 1581073.96355762 7565.43926257
0.02900000 1576423.53469901 9222.07810141
0.03000000 1571626.45743077 8038.86969927
0.03100000 1566684.24551085 11280.12708671
0.03200000 1561598.06146112 8502.90183628
0.03300000 1556372.05175284 8731.24761285
0.03400000 1551004.72414982 10585.60773075
0.03500000 1545500.23320334 9180.27180916
0.03600000 1539859.11863062 9400.84035369
0.03700000 1534084.37916638 8744.28136565
0.03800000 1528177.49452317 11621.79038370
0.03900000 1522140.92423512 11872.69975886
0.04000000 1515974.71732696 11187.89393231
0.04100000 1509683.26850350 9511.00503256
0.04200000 1503267.76252941 15513.72402903
0.04300000 1496729.94013908 11854.10167614
0.04400000 1490072.75922374 10057.99159187
0.04500000 1483298.62344864 11258.23707509
0.04600000 1476407.95375887 12490.41186944
0.04700000 1469404.84730300 15869.57308893
0.04800000 1462290.85564016 13972.18977574
0.04900000 1455068.54731528 12004.31607412
0.05000000 1447739.75312322 12182.73058983
0.05100000 1440308.32134631 12357.84597283
0.05200000 1432773.50799572 11390.54991938
0.05300000 1425140.68024389 16161.09606736
0.05400000 1417410.65707501 16371.09385266
0.05500000 1409587.29961741 18944.85419062
0.05600000 1401671.03786068 16778.00310612
0.05700000 1393667.23718977 19399.84884724
0.05800000 1385574.96329802 13488.57289752
0.05900000 1377398.22218794 14875.90149442
0.06000000 1369140.86864177 13780.40348668
0.06100000 1360803.72284420 13921.02273524
0.06200000 1352390.10685524 15336.10452860
0.06300000 1343902.91231340 12901.46856142
0.06400000 1335341.77492901 14321.54120589
0.06500000 1326713.04904205 15761.35175990
0.06600000 1318017.81397534 26492.15930043
0.06700000 1309257.38139017 17360.75368970
0.06800000 1300435.73154834 18843.31463217
0.06900000 1291556.71241027 16273.61533828
0.07000000 1282619.72200194 16391.88081479
0.07100000 1273629.19625155 16506.23515654
0.07200000 1264586.75599867 16616.67075226
0.07300000 1255496.18068579 19510.41156203
0.07400000 1246360.22349512 18228.01912286
0.07500000 1237179.32645682 15514.22948096
0.07600000 1227956.88395248 17019.48320946
0.07700000 1218696.82286949 21388.13024422
0.07800000 1209400.19576317 15764.53229107
0.07900000 1200068.73544775 18721.07315107
0.08000000 1190707.90486861 20253.94241195
0.08100000 1181318.06157824 20342.29797480
0.08200000 1171900.86218004 18967.21634442
0.08300000 1162459.60224096 16111.69084321
0.08400000 1152997.52800681 16170.79108933
0.08500000 1143516.41657579 16226.49871297
0.08600000 1134018.50054356 19238.62476500
0.08700000 1124506.13408323 17812.17800030
0.08800000 1114981.08016717 25304.49680279
0.08900000 1105446.75839007 16415.88513314
0.09000000 1095905.15798927 14959.10610926
0.09100000 1086357.95444084 17990.08857074
0.09200000 1076807.45268226 22532.19700609
0.09300000 1067257.52630255 15048.33182802
0.09400000 1057706.98820455 19594.02287736
0.09500000 1048160.24631936 18112.20990772
0.09600000 1038618.84374389 16623.09537554
0.09700000 1029087.41274565 16640.34424641
0.09800000 1019564.71114339 16654.59033959
0.09900000 1010054.70734735 16665.90345490
0.10000000 1000557.17863426 18190.13036300
0.10100000 991075.58844332 16679.80293798
0.10200000 981611.88741580 15165.90437392
0.10300000 972167.76720296 15165.81788178
0.10400000 962745.54396064 25777.51315225
0.10500000 953348.33836519 18189.88715183
0.10600001 943973.05649113 21211.07557741
0.10700001 934627.15168153 21197.34479763
0.10800001 925308.16116285 16641.66806170
0.10900001 916020.87657441 16625.77969233
0.11000001 906765.44184864 16607.40984916
0.11100001 897542.95987821 19602.33916649
0.11200001 888356.71304468 22586.47049247
0.11300001 879206.16834399 15034.42618652
0.11400001 870094.58433577 16510.04551514
0.11500001 861022.83343495 17978.15760868
0.11600001 851992.67683741 17942.96661916
0.11700001 843005.12873067 17905.42977749
0.11800001 834060.78060961 17865.58276210
0.11900001 825161.18251102 14852.90198479
0.12000001 816307.92947151 16297.58857960
0.12100001 807503.94668778 17732.78750462
0.12200001 798748.39534918 16210.59944731
0.12300001 790043.41105891 16164.28895184
0.12400001 781389.12314744 19046.36077414
0.12500001 772786.75469511 16066.23738716
0.12600001 764239.31553655 16014.63561173
0.12700001 755745.29809589 14510.31040726
0.12800001 747306.72798120 18798.50162833
0.12900001 738924.71757765 18731.74247346
0.13000001 730600.09203420 15791.92173367
0.13100001 722332.61134185 17162.62365449
0.13200001 714124.02795722 15671.45253228
0.13300001 705976.30986876 19866.17429626
0.13400001 697887.80529887 16958.67446829
0.13500001 689861.27375376 19702.43890734
0.13600001 681895.73054108 16815.54950801
0.13700001 673993.29432111 15346.82803534
0.13800001 666152.62559510 20833.92434793
0.13900001 658376.62501490 17973.68271051
0.14000001 650664.22200388 22018.47831102
0.14100001 643016.42068590 17805.12552853
0.14200001 635433.18951632 17719.05532539
0.14300001 627916.56592080 14919.29830999
0.14400001 620463.18252533 17543.59731343
0.14500001 613077.88726226 13426.40636440
0.14600001 605758.45937894 16028.36959129
0.14700001 598507.44986249 13286.86601378
0.14800001 591320.24040257 19824.01199477
0.14900001 584201.81919101 17087.90401756
0.15000001 577150.17988421 19608.67828676
0.15100001 570166.45151764 12999.79570800
0.15200001 563250.47745331 20682.55850803
0.15300001 556403.13364198 14138.20429301
0.15400001 549621.25340984 17890.17264275
0.15500001 542908.89614260 15244.88252314
0.15600001 536261.84033823 12628.96693599
0.15700001 529686.19259816 17574.98869989
0.15800001 523174.45984740 12477.71145629
0.15900001 516732.82081717 13641.74711347
0.16000001 510356.29518719 16022.63664371
0.16100001 504050.27905063 18372.63353866
0.16200001 497809.89761312 12171.45257121
0.16300001 491636.71786165 15722.54297944
0.16400001 485530.44997121 14420.25504492
0.16500001 479490.66387284 11939.31809410
0.16600001 473517.99530060 11861.62634230
0.16700001 467609.98316823 18854.03541153
0.16800001 461767.38620883 12876.38417241
0.16900001 455992.63971078 20930.06315100
0.17000001 450281.40051081 12704.69031532
0.17100001 444635.14349865 12618.74596837
0.17200001 439054.01724079 13672.14274252
0.17300001 433536.77547782 16972.96556150
0.17400001 428083.26966585 11237.18635942
0.17500001 422693.18527289 15622.74086551
0.17600001 417364.67584567 12189.13593375
0.17700001 412100.32330087 11003.07915182
0.17800001 406896.38499180 10925.16845305
0.17900001 401754.82288554 13016.85687632
0.18000001 396674.37885769 11846.68088416
0.18100001 391655.80580841 10692.20400363
0.18200001 386694.81036611 12737.72765516
0.18300001 381794.25455876 14752.53069305
0.18400001 376952.35537473 13598.55686255
0.18500001 372170.58989018 20767.11989695
0.18600001 367444.97595656 12368.19847501
0.18700001 362776.75425561 11253.33544867
0.18800001 358165.25198467 15230.97806025
0.18900001 353611.66113944 10077.93281863
0.19000001 349110.09048527 11002.20502148
0.19100001 344667.94088659 10919.08088321
0.19200001 340277.07662544 14776.53275067
0.19300001 335942.53145185 10753.52093991
0.19400001 331659.11171224 17461.85305679
0.19500001 327429.58376033 14439.64532618
0.19600001 323251.68893749 10507.29664545
0.19700001 319125.18378885 13269.22576901
0.19800001 315049.88568910 10344.66348548
0.19900001 311025.20714531 12129.98365193
0.20000001 307048.82282233 11109.02693474
0.20100001 303123.15125608 11940.02149229
0.20200001 299244.05833391 10934.37840832
0.20300001 295414.52296467 9039.68482998
0.20400001 291631.53832791 8967.67022745
0.20500001 287894.85640117 15123.11752158
0.20600001 284204.36433663 10589.45511573
0.20700001 280559.58289144 10504.15127998
0.20800001 276958.31525970 9550.90795320
0.20900001 273403.50190047 12918.31607546
0.21000001 269890.50902894 11104.64551894
0.21100001 266421.07660581 8472.19063657
0.21200001 262993.61446938 8402.64637953
0.21300001 259607.32476842 10833.41417474
0.21400001 256263.31897235 10743.84015585
0.21500001 252960.46352490 9015.51134626
0.21600001 249696.75629094 10565.91874199
0.21700001 246472.84637544 10477.56119479
0.21800001 243287.89935770 10389.61023330
0.21900001 240140.27182449 8717.09227939
0.22000001 237030.44985396 9429.07174102
0.22100001 233959.25013450 7790.84339786
0.22200001 230924.95726220 11586.66027850
0.22300001 227925.22700965 10721.60318551
0.22400001 224960.93274837 12147.89094284
0.22500001 222034.17618588 10537.74250008
0.22600001 219139.66279369 9700.21763227
0.22700001 216281.35940554 8876.18740975
0.22800001 213455.52280548 8798.63706613
0.22900001 210661.87985997 9448.18575853
0.23000001 207902.11785996 8644.57046943
0.23100001 205175.05240939 9996.12902613
0.23200001 202478.15074059 11322.57872490
0.23300001 199812.92781051 9117.46432720
0.23400001 197179.27242739 9730.79755451
0.23500001 194574.17799440 8954.30409481
0.23600001 192000.57536442 8873.30701015
0.23700001 189455.68722187 11498.06620133
0.23800001 186939.99484851 8042.15895877
0.23900001 184452.54895433 8632.37969937
0.24000001 181993.27285928 9210.67997508
0.24100001 179562.96482504 9777.20389720
0.24200001 177159.24090944 7103.20010026
0.24300001 174783.04524453 7676.47171026
0.24400001 172432.84006666 6336.90717221
0.24500001 170109.05682352 8787.83429121
0.24600001 167811.56812548 8704.38645043
0.24700001 165539.84401328 6158.08248861
0.24800001 163293.07997645 7318.79619077
0.24900001 161070.38452682 7852.18161715
0.25000001 158873.41577153 7177.90126413
0.25100001 156699.64219375 7107.89610618
0.25200001 154551.43817025 8211.31829846
0.25300001 152426.62730490 7549.69120759
0.25400001 150324.71224185 6899.90461834
0.25500001 148245.71554220 9108.21719384
0.25600001 146190.00553677 7326.31247410
0.25700001 144155.98550003 5578.83690280
0.25800001 142145.21682400 6074.57612839
0.25900001 140156.23207317 7652.53063327
0.26000001 138189.03589303 6492.12121343
0.26100001 136242.69630145 9102.37497059
0.26200001 134318.73850261 7418.42427852
0.26300001 132414.90013725 5243.63029355
0.26400001 130532.23419243 6226.38786560
0.26500001 128670.58174223 6674.14339078
0.26600001 126828.40815500 5587.42578566
0.26700001 125007.55626488 6532.89519954
0.26800001 123206.94637350 5965.68062571
0.26900001 121424.66531952 6393.00893160
0.27000001 119663.25806904 6323.60517191
0.27100001 117920.52418169 7697.85218287
0.27200001 116198.59500019 6661.66576661
0.27300001 114494.79955192 7529.17837485
0.27400001 112808.12773750 7910.67033196
0.27500001 111143.11444469 5061.45767135
0.27600001 109494.38038041 5004.44089213
0.27700001 107865.71585001 6297.20078935
0.27800001 106254.27396422 5336.08989103
0.27900001 104662.34907442 5714.56452992
0.28000001 103086.75840048 6517.66060834
0.28100001 101529.92717614 5153.65934738
