# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097350 296.39991978
0.00100000 1646580.59161828 592.76902706
0.00200000 1646323.67300246 1037.18394683
0.00300000 1645895.68075309 1086.29118799
0.00400000 1645296.47280097 1357.36964164
0.00500000 1644526.71683132 2072.10374522
0.00600000 1643586.26522058 2070.91877849
0.00700000 1642475.82534516 1970.97107233
0.00800000 1641195.21327088 2658.73635775
0.00900000 1639745.82917653 2705.58073380
0.01000000 1638127.01346443 4054.36453339
0.01100000 1636340.38315092 3534.49538150
0.01200000 1634385.80618685 3824.46295416
0.01300000 1632264.63083977 3770.53146354
0.01400000 1629977.04494683 4034.19336508
0.01500000 1627524.47000018 4687.27068232
0.01600000 1624906.76157950 4557.86366998
0.01700000 1622125.98304133 6131.63649095
0.01800000 1619182.60682054 6460.53889192
0.01900000 1616077.59126445 5333.05629181
0.02000000 1612811.81612875 6096.42894074
0.02100000 1609387.85502917 6373.17619487
0.02200000 1605804.37513743 7202.03294970
0.02300000 1602064.54098110 7497.66239307
0.02400000 1598168.93770242 7791.07392655
0.02500000 1594119.83780738 9325.60147708
0.02600000 1589917.64287005 8370.91677258
0.02700000 1585564.37133435 7991.24479753
0.02800000 1581060.29573927 10316.41890281
0.02900000 1576408.85436246 9931.37623847
0.03000000 1571610.83885929 12423.58425224
0.03100000 1566667.57764697 9776.00613434
0.03200000 1561580.33256038 8502.80530241
0.03300000 1556353.21297063 7937.40175207
0.03400000 1550984.68918788 9771.20399273
0.03500000 1545479.09217720 13352.93997302
0.03600000 1539836.81254214 8546.09470456
0.03700000 1534060.88710246 9618.56220697
0.03800000 1528152.67777886 9833.66293660
0.03900000 1522114.82740879 9132.68938739
0.04000000 1515947.33409619 11187.69184406
0.04100000 1509654.55055058 12364.07134229
0.04200000 1503237.60792105 10665.47132300
0.04300000 1496698.45350369 10866.03127682
0.04400000 1490039.93194715 11063.54700852
0.04500000 1483264.24149257 16375.23798695
0.04600000 1476372.11378050 12490.10866321
0.04700000 1469367.44044326 11637.39066954
0.04800000 1462251.93943936 12897.06270593
0.04900000 1455028.14734726 14186.52509698
0.05000000 1447697.72321347 14397.35452779
0.05100000 1440264.58305358 11234.06427115
0.05200000 1432728.29207175 19363.32376971
0.05300000 1425093.63514605 11543.25898281
0.05400000 1417361.99269305 14031.88438202
0.05500000 1409536.99509310 17760.16696667
0.05600000 1401618.98816137 14380.61148959
0.05700000 1393613.43142806 14549.32490325
0.05800000 1385519.36654613 14714.21635976
0.05900000 1377340.76749906 14875.28098375
0.06000000 1369081.62625506 12527.09746548
0.06100000 1360742.67169680 15185.88892579
0.06200000 1352327.17559757 21725.13709148
0.06300000 1343838.08415299 14190.93083216
0.06400000 1335275.06578313 19528.39875036
0.06500000 1326644.41351060 15760.53636975
0.06600000 1317947.18120720 15894.44374904
0.06700000 1309184.74385927 14689.05351353
0.06800000 1300361.31422935 13458.74023227
0.06900000 1291480.20928497 20340.81424857
0.07000000 1282541.24643052 19122.69087977
0.07100000 1273548.57451911 13754.32524903
0.07200000 1264504.07908557 15230.95234611
0.07300000 1255411.39071483 15328.57379886
0.07400000 1246273.39953883 15422.63404206
0.07500000 1237090.47568949 18333.68170906
0.07600000 1227865.93769755 19854.59314336
0.07700000 1218603.80472571 15683.43170219
0.07800000 1209304.98035387 18629.34409600
0.07900000 1199971.34036375 18719.55378769
0.08000000 1190608.40109116 20252.24985262
0.08100000 1181216.42933827 14528.96276253
0.08200000 1171796.88381539 18965.53345451
0.08300000 1162353.52683129 19039.35166305
0.08400000 1152889.20658497 14699.33807393
0.08500000 1143405.80198016 16224.92909178
0.08600000 1133905.65794681 16277.21648407
0.08700000 1124391.02620374 17810.35469140
0.08800000 1114863.83659357 17860.11950101
0.08900000 1105327.25441392 16414.11049901
0.09000000 1095783.37965783 16453.18821846
0.09100000 1086233.89353860 14990.02843508
0.09200000 1076681.09817603 18023.64243034
0.09300000 1067128.87632340 21065.12500852
0.09400000 1057576.11564596 22605.69053434
0.09500000 1048027.03094256 16600.74895041
0.09600000 1038483.22332940 21153.90425362
0.09700000 1028949.58246758 22688.33936005
0.09800000 1019424.44725693 15138.45375354
0.09900000 1009912.32185192 21208.15975615
0.10000000 1000412.35053550 24249.99651739
0.10100000 990928.43102715 24257.92913244
0.10200000 981462.46416476 16679.95536304
0.10300000 972015.99618962 16679.79527924
0.10400000 962591.41472138 19709.06014363
0.10500000 953192.02093037 18186.90461503
0.10600001 943814.45943898 18177.86734413
0.10700001 934466.02499939 18166.02038084
0.10800001 925144.85756205 16638.73104630
0.10900001 915855.18131622 16622.77232325
0.11000001 906597.51885422 16604.33433937
0.11100001 897372.70007995 19598.62069232
0.11200001 888184.09111566 18065.66526377
0.11300001 879031.33211023 16534.58013545
0.11400001 869917.34052144 16506.68231360
0.11500001 860843.36055866 16476.54269694
0.11600001 851810.87396818 17939.13785055
0.11700001 842820.92717426 22376.89667032
