# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 299.63713438
0.00100000 1664564.77865309 549.30639000
0.00200000 1664306.83500847 748.93809947
0.00300000 1663877.14546722 1098.15895513
0.00400000 1663275.56253139 1247.45671930
0.00500000 1662502.75111033 1945.12829579
0.00600000 1661558.54927783 2093.56385732
0.00700000 1660443.70516472 2391.03903481
0.00800000 1659157.98260168 3583.78139373
0.00900000 1657702.79662646 3232.52059160
0.01000000 1656077.52527934 4098.79205205
0.01100000 1654283.83023932 3275.48212649
0.01200000 1652321.41455591 3544.22958961
0.01300000 1650191.75399283 3811.94311985
0.01400000 1647894.99442861 4078.54029202
0.01500000 1645432.66168526 4343.94242028
0.01600000 1642804.40602582 5445.89684943
0.01700000 1640012.42490075 6199.24724422
0.01800000 1637057.27056963 5598.73611728
0.01900000 1633939.69281904 6862.54701950
0.02000000 1630660.75964313 5650.23978776
0.02100000 1627222.96701479 6980.78684499
0.02200000 1623625.01132328 6721.80785227
0.02300000 1619870.00817013 5831.53229485
0.02400000 1615958.50758314 7877.79808368
0.02500000 1611892.95226628 8800.93592132
0.02600000 1607673.62224387 7813.29416147
0.02700000 1603302.46515339 8754.03186068
0.02800000 1598779.97646185 8345.63185986
0.02900000 1594109.45579408 10042.89003261
0.03000000 1589291.55111822 8129.22665763
0.03100000 1584327.88429061 9886.20645287
0.03200000 1579219.58188429 8598.85101941
0.03300000 1573970.82062790 8027.25155526
0.03400000 1568580.06347153 11529.06399847
0.03500000 1563051.34897499 10128.57320908
0.03600000 1557385.43268979 15558.28119158
0.03700000 1551585.18090594 8844.03594018
0.03800000 1545652.13101518 10850.47846188
0.03900000 1539588.78096652 10161.28642495
0.04000000 1533395.13566994 12259.49467777
0.04100000 1527075.45446745 10582.63339014
0.04200000 1520631.24960611 16673.72242547
0.04300000 1514064.08454470 13989.95279058
0.04400000 1507376.73462648 15262.19014690
0.04500000 1500571.90713219 13460.13063240
0.04600000 1493649.92755005 14742.32547024
0.04700000 1486614.80021286 13914.71517714
0.04800000 1479468.21206775 16311.13779697
0.04900000 1472212.67060163 16562.39331521
0.05000000 1464850.01413530 17929.76500794
0.05100000 1457384.09609438 14777.87542281
0.05200000 1449814.18914578 14983.83034309
0.05300000 1442145.69649641 18690.20909789
0.05400000 1434379.29109287 13016.99267370
0.05500000 1426519.08066870 16775.86517125
0.05600000 1418565.29721643 13341.60724290
0.05700000 1410523.38237861 12271.55399951
0.05800000 1402392.45157765 16134.52590876
0.05900000 1394176.31481683 17566.62238716
0.06000000 1385879.04565747 12680.79386020
0.06100000 1377501.47450340 17935.07003616
0.06200000 1369046.78656045 15524.99128529
0.06300000 1360518.06005047 14367.07138587
0.06400000 1351914.71518520 18453.63672529
0.06500000 1343243.25931092 15957.73066708
0.06600000 1334504.70609422 16094.12750852
0.06700000 1325700.31494477 16226.57261431
0.06800000 1316834.44887317 14992.16090219
0.06900000 1307910.48709914 17852.97898476
0.07000000 1298927.85138355 15216.94049154
0.07100000 1289891.24852149 18110.07397748
0.07200000 1280802.36262627 16829.74383333
0.07300000 1271664.75965100 14115.47949352
0.07400000 1262481.22255412 21304.37162901
0.07500000 1253252.39776748 20001.90920591
0.07600000 1243981.14882658 17241.57953103
0.07700000 1234671.96315089 26002.19276316
0.07800000 1225325.77855289 17424.13338815
0.07900000 1215944.16323728 21886.99596485
0.08000000 1206532.71945808 16125.31055201
0.08100000 1197091.66685805 17669.07383183
0.08200000 1187623.08340757 14785.90808226
0.08300000 1178129.67678867 16328.87808664
0.08400000 1168615.17378614 22349.76624773
0.08500000 1159080.92363846 14952.14461687
0.08600000 1149529.76121930 16501.50049707
0.08700000 1139963.43423475 18057.02164619
0.08800000 1130384.07774290 25654.06784919
0.08900000 1120794.99723858 21183.02644277
0.09000000 1111198.28956804 21235.00031117
0.09100000 1101595.43995338 15202.01778557
0.09200000 1091988.86866874 16756.56997706
0.09300000 1082382.47481492 19840.07169569
0.09400000 1072774.98541137 19873.15753873
0.09500000 1063171.10475613 18371.59755370
0.09600000 1053572.05679991 18395.36897645
0.09700000 1043982.48801379 19950.50628387
0.09800000 1034401.31281426 16896.94623928
0.09900000 1024832.65338360 23058.73578541
0.10000000 1015275.64091690 16919.56935156
0.10100000 1005734.55186529 16926.51330398
0.10200000 996211.11765628 20008.90123927
0.10300000 986706.55157356 18471.14751435
0.10400000 977223.82349116 20008.65872729
0.10500000 967765.64822916 20003.71689006
0.10600001 958328.83218638 18457.41417640
0.10700001 948921.45159424 18447.03388707
0.10800001 939540.51866809 16897.63702348
0.10900001 930190.80286432 16882.96386660
0.11000001 920872.81325042 16865.78636855
0.11100001 911587.23404007 22971.99937918
0.11200001 902337.78010427 16824.08870207
0.11300001 893123.86280268 18326.90252756
0.11400001 883948.23849733 22872.16174804
0.11500001 874812.62113115 19788.26242178
0.11600001 865718.09254294 18232.02388753
0.11700001 856665.72575091 19711.87927786
0.11800001 847656.50453712 19669.87011420
0.11900001 838691.79673731 19625.38896804
0.12000001 829773.17764606 25602.65260228
0.12100001 820903.56306009 25538.31104986
0.12200001 812082.11720533 22474.37365245
0.12300001 803310.96762977 25400.69399319
0.12400001 794590.42580657 23837.71389737
0.12500001 785921.31602520 16339.30493008
0.12600001 777306.99276548 16288.46880097
0.12700001 768746.14003065 17711.91190100
0.12800001 760240.38997311 19123.84791107
0.12900001 751790.92296017 19057.90079528
0.13000001 743398.68437464 18990.12028745
0.13100001 735063.43077121 14554.25661532
0.13200001 726787.00322808 20299.16195707
0.13300001 718571.12908692 15887.60841310
0.13400001 710414.41301146 20140.24955840
0.13500001 702319.40693781 18625.51155015
0.13600001 694285.20202569 15694.31773179
0.13700001 686314.14536796 17048.04417481
0.13800001 678404.55408161 15559.20918157
0.13900001 670559.51671161 19714.45072102
0.14000001 662778.23322014 18223.08838180
0.14100001 655061.02383336 16743.36055885
0.14200001 647408.39702646 19441.67507968
0.14300001 639822.35859405 13820.16359750
0.14400001 632299.50274501 17878.26928343
0.14500001 624844.45744849 23262.96024817
0.14600001 617455.25760578 25868.28923771
0.14700001 610134.58192344 13544.98835771
0.14800001 602877.48375508 14821.74363739
0.14900001 595689.02382146 20104.50550252
0.15000001 588567.34701025 15997.26124654
0.15100001 581513.50542441 14584.35940421
0.15200001 574527.40841862 14503.94510993
0.15300001 567610.02953422 17045.32999127
0.15400001 560757.88511516 18252.67002186
0.15500001 553975.27083077 12963.02194920
0.15600001 547257.95731379 14176.71805328
0.15700001 540612.00184664 15375.00605817
0.15800001 534029.98205906 17831.26194256
0.15900001 527517.87240116 20256.68725633
0.16000001 521071.10306828 13842.25450640
0.16100001 514694.81830388 21262.04394779
0.16200001 508384.15017383 12429.99305852
0.16300001 502140.64216128 16058.45849440
0.16400001 495964.07943064 14730.13385449
0.16500001 489853.89148946 12197.36247394
0.16600001 483811.04673745 12119.46729297
0.16700001 477832.85369413 14449.66617795
0.16800001 471920.24518660 13159.49665837
0.16900001 466075.32358524 15450.39770639
0.17000001 460294.07210392 14167.85220836
0.17100001 454577.70950833 12900.91600504
0.17200001 448926.62171242 17474.46957535
0.17300001 443339.59861897 11571.16407040
0.17400001 437816.45113636 13791.21886210
0.17500001 432356.49823397 14838.47572018
0.17600001 426958.32284366 13602.89280825
0.17700001 421624.57197612 12383.11426380
0.17800001 416351.07814665 20122.24855724
0.17900001 411140.28170129 15541.10338237
0.18000001 405990.34637921 17636.22147976
0.18100001 400902.80596843 10944.64711992
0.18200001 395872.64951480 17386.72758800
0.18300001 390903.36534720 11867.82673257
0.18400001 385992.70308910 11782.42781840
0.18500001 381142.37149467 15950.80900060
0.18600001 376348.12388753 13723.53498591
0.18700001 371611.52328610 10479.44545177
0.18800001 366931.81299632 11442.76912892
0.18900001 362310.29018889 12391.01250990
0.19000001 357740.66546897 14348.97876993
0.19100001 353230.85467400 12207.65891435
0.19200001 348772.27197277 12116.34930085
0.19300001 344370.36463830 11023.29589295
0.19400001 340019.58930405 12929.24549424
0.19500001 335722.89604506 13818.35505420
0.19600001 331478.20475168 11754.21769596
0.19700001 327284.96278201 9720.36385399
0.19800001 323143.15374690 11574.98831423
0.19900001 319052.03996845 11485.87398169
0.20000001 315009.50503382 12346.79813332
0.20100001 311017.81861640 11308.60841936
0.20200001 307073.06817529 11220.45044144
0.20300001 303177.96134679 12060.41987241
0.20400001 299329.63907097 11965.70288743
0.20500001 295527.80702078 9131.80966857
0.20600001 291772.47431650 10871.44290690
0.20700001 288062.94089594 10785.07701694
0.20800001 284397.18855879 10699.02273933
0.20900001 280778.31266664 10613.42072051
0.21000001 277201.23093564 11405.44518601
0.21100001 273668.06361883 8702.64483448
0.21200001 270177.05364937 10358.58872661
0.21300001 266727.45421466 10274.34202207
0.21400001 263320.34982104 11888.91435649
0.21500001 259954.82234606 8422.53664221
0.21600001 256628.55124798 10023.91168566
0.21700001 253342.40739621 12426.44567030
0.21800001 250095.43922866 9858.76268052
0.21900001 246886.07175381 9776.68890371
