# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097350 271.69992646
0.00100000 1646580.84859748 592.76911957
0.00200000 1646324.70633919 814.93075544
0.00300000 1645898.00584415 987.53883869
0.00400000 1645300.60225580 1357.37304844
0.00500000 1644533.17165525 2072.11187830
0.00600000 1643595.54621276 1725.77539378
0.00700000 1642488.45691390 2168.08485323
0.00800000 1641211.71416860 2658.76308921
0.00900000 1639766.68770549 2705.61515037
0.01000000 1638152.72758277 2973.24732895
0.01100000 1636371.47420793 3240.01566000
0.01200000 1634422.76919156 3505.83699363
0.01300000 1632307.99081868 4113.41631828
0.01400000 1630027.26128487 4767.82995062
0.01500000 1627582.06219468 4687.43654785
0.01600000 1624972.16550350 6629.88673163
0.01700000 1622199.69496963 7007.90299663
0.01800000 1619265.14692791 5999.37763933
0.01900000 1616169.40918332 5818.21013559
0.02000000 1612913.35746023 5080.67730583
0.02100000 1609499.61801726 7967.02347040
0.02200000 1605926.80671706 6094.49250838
0.02300000 1602198.07910987 6344.70468208
0.02400000 1598314.09236458 8391.14936753
0.02500000 1594276.92451163 8704.75240538
0.02600000 1590087.19973131 9659.78018019
0.02700000 1585746.80263881 6660.13687612
0.02800000 1581256.02269918 7566.31041560
0.02900000 1576618.30803314 9223.21752547
0.03000000 1571834.33227751 8039.93297916
0.03100000 1566905.58639271 10529.60602506
0.03200000 1561833.27492791 8504.18257367
0.03300000 1556621.43933069 9526.52364788
0.03400000 1551268.65766243 9772.99299420
0.03500000 1545779.05361723 8347.20727499
0.03600000 1540153.18899275 13676.56095030
0.03700000 1534393.94951461 9620.65050839
0.03800000 1528502.90677228 9835.91666028
0.03900000 1522482.48515814 13702.34300098
0.04000000 1516332.67843154 9325.44640449
0.04100000 1510057.94212825 10464.70202416
0.04200000 1503659.39165442 16487.62599440
0.04300000 1497138.88146021 10869.22878393
0.04400000 1490499.31789514 14085.21920825
0.04500000 1483742.86098754 10237.82621651
0.04600000 1476870.21119042 13535.51611478
0.04700000 1469885.31753252 15874.76216765
0.04800000 1462789.77067384 12901.80637764
0.04900000 1455586.24431976 13100.27680866
0.05000000 1448276.25133804 14403.10799025
0.05100000 1440863.82476580 12362.61219239
0.05200000 1433348.36752087 12534.63205810
0.05300000 1425734.87839769 15012.98896940
0.05400000 1418024.37016927 14038.44191934
0.05500000 1410220.82715150 14215.02660081
0.05600000 1402324.46612327 15586.83716831
0.05700000 1394340.55139617 14556.91603607
0.05800000 1386268.43444391 14722.17146121
0.05900000 1378111.81597347 18604.51038458
0.06000000 1369874.71824569 13787.78968329
0.06100000 1361557.91427466 16461.23595284
0.06200000 1353164.84954579 12787.40842594
0.06300000 1344698.09177091 15490.92274148
0.06400000 1336157.58760295 14330.29079722
0.06500000 1327549.39588768 17085.56152430
0.06600000 1318874.79044141 13254.69226410
0.06700000 1310134.87792960 13363.37638027
0.06800000 1301334.08023118 16162.57003303
0.06900000 1292475.55632715 16285.19277218
0.07000000 1283559.23590753 21871.85040409
0.07100000 1274589.18910301 17895.23305318
0.07200000 1265567.29055805 15243.75872889
0.07300000 1256497.19585344 15341.83148022
0.07400000 1247381.78212183 21049.56855978
0.07500000 1238221.03647140 14115.72047741
0.07600000 1229018.92169269 21292.75381654
0.07700000 1219779.09160092 18552.84085316
0.07800000 1210502.42556076 17213.34529871
0.07900000 1201190.99971104 15855.72193988
