# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097350 271.69992646
0.00100000 1646580.92857591 642.16657740
0.00200000 1646325.02698108 814.93091416
0.00300000 1645898.72762381 1382.55498045
0.00400000 1645301.89900029 1480.77176537
0.00500000 1644535.19328005 2072.11442555
0.00600000 1643598.45764305 1898.35629586
0.00700000 1642492.40679166 3153.58555210
0.00800000 1641216.86608130 2437.20714903
0.00900000 1639773.21298484 2705.62591708
0.01000000 1638160.78279567 3513.85503082
0.01100000 1636381.22458329 2945.48633249
0.01200000 1634434.36333357 3505.86186306
0.01300000 1632321.58412561 3770.66302563
0.01400000 1630042.99281060 4767.87596534
0.01500000 1627600.17781921 4296.86466078
0.01600000 1624992.74046127 4143.73167342
0.01700000 1622222.87465738 6132.00274128
0.01800000 1619291.14169638 5076.47795765
0.01900000 1616198.36707691 4848.59532001
0.02000000 1612945.41913562 5080.77830011
0.02100000 1609534.92160202 9560.63786778
0.02200000 1605965.57050481 7756.81405795
0.02300000 1602240.41899407 5768.06577093
0.02400000 1598360.04661394 5993.85044811
0.02500000 1594326.86301219 7461.45005967
0.02600000 1590141.08655593 9016.10037315
0.02700000 1585804.88583097 6660.38082554
0.02800000 1581318.43729462 6878.73551769
0.02900000 1576685.21856576 12061.64247583
0.03000000 1571905.80090212 12425.91592729
0.03100000 1566981.75526039 8273.66404847
0.03200000 1561914.39126380 8504.62425214
0.03300000 1556707.66189106 9527.05132997
0.03400000 1551360.16712394 9773.56950384
0.03500000 1545875.80923744 10017.27570644
0.03600000 1540255.39677023 9403.25963184
0.03700000 1534501.76929980 13994.65678323
0.03800000 1528616.42827808 15202.09108277
0.03900000 1522602.02128968 10049.17380589
0.04000000 1516458.20194302 10258.84021153
0.04100000 1510189.63586426 10465.61466179
0.04200000 1503797.38239866 13579.29099304
0.04300000 1497283.31960877 13834.89851537
0.04400000 1490650.26420862 14086.64565098
0.04500000 1483900.59658038 14334.48042902
0.04600000 1477034.73836701 12495.71446747
0.04700000 1470056.75843282 13759.73189887
0.04800000 1462968.39820661 13978.66369527
0.04900000 1455771.95038598 17469.26421778
0.05000000 1448469.37528686 13296.94948432
0.05100000 1441064.41955147 13488.36359534
0.05200000 1433556.39973314 15955.48347258
0.05300000 1425950.77562264 17325.30273148
0.05400000 1418248.05551788 12870.60170403
0.05500000 1410452.26881930 15402.13949401
0.05600000 1402564.08678933 11991.92350164
0.05700000 1394588.27353216 15772.79410990
0.05800000 1386524.47767050 13497.81642037
0.05900000 1378376.18735700 13645.92489218
0.06000000 1370147.54177345 13790.53565223
0.06100000 1361839.32900659 16464.63825710
0.06200000 1353454.88125222 12790.14922569
0.06300000 1344997.10825813 15494.36741158
0.06400000 1336465.45454400 16939.70042856
0.06500000 1327866.21164022 28920.92744238
0.06600000 1319200.80305693 15909.56242925
0.06700000 1310469.96695922 20050.19143280
0.06800000 1301678.39132247 17514.08357506
0.06900000 1292829.23705134 23077.00296181
0.07000000 1283922.36061306 13673.77378085
0.07100000 1274961.85970390 20654.38309461
0.07200000 1265949.58220136 13862.14857450
0.07300000 1256889.37424399 15346.61997859
0.07400000 1247783.55979358 16845.07884664
0.07500000 1238632.95998170 16944.49968678
0.07600000 1229440.60886447 15620.04366790
0.07700000 1220210.83030171 14276.46738393
0.07800000 1210944.21107533 18654.59644645
0.07900000 1201643.03775158 18745.63226816
0.08000000 1192312.22457076 15935.25362893
0.08100000 1182952.33941805 17460.37734902
0.08200000 1173565.07766045 17533.06308299
0.08300000 1164153.69108468 16135.17091569
0.08400000 1154721.29634774 19139.50638535
0.08500000 1145269.58327031 19206.17181308
0.08600000 1135801.21180123 23715.53041589
0.08700000 1126318.12667949 19327.61996140
0.08800000 1116822.23231590 19382.45075212
0.08900000 1107316.87132849 16443.65631158
0.09000000 1097803.93283494 17982.02926455
0.09100000 1088285.41325662 16520.17334937
0.09200000 1078763.26362316 18058.49788156
0.09300000 1069241.47519545 16583.93605960
0.09400000 1059718.93261241 15100.99549944
0.09500000 1050200.01950652 25708.89768591
0.09600000 1040685.83939999 21198.77154509
0.09700000 1031181.60391220 16674.20731916
0.09800000 1021685.90049293 24275.25813708
0.09900000 1012202.60426137 18219.64773344
0.10000000 1002731.16761618 18229.65348455
0.10100000 993275.73948903 16716.83148182
0.10200000 983837.78835948 18240.35345414
0.10300000 974419.00358415 19761.21832227
0.10400000 965022.03737504 21278.73692518
0.10500000 955649.47734413 16714.31014515
0.10600001 946298.36199402 16706.89836712
0.10700001 936976.47926964 21250.62754984
0.10800001 927681.16029703 16684.34645314
0.10900001 918416.89771644 21215.43133577
0.11000001 909184.39953607 16651.71306129
0.11100001 899984.38596747 15119.73839599
0.11200001 890819.95049054 19629.21853315
0.11300001 881691.22327604 21107.68887900
0.11400001 872600.70529680 21073.30802514
0.11500001 863549.81955490 18030.92108135
0.11600001 854539.90047005 16496.89355544
0.11700001 845572.15481688 14966.62784511
0.11800001 836647.22549558 19414.39978201
0.11900001 827766.70532501 17879.76167719
0.12000001 818931.83931719 16349.97494213
0.12100001 810146.02261482 20755.94207717
0.12200001 801407.93722564 14785.97713840
0.12300001 792720.00657037 14744.59281689
0.12400001 784082.38271596 27932.93620039
0.12500001 775495.77982622 14656.87092935
0.12600001 766963.94222840 17532.79654555
0.12700001 758485.17707622 16019.20769478
0.12800001 750061.05633924 23221.89139869
