# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1602607.65355279 288.46937764
0.00100000 1602528.21587263 624.98601903
0.00200000 1602289.86747857 1009.44264848
0.00300000 1601892.78913315 1153.36284926
0.00400000 1601336.90621254 1561.30354288
0.00500000 1600622.64263463 1440.56043539
0.00600000 1599749.95643126 1847.71127490
0.00700000 1598719.36296216 2302.15597834
0.00800000 1597530.67173757 3234.99974685
0.00900000 1596185.09616174 3351.98884523
0.01000000 1594682.03263731 3157.47056096
0.01100000 1593022.74886412 3440.92928736
0.01200000 1591207.16640783 3723.42493264
0.01300000 1589236.23960466 4672.35475051
0.01400000 1587110.19534743 4642.29752719
0.01500000 1584830.07380083 4183.95158114
0.01600000 1582395.69945722 4035.10921400
0.01700000 1579808.96502344 5118.58127629
0.01800000 1577069.99145452 6292.50954905
0.01900000 1574179.39849795 4722.53840859
0.02000000 1571138.23721402 5443.99423821
0.02100000 1567948.32780360 5174.22971634
0.02200000 1564608.44138648 5937.68930482
0.02300000 1561121.33741011 6182.04077754
0.02400000 1557487.15100769 5840.57708259
0.02500000 1553708.03033640 8483.24623307
0.02600000 1549784.08246599 8159.61356739
0.02700000 1545716.90891787 9088.81584071
0.02800000 1541506.59679786 6705.55400358
0.02900000 1537156.10894822 10375.80421180
0.03000000 1532665.97134373 8552.27651321
0.03100000 1528036.99954303 8068.03572882
0.03200000 1523270.43730676 8294.20791315
0.03300000 1518369.37802909 8518.05260343
0.03400000 1513332.78639536 11122.99649323
0.03500000 1508163.93297212 10587.31129837
0.03600000 1502863.09932226 10843.15776271
0.03700000 1497432.78807436 9388.90401544
0.03800000 1491873.83579672 8727.46234331
0.03900000 1486188.99419470 12483.98812937
0.04000000 1480377.65273075 10925.18758341
0.04100000 1474443.41892985 10217.89336695
0.04200000 1468387.50567517 10418.20983610
0.04300000 1462210.65062684 11580.70889052
0.04400000 1455916.22804964 9827.43499574
0.04500000 1449505.46016429 11001.74695384
0.04600000 1442978.74830871 13224.90084303
0.04700000 1436339.40344874 12409.97302296
0.04800000 1429588.77565697 12608.97358797
0.04900000 1422729.71600709 13871.61537676
0.05000000 1415762.45522818 18411.99158762
0.05100000 1408690.43352572 10987.78589336
0.05200000 1401513.45649635 11142.03249838
0.05300000 1394235.78031494 12422.64138172
0.05400000 1386858.44177738 13729.89921387
0.05500000 1379383.52501019 13904.18658072
0.05600000 1371812.23419606 14074.79417964
0.05700000 1364149.33695089 13054.90976400
0.05800000 1356393.62757948 15605.30941395
0.05900000 1348547.64971702 12136.92941432
0.06000000 1340615.82649828 15946.62600120
0.06100000 1332598.57730307 19829.06775691
0.06200000 1324498.48316055 12516.51125093
0.06300000 1316318.30425044 13900.32194280
0.06400000 1308056.57285337 12753.55218176
0.06500000 1299720.72921803 18014.13014962
0.06600000 1291309.86399517 16870.96416246
0.06700000 1282825.93974523 14393.30771753
0.06800000 1274273.26276146 14507.60177563
0.06900000 1265652.68605861 13289.35382581
0.07000000 1256965.64214152 14725.35318725
0.07100000 1248215.31887975 14828.79868284
0.07200000 1239403.65363983 14928.61770745
0.07300000 1230533.60868789 16390.70843572
0.07400000 1221607.44759551 13743.08442951
0.07500000 1212626.35493359 13823.94109421
0.07600000 1203591.89982718 15291.63580419
0.07700000 1194508.91738276 15373.33048755
0.07800000 1185377.61204893 19665.41550613
0.07900000 1176200.14789330 15525.84268041
0.08000000 1166980.30798941 18432.45482938
0.08100000 1157719.93934209 17087.94710643
0.08200000 1148419.39610162 15727.60436763
0.08300000 1139082.63345045 21528.66278260
0.08400000 1129712.00816726 15844.21165825
0.08500000 1120309.01950877 17342.38443614
0.08600000 1110875.47602767 17396.31077138
0.08700000 1101415.10581863 18900.28410336
0.08800000 1091927.99280696 16034.96332743
0.08900000 1082418.50546607 16073.91556116
0.09000000 1072887.91936633 17573.90494476
0.09100000 1063337.61622105 16141.46577258
0.09200000 1053770.22971659 17640.11447431
0.09300000 1044189.67119248 16195.38256125
0.09400000 1034594.01066117 17691.55841376
0.09500000 1024988.37642061 17711.79997705
0.09600000 1015374.17797730 20683.17297767
0.09700000 1005754.87207586 20698.43624041
0.09800000 996131.06319616 20709.56577756
0.09900000 986505.52893525 16277.34199283
0.10000000 976878.36967558 17759.64959589
0.10100000 967252.83531387 14798.96907632
0.10200000 957632.18173788 17754.50148453
0.10300000 948016.45313659 16267.96310108
0.10400000 938409.10680969 19213.92736585
0.10500000 928812.64527664 16244.93393020
0.10600001 919224.82869767 14753.55919480
0.10700001 909652.28159655 17683.64118639
0.10800001 900094.29049049 23546.46774737
0.10900001 890554.34799530 17632.97692021
0.11000001 881033.14045110 14669.20247898
0.11100001 871532.09072581 14641.73981343
0.11200001 862054.19635546 16073.00124772
0.11300001 852599.82638616 17495.34926114
0.11400001 843172.01238975 17453.66147826
0.11500001 833772.64469852 14507.64470089
0.11600001 824402.30291381 14468.26109747
0.11700001 815063.42776824 14426.62335092
0.11800001 805756.02029330 23012.39302342
0.11900001 796482.71344717 15770.35846906
0.12000001 787245.19102944 21432.75133536
0.12100001 778046.54854817 21357.37876375
0.12200001 768885.46104050 15604.53116697
0.12300001 759765.58297971 21197.46076384
0.12400001 750686.77102060 22520.60419173
0.12500001 741650.12245431 18222.34436735
0.12600001 732660.23318005 20935.76714969
0.12700001 723715.52005604 16674.40636790
0.12800001 714817.63868644 16598.06635255
0.12900001 705968.88652025 13766.39393598
0.13000001 697169.49750614 16439.25752606
0.13100001 688420.51923057 21809.16307726
0.13200001 679724.24667914 18984.69910469
0.13300001 671082.45188448 18884.26108629
0.13400001 662493.93432867 16098.60336317
0.13500001 653961.32739469 21345.29873256
0.13600001 645485.43684604 15917.67162315
0.13700001 637068.03900122 15824.77083498
0.13800001 628708.01373538 13108.56270453
0.13900001 620408.68322932 14331.44125844
0.14000001 612169.52747094 15536.86333994
0.14100001 603992.76321155 14151.55110948
0.14200001 595877.80502657 23006.84313720
0.14300001 587827.11098184 15236.47943532
0.14400001 579838.33476082 15133.78125112
0.14500001 571916.85714299 15029.97571471
0.14600001 564060.70363934 18656.30865297
0.14700001 556271.32320261 17288.91354077
0.14800001 548547.33564300 13486.03688304
0.14900001 540891.96114416 12170.06969994
0.15000001 533305.15677811 14495.23484516
0.15100001 525786.43841467 14385.51763381
0.15200001 518339.08329287 13085.47077519
0.15300001 510961.46999581 12983.53156527
0.15400001 503652.95689357 12880.92498042
0.15500001 496416.79253185 16262.61489082
0.15600001 489250.93528681 12674.04607676
0.15700001 482159.02633970 11427.16946358
0.15800001 475136.27101656 14731.60077818
0.15900001 468188.53903752 14607.48310745
0.16000001 461311.62840948 11140.67635196
0.16100001 454510.54048200 14357.98865158
0.16200001 447781.98534777 15327.57808201
0.16300001 441126.88210888 10851.72181216
0.16400001 434545.99934102 13981.51818886
0.16500001 428038.38613338 11723.97194970
0.16600001 421606.15225743 14785.72845775
0.16700001 415246.85613968 13603.48764942
0.16800001 408961.95033079 11403.90452343
0.16900001 402753.52192036 13351.27988208
0.17000001 396617.65109667 10173.24323101
0.17100001 390557.08451813 11084.01058203
0.17200001 384571.14783722 9979.62175764
0.17300001 378659.36524669 10871.31088962
0.17400001 372823.19065853 11743.93106036
0.17500001 367060.18863613 12597.50626894
0.17600001 361370.53953361 16310.46007218
0.17700001 355756.51616740 11398.43931636
0.17800001 350215.69278625 13164.60851363
0.17900001 344748.07783070 11169.83824931
0.18000001 339355.13871589 9213.49245134
0.18100001 334035.96248244 13678.77330979
0.18200001 328787.95656453 11732.79878424
0.18300001 323613.67910684 8931.73796528
0.18400001 318511.22318628 10606.42423316
0.18500001 313482.31443837 9620.77268462
0.18600001 308524.13988246 12115.74354557
0.18700001 303637.09750119 11131.33652029
0.18800001 298821.17265831 12707.37096767
0.18900001 294077.69270098 11733.70049316
0.19000001 289400.97723019 9120.47222834
0.19100001 284797.79546337 9842.61227628
0.19200001 280261.26356411 11358.98954898
0.19300001 275795.71434361 8025.65566663
0.19400001 271397.60503217 15082.92261239
0.19500001 267067.71266014 11777.68668487
0.19600001 262804.84234224 10872.23684148
0.19700001 258609.50328012 12289.12417663
0.19800001 254480.11291579 7596.23172952
0.19900001 250417.47024243 9015.02935478
0.20000001 246418.54122739 8915.42324296
0.20100001 242485.55721655 7347.31273091
0.20200001 238615.80233554 8719.02182943
0.20300001 234810.39750951 10059.27790476
0.20400001 231068.06031905 7105.34319065
0.20500001 227387.23936514 9134.14583704
0.20600001 223768.13115294 9032.40104093
0.20700001 220210.59653512 8931.74221766
0.20800001 216712.56456233 6793.93922018
0.20900001 213276.53415745 8733.67448660
0.21000001 209897.23142754 8636.22199534
0.21100001 206577.26036503 8539.90434720
0.21200001 203314.66326622 7145.49417829
0.21300001 200109.11043142 6423.50274852
0.21400001 196960.15346840 6987.16177462
0.21500001 193867.53025014 8165.70076019
0.21600001 190828.68120795 6211.47386699
0.21700001 187844.82095656 7985.28371640
0.21800001 184914.06233902 9111.64085256
0.21900001 182035.62848344 7809.32883118
0.22000001 179209.46362208 6534.87339996
0.22100001 176436.03218171 8225.44820924
0.22200001 173712.44490404 5810.68155679
0.22300001 171038.49829159 6321.58319578
0.22400001 168412.93335307 6252.33044638
0.22500001 165838.22623016 6184.10774855
0.22600001 163309.09821624 5560.67505722
0.22700001 160828.44031838 7700.46608659
0.22800001 158393.77130035 5984.90893161
0.22900001 156003.85106752 6996.77305126
0.23000001 153659.35308646 6389.15620349
0.23100001 151359.66406459 6847.51152612
0.23200001 149102.11066114 8337.79042249
0.23300001 146887.98218640 6186.92210230
0.23400001 144715.88103141 7141.72906667
0.23500001 142583.77287758 6056.95895831
0.23600001 140493.23161079 7491.80192999
0.23700001 138442.51884149 5930.87778769
0.23800001 136430.40555983 6847.44237892
0.23900001 134456.73687420 5808.53130771
0.24000001 132520.29300089 6227.79146415
0.24100001 130622.19918890 7112.37908226
0.24200001 128759.47605671 5162.61143670
0.24300001 126933.03930064 5574.89934979
0.24400001 125140.60493463 5978.59268356
0.24500001 123382.95635317 6373.96382672
0.24600001 121658.60664438 7211.92254304
0.24700001 119967.93273104 7140.49169394
0.24800001 118308.68305240 4860.71247315
0.24900001 116680.79640211 4813.08307928
0.25000001 115084.30590914 4332.92432246
